Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
1/17/2026,Salem,,,Fairmont,60,2.0,1
1/17/2026,Salem,0,0.0,Fairmont,70,1.0,1
1/17/2026,Salem,11/61,0.0,Fairmont,60,2.0,1
1/17/2026,Salem,0,0.0,Fairmont,31/41,3.0,1
1/17/2026,Salem,70,2.0,Fairmont,31,0.0,1
1/17/2026,Salem,0,0.0,Fairmont,41/60,2.0,1
1/17/2026,Salem,31,3.0,Fairmont,70,2.0,1
1/17/2026,Salem,11,0.0,Fairmont,0,0.0,1
1/17/2026,Salem,31,2.0,Fairmont,41,0.0,1
1/17/2026,Salem,60,2.0,Fairmont,31/70,2.0,1
1/17/2026,Salem,70,2.0,Fairmont,61,2.0,1
1/17/2026,Salem,0,0.0,Fairmont,0,0.0,1
1/17/2026,Salem,61,0.0,Fairmont,61/60,2.0,1
1/17/2026,Salem,60,2.0,Fairmont,31,3.0,1
1/17/2026,Salem,0,0.0,Fairmont,0,0.0,1
1/17/2026,Salem,70,1.0,Fairmont,0,0.0,1
1/17/2026,Salem,60,2.0,Fairmont,41,3.0,1
1/17/2026,Salem,11/11,0.0,Fairmont,41/70,1.0,1
1/17/2026,Salem,110,4.0,Fairmont,31,0.0,1
1/17/2026,Salem,31,2.0,Fairmont,0,0.0,1
1/17/2026,Salem,61,2.0,Fairmont,31/31,0.0,1
1/17/2026,Salem,31,0.0,Fairmont,60,3.0,1
1/17/2026,Salem,0,0.0,Fairmont,70,2.0,1
1/17/2026,Salem,0,0.0,Fairmont,70,2.0,1
1/17/2026,Salem,11,0.0,Fairmont,0,0.0,1
1/17/2026,Salem,0,0.0,Fairmont,31,0.0,1
1/17/2026,Salem,11,0.0,Fairmont,61/31,0.0,1
1/17/2026,Salem,31,0.0,Fairmont,60,2.0,1
1/17/2026,Salem,11/70,1.0,Fairmont,60,2.0,1
1/17/2026,Salem,11/61,0.0,Fairmont,41,3.0,1
1/17/2026,Salem,70,2.0,Fairmont,60,2.0,1
1/17/2026,Salem,70,0.0,Fairmont,61,2.0,1
1/17/2026,Salem,31,2.0,Fairmont,41,3.0,1
1/17/2026,Salem,41,3.0,Fairmont,0,0.0,1
1/17/2026,Salem,11,0.0,Fairmont,41,3.0,1
1/17/2026,Salem,70,1.0,Fairmont,70,2.0,1
1/17/2026,Salem,31,2.0,Fairmont,70,2.0,1
1/17/2026,Salem,,,Fairmont,60/41,0.0,1
1/17/2026,Salem,11/11,2.0,Fairmont,0,0.0,1
1/17/2026,Salem,61,2.0,Fairmont,31,2.0,1
1/17/2026,Salem,0,0.0,Fairmont,30,2.0,1
1/17/2026,Salem,61,2.0,Fairmont,31/60,2.0,1
1/17/2026,Salem,,,Fairmont,41,0.0,2
1/17/2026,Salem,60,0.0,Fairmont,31/30/0,0.0,2
1/17/2026,Salem,31,2.0,Fairmont,41,0.0,2
1/17/2026,Salem,0,0.0,Fairmont,41,0.0,2
1/17/2026,Salem,41,0.0,Fairmont,60,2.0,2
1/17/2026,Salem,70,2.0,Fairmont,0,0.0,2
1/17/2026,Salem,0,0.0,Fairmont,60,2.0,2
1/17/2026,Salem,61,2.0,Fairmont,61,2.0,2
1/17/2026,Salem,0,0.0,Fairmont,31/70,1.0,2
1/17/2026,Salem,0,0.0,Fairmont,0,0.0,2
1/17/2026,Salem,11,2.0,Fairmont,41,3.0,2
1/17/2026,Salem,70,3.0,Fairmont,41,2.0,2
1/17/2026,Salem,60,2.0,Fairmont,0,0.0,2
1/17/2026,Salem,61,0.0,Fairmont,41,0.0,2
1/17/2026,Salem,0,0.0,Fairmont,41/41,0.0,2
1/17/2026,Salem,70,2.0,Fairmont,60/31,0.0,2
1/17/2026,Salem,60,0.0,Fairmont,0,0.0,2
1/17/2026,Salem,0,0.0,Fairmont,41/70,2.0,2
1/17/2026,Salem,0,0.0,Fairmont,31,0.0,2
1/17/2026,Salem,11,0.0,Fairmont,0,0.0,2
1/17/2026,Salem,11/11/11,0.0,Fairmont,0,0.0,2
1/17/2026,Salem,60,2.0,Fairmont,70,2.0,2
1/17/2026,Salem,11/31,0.0,Fairmont,41,2.0,2
1/17/2026,Salem,61,0.0,Fairmont,40/41,3.0,2
1/17/2026,Salem,11/61,2.0,Fairmont,31,0.0,2
1/17/2026,Salem,41,0.0,Fairmont,41,2.0,2
1/17/2026,Salem,0,0.0,Fairmont,110,3.0,2
1/17/2026,Salem,70,0.0,Fairmont,61,2.0,2
1/17/2026,Salem,30,2.0,Fairmont,70,1.0,2
1/17/2026,Salem,,,Fairmont,/60,0.0,2
1/17/2026,Salem,61,2.0,Fairmont,31,0.0,2
1/17/2026,Salem,70,1.0,Fairmont,41,2.0,2
1/17/2026,Salem,11,0.0,Fairmont,60,2.0,2
1/17/2026,Salem,31,2.0,Fairmont,40,0.0,2
1/17/2026,Salem,0,0.0,Fairmont,31/60,0.0,2
1/17/2026,Salem,40,0.0,Fairmont,40,0.0,2
1/17/2026,Salem,0,0.0,Fairmont,0,0.0,2
1/17/2026,Salem,0,0.0,Fairmont,60/41,3.0,2
1/17/2026,Salem,70,1.0,Fairmont,41,3.0,2
