Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
2/18/2026,Salem,,,Frostburg,41,3.0,1
2/18/2026,Salem,0,0.0,Frostburg,60,2.0,1
2/18/2026,Salem,31,0.0,Frostburg,31,0.0,1
2/18/2026,Salem,60,2.0,Frostburg,11,0.0,1
2/18/2026,Salem,70,2.0,Frostburg,31/60,0.0,1
2/18/2026,Salem,61/70,2.0,Frostburg,11,2.0,1
2/18/2026,Salem,61/61,2.0,Frostburg,61,2.0,1
2/18/2026,Salem,40,0.0,Frostburg,41,3.0,1
2/18/2026,Salem,0,0.0,Frostburg,70,3.0,1
2/18/2026,Salem,61,2.0,Frostburg,11,0.0,1
2/18/2026,Salem,70,0.0,Frostburg,61,0.0,1
2/18/2026,Salem,60,2.0,Frostburg,31,0.0,1
2/18/2026,Salem,61,0.0,Frostburg,11,0.0,1
2/18/2026,Salem,60,2.0,Frostburg,40,0.0,1
2/18/2026,Salem,61,2.0,Frostburg,60,0.0,1
2/18/2026,Salem,31,3.0,Frostburg,41,0.0,1
2/18/2026,Salem,11/61,2.0,Frostburg,0,0.0,1
2/18/2026,Salem,41,3.0,Frostburg,70,2.0,1
2/18/2026,Salem,0,0.0,Frostburg,0,0.0,1
2/18/2026,Salem,11/70,3.0,Frostburg,31,2.0,1
2/18/2026,Salem,60,2.0,Frostburg,30,0.0,1
2/18/2026,Salem,40,0.0,Frostburg,41,0.0,1
2/18/2026,Salem,31,0.0,Frostburg,40,0.0,1
2/18/2026,Salem,0,0.0,Frostburg,41,0.0,1
2/18/2026,Salem,40,3.0,Frostburg,31,2.0,1
2/18/2026,Salem,40,0.0,Frostburg,0,0.0,1
2/18/2026,Salem,61,2.0,Frostburg,0,0.0,1
2/18/2026,Salem,0,0.0,Frostburg,60,2.0,1
2/18/2026,Salem,41/31,2.0,Frostburg,70,3.0,1
2/18/2026,Salem,70,1.0,Frostburg,31,3.0,1
2/18/2026,Salem,40,0.0,Frostburg,70,1.0,1
2/18/2026,Salem,0,0.0,Frostburg,70,2.0,1
2/18/2026,Salem,0,0.0,Frostburg,70,2.0,1
2/18/2026,Salem,70,2.0,Frostburg,11,2.0,1
2/18/2026,Salem,0,0.0,Frostburg,41,0.0,1
2/18/2026,Salem,31,2.0,Frostburg,11,0.0,1
2/18/2026,Salem,41,0.0,Frostburg,11/31,0.0,1
2/18/2026,Salem,70,2.0,Frostburg,41,0.0,1
2/18/2026,Salem,60/70,2.0,Frostburg,70,1.0,1
2/18/2026,Salem,61,2.0,Frostburg,31/61/30,2.0,1
2/18/2026,Salem,60,2.0,Frostburg,70,2.0,1
2/18/2026,Salem,70,0.0,Frostburg,61/70,1.0,1
2/18/2026,Salem,,,Frostburg,/11/61,2.0,1
2/18/2026,Salem,11/60/0,0.0,Frostburg,41,0.0,1
2/18/2026,Salem,11/31/30,3.0,Frostburg,60,2.0,1
2/18/2026,Salem,61,2.0,Frostburg,0,0.0,1
2/18/2026,Salem,61/60,2.0,Frostburg,,,1
2/18/2026,Salem,,,Frostburg,31,0.0,2
2/18/2026,Salem,11,0.0,Frostburg,40,0.0,2
2/18/2026,Salem,11,0.0,Frostburg,41,3.0,2
2/18/2026,Salem,41/70,1.0,Frostburg,31,2.0,2
2/18/2026,Salem,0,0.0,Frostburg,60,2.0,2
2/18/2026,Salem,60,2.0,Frostburg,11/61,2.0,2
2/18/2026,Salem,61,2.0,Frostburg,70,1.0,2
2/18/2026,Salem,11/70,2.0,Frostburg,61,0.0,2
2/18/2026,Salem,60,3.0,Frostburg,31,3.0,2
2/18/2026,Salem,0,0.0,Frostburg,41,0.0,2
2/18/2026,Salem,0,0.0,Frostburg,61,2.0,2
2/18/2026,Salem,70,1.0,Frostburg,31,2.0,2
2/18/2026,Salem,0,0.0,Frostburg,31,0.0,2
2/18/2026,Salem,41,3.0,Frostburg,41,0.0,2
2/18/2026,Salem,30,3.0,Frostburg,70,3.0,2
2/18/2026,Salem,11/11/70,2.0,Frostburg,0,0.0,2
2/18/2026,Salem,0,0.0,Frostburg,70,3.0,2
2/18/2026,Salem,60,2.0,Frostburg,11,0.0,2
2/18/2026,Salem,60,2.0,Frostburg,41,2.0,2
2/18/2026,Salem,11/60,0.0,Frostburg,0,0.0,2
2/18/2026,Salem,0,0.0,Frostburg,61,2.0,2
2/18/2026,Salem,0,0.0,Frostburg,41,0.0,2
2/18/2026,Salem,41,0.0,Frostburg,70,1.0,2
2/18/2026,Salem,0,0.0,Frostburg,31/0,0.0,2
2/18/2026,Salem,60/31/11,0.0,Frostburg,70,2.0,2
2/18/2026,Salem,0,0.0,Frostburg,31,0.0,2
2/18/2026,Salem,61,2.0,Frostburg,70,3.0,2
2/18/2026,Salem,41/31,0.0,Frostburg,41,3.0,2
2/18/2026,Salem,11,0.0,Frostburg,30,2.0,2
2/18/2026,Salem,70,3.0,Frostburg,61,0.0,2
2/18/2026,Salem,60,2.0,Frostburg,61,2.0,2
2/18/2026,Salem,0,0.0,Frostburg,41/70,2.0,2
2/18/2026,Salem,0,0.0,Frostburg,41/61,0.0,2
2/18/2026,Salem,70,2.0,Frostburg,11,0.0,2
2/18/2026,Salem,61,2.0,Frostburg,61,2.0,2
2/18/2026,Salem,60,2.0,Frostburg,41/60/0,0.0,2
2/18/2026,Salem,31,3.0,Frostburg,70,1.0,2
2/18/2026,Salem,11/11,0.0,Frostburg,11,0.0,2
2/18/2026,Salem,61,0.0,Frostburg,70,2.0,2
2/18/2026,Salem,70,1.0,Frostburg,31,0.0,2
2/18/2026,Salem,0,0.0,Frostburg,110,1.0,2
2/18/2026,Salem,70,1.0,Frostburg,,,2
