Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
12/17/2025,Salem,0,0.0,Glenville,60,2.0,1
12/17/2025,Salem,31,0.0,Glenville,31,2.0,1
12/17/2025,Salem,31,0.0,Glenville,41/41,0.0,1
12/17/2025,Salem,0,0.0,Glenville,0,0.0,1
12/17/2025,Salem,11,0.0,Glenville,31,0.0,1
12/17/2025,Salem,0,0.0,Glenville,61,2.0,1
12/17/2025,Salem,70,1.0,Glenville,0,0.0,1
12/17/2025,Salem,0,0.0,Glenville,110,2.0,1
12/17/2025,Salem,31,3.0,Glenville,41,0.0,1
12/17/2025,Salem,61,2.0,Glenville,61,3.0,1
12/17/2025,Salem,0,0.0,Glenville,41/41/11/41,0.0,1
12/17/2025,Salem,110,3.0,Glenville,41,3.0,1
12/17/2025,Salem,41,0.0,Glenville,60,3.0,1
12/17/2025,Salem,0,0.0,Glenville,41,0.0,1
12/17/2025,Salem,31,0.0,Glenville,70,3.0,1
12/17/2025,Salem,0,0.0,Glenville,31,0.0,1
12/17/2025,Salem,61,2.0,Glenville,41,3.0,1
12/17/2025,Salem,31,2.0,Glenville,41,0.0,1
12/17/2025,Salem,61,0.0,Glenville,61,2.0,1
12/17/2025,Salem,11,0.0,Glenville,11,0.0,1
12/17/2025,Salem,61,0.0,Glenville,61,2.0,1
12/17/2025,Salem,70,2.0,Glenville,0,0.0,1
12/17/2025,Salem,61,2.0,Glenville,41,3.0,1
12/17/2025,Salem,60,0.0,Glenville,41,3.0,1
12/17/2025,Salem,11,0.0,Glenville,40,0.0,1
12/17/2025,Salem,70,2.0,Glenville,30,0.0,1
12/17/2025,Salem,40/60,2.0,Glenville,41,3.0,1
12/17/2025,Salem,11,0.0,Glenville,30,0.0,1
12/17/2025,Salem,31,0.0,Glenville,70,2.0,1
12/17/2025,Salem,11,0.0,Glenville,11,0.0,1
12/17/2025,Salem,31,2.0,Glenville,41,3.0,1
12/17/2025,Salem,41,0.0,Glenville,31,0.0,1
12/17/2025,Salem,70,2.0,Glenville,0,0.0,1
12/17/2025,Salem,11/31,0.0,Glenville,70,2.0,1
12/17/2025,Salem,,,Glenville,31,3.0,1
12/17/2025,Salem,70,2.0,Glenville,30,0.0,1
12/17/2025,Salem,31,0.0,Glenville,31,2.0,1
12/17/2025,Salem,70,1.0,Glenville,61,0.0,1
12/17/2025,Salem,11,0.0,Glenville,60,2.0,1
12/17/2025,Salem,31,3.0,Glenville,70,2.0,1
12/17/2025,Salem,11,0.0,Glenville,11,0.0,1
12/17/2025,Salem,31,2.0,Glenville,31,3.0,2
12/17/2025,Salem,60,0.0,Glenville,40,2.0,2
12/17/2025,Salem,70,2.0,Glenville,41,3.0,2
12/17/2025,Salem,0,0.0,Glenville,70,1.0,2
12/17/2025,Salem,30/61,2.0,Glenville,41,3.0,2
12/17/2025,Salem,31,3.0,Glenville,31/41/0,0.0,2
12/17/2025,Salem,0,0.0,Glenville,60,2.0,2
12/17/2025,Salem,11,0.0,Glenville,41,0.0,2
12/17/2025,Salem,41,0.0,Glenville,30,0.0,2
12/17/2025,Salem,0,0.0,Glenville,11/11,0.0,2
12/17/2025,Salem,41,0.0,Glenville,41,3.0,2
12/17/2025,Salem,31,0.0,Glenville,41,3.0,2
12/17/2025,Salem,30,2.0,Glenville,31,3.0,2
12/17/2025,Salem,70,2.0,Glenville,31,2.0,2
12/17/2025,Salem,31,3.0,Glenville,41,3.0,2
12/17/2025,Salem,31,0.0,Glenville,0,0.0,2
12/17/2025,Salem,60,2.0,Glenville,61/30,0.0,2
12/17/2025,Salem,11,0.0,Glenville,61,2.0,2
12/17/2025,Salem,0,0.0,Glenville,61,2.0,2
12/17/2025,Salem,0,0.0,Glenville,60,0.0,2
12/17/2025,Salem,41,3.0,Glenville,40,0.0,2
12/17/2025,Salem,0,0.0,Glenville,41/31,3.0,2
12/17/2025,Salem,11,0.0,Glenville,11/41,0.0,2
12/17/2025,Salem,70,2.0,Glenville,60,3.0,2
12/17/2025,Salem,41,3.0,Glenville,41,0.0,2
12/17/2025,Salem,60,0.0,Glenville,70,2.0,2
12/17/2025,Salem,11/60/70,2.0,Glenville,60,0.0,2
12/17/2025,Salem,/70,1.0,Glenville,31,2.0,2
12/17/2025,Salem,40,3.0,Glenville,31,2.0,2
12/17/2025,Salem,40/60,2.0,Glenville,,,2
12/17/2025,Salem,70,2.0,Glenville,70,1.0,2
12/17/2025,Salem,70,2.0,Glenville,0,0.0,2
12/17/2025,Salem,31,0.0,Glenville,61,2.0,2
12/17/2025,Salem,61,0.0,Glenville,0,0.0,2
12/17/2025,Salem,0,0.0,Glenville,41,0.0,2
12/17/2025,Salem,30,0.0,Glenville,61/11/11,0.0,2
12/17/2025,Salem,31,0.0,Glenville,41,3.0,2
12/17/2025,Salem,31,0.0,Glenville,11/41,0.0,2
12/17/2025,Salem,11/31,0.0,Glenville,41,0.0,2
12/17/2025,Salem,60,2.0,Glenville,11,2.0,2
12/17/2025,Salem,11/70,1.0,Glenville,,,2
