Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
2/28/2026,Salem,61,0.0,Point Park,41,0.0,1
2/28/2026,Salem,60,2.0,Point Park,41,3.0,1
2/28/2026,Salem,61,0.0,Point Park,41,3.0,1
2/28/2026,Salem,41,0.0,Point Park,11,0.0,1
2/28/2026,Salem,31,2.0,Point Park,31,0.0,1
2/28/2026,Salem,0,0.0,Point Park,11,0.0,1
2/28/2026,Salem,61,0.0,Point Park,60,2.0,1
2/28/2026,Salem,31,0.0,Point Park,41/31,2.0,1
2/28/2026,Salem,31/60,0.0,Point Park,11/60,2.0,1
2/28/2026,Salem,31,2.0,Point Park,61,2.0,1
2/28/2026,Salem,61,2.0,Point Park,41,0.0,1
2/28/2026,Salem,0,0.0,Point Park,0,0.0,1
2/28/2026,Salem,61,2.0,Point Park,41,2.0,1
2/28/2026,Salem,61,2.0,Point Park,11,0.0,1
2/28/2026,Salem,31,0.0,Point Park,41,3.0,1
2/28/2026,Salem,41,0.0,Point Park,41,3.0,1
2/28/2026,Salem,60,2.0,Point Park,31,0.0,1
2/28/2026,Salem,0,0.0,Point Park,30,2.0,1
2/28/2026,Salem,41,0.0,Point Park,61,2.0,1
2/28/2026,Salem,61,0.0,Point Park,0,0.0,1
2/28/2026,Salem,0,0.0,Point Park,31/31/60,0.0,1
2/28/2026,Salem,41,0.0,Point Park,31,0.0,1
2/28/2026,Salem,60,2.0,Point Park,31,0.0,1
2/28/2026,Salem,41,0.0,Point Park,60,3.0,1
2/28/2026,Salem,41,0.0,Point Park,41,3.0,1
2/28/2026,Salem,31,0.0,Point Park,0,0.0,1
2/28/2026,Salem,0,0.0,Point Park,61,0.0,1
2/28/2026,Salem,41,0.0,Point Park,31,3.0,1
2/28/2026,Salem,61,2.0,Point Park,41,3.0,1
2/28/2026,Salem,41/31/70,2.0,Point Park,0,0.0,1
2/28/2026,Salem,31/0,0.0,Point Park,31,2.0,1
2/28/2026,Salem,0,0.0,Point Park,61,2.0,1
2/28/2026,Salem,70,1.0,Point Park,0,0.0,1
2/28/2026,Salem,0,0.0,Point Park,60,2.0,1
2/28/2026,Salem,0,0.0,Point Park,,,1
2/28/2026,Salem,,,Point Park,41,0.0,2
2/28/2026,Salem,11,0.0,Point Park,0,0.0,2
2/28/2026,Salem,60,2.0,Point Park,0,0.0,2
2/28/2026,Salem,0,0.0,Point Park,0,0.0,2
2/28/2026,Salem,41,2.0,Point Park,0,0.0,2
2/28/2026,Salem,70,2.0,Point Park,0,0.0,2
2/28/2026,Salem,70,0.0,Point Park,41,0.0,2
2/28/2026,Salem,0,0.0,Point Park,61,0.0,2
2/28/2026,Salem,61,0.0,Point Park,40/60,2.0,2
2/28/2026,Salem,31/70,2.0,Point Park,41,0.0,2
2/28/2026,Salem,0,0.0,Point Park,41,0.0,2
2/28/2026,Salem,31,3.0,Point Park,61,2.0,2
2/28/2026,Salem,0,0.0,Point Park,0,0.0,2
2/28/2026,Salem,61,2.0,Point Park,31,2.0,2
2/28/2026,Salem,31,2.0,Point Park,41,3.0,2
2/28/2026,Salem,0,0.0,Point Park,31,0.0,2
2/28/2026,Salem,60,2.0,Point Park,41,0.0,2
2/28/2026,Salem,70,0.0,Point Park,61,0.0,2
2/28/2026,Salem,60,2.0,Point Park,41/11/70,2.0,2
2/28/2026,Salem,41,0.0,Point Park,70,0.0,2
2/28/2026,Salem,31,0.0,Point Park,31,2.0,2
2/28/2026,Salem,60,2.0,Point Park,41,0.0,2
2/28/2026,Salem,60,2.0,Point Park,0,0.0,2
2/28/2026,Salem,0,0.0,Point Park,40/31/0,0.0,2
2/28/2026,Salem,41,3.0,Point Park,41,2.0,2
2/28/2026,Salem,31,2.0,Point Park,60,2.0,2
2/28/2026,Salem,70,1.0,Point Park,11,0.0,2
2/28/2026,Salem,31,0.0,Point Park,60,2.0,2
2/28/2026,Salem,61,2.0,Point Park,70,2.0,2
2/28/2026,Salem,31,3.0,Point Park,70,2.0,2
2/28/2026,Salem,70,2.0,Point Park,60,2.0,2
2/28/2026,Salem,41,3.0,Point Park,70,2.0,2
2/28/2026,Salem,41,0.0,Point Park,70,2.0,2
2/28/2026,Salem,,,Point Park,70,0.0,2
2/28/2026,Salem,11,0.0,Point Park,70,2.0,2
2/28/2026,Salem,41,0.0,Point Park,70,0.0,2
2/28/2026,Salem,41/60,0.0,Point Park,60,2.0,2
2/28/2026,Salem,30,2.0,Point Park,0,0.0,2
2/28/2026,Salem,70,0.0,Point Park,11,0.0,2
2/28/2026,Salem,40,0.0,Point Park,,,2
