Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
12/13/2025,Salem,41,0.0,Wesleyan,31,0.0,1
12/13/2025,Salem,41,3.0,Wesleyan,31,3.0,1
12/13/2025,Salem,41,3.0,Wesleyan,11,0.0,1
12/13/2025,Salem,61,2.0,Wesleyan,60,2.0,1
12/13/2025,Salem,31,0.0,Wesleyan,31,2.0,1
12/13/2025,Salem,0,0.0,Wesleyan,31/11/61,0.0,1
12/13/2025,Salem,41,0.0,Wesleyan,61,2.0,1
12/13/2025,Salem,31,2.0,Wesleyan,31,2.0,1
12/13/2025,Salem,70,2.0,Wesleyan,41,3.0,1
12/13/2025,Salem,41/60,2.0,Wesleyan,70,2.0,1
12/13/2025,Salem,41/31,0.0,Wesleyan,31,0.0,1
12/13/2025,Salem,61,0.0,Wesleyan,41,3.0,1
12/13/2025,Salem,70,2.0,Wesleyan,31,3.0,1
12/13/2025,Salem,70,1.0,Wesleyan,0,0.0,1
12/13/2025,Salem,61/61,0.0,Wesleyan,11,2.0,1
12/13/2025,Salem,61,0.0,Wesleyan,70,1.0,1
12/13/2025,Salem,70,2.0,Wesleyan,0,0.0,1
12/13/2025,Salem,41/70,1.0,Wesleyan,0,0.0,1
12/13/2025,Salem,31,2.0,Wesleyan,31,0.0,1
12/13/2025,Salem,61,0.0,Wesleyan,30,2.0,1
12/13/2025,Salem,0,0.0,Wesleyan,30,0.0,1
12/13/2025,Salem,61,2.0,Wesleyan,41/0,0.0,1
12/13/2025,Salem,70,2.0,Wesleyan,11,0.0,1
12/13/2025,Salem,41,0.0,Wesleyan,11/0,0.0,1
12/13/2025,Salem,0,0.0,Wesleyan,61,2.0,1
12/13/2025,Salem,61,0.0,Wesleyan,0,0.0,1
12/13/2025,Salem,61,2.0,Wesleyan,31,0.0,1
12/13/2025,Salem,60,2.0,Wesleyan,31,3.0,1
12/13/2025,Salem,61,2.0,Wesleyan,31/11/31,0.0,1
12/13/2025,Salem,11/61,2.0,Wesleyan,41/11,0.0,1
12/13/2025,Salem,31/70,1.0,Wesleyan,41,3.0,1
12/13/2025,Salem,61,2.0,Wesleyan,40,0.0,1
12/13/2025,Salem,61,0.0,Wesleyan,11,0.0,1
12/13/2025,Salem,60,2.0,Wesleyan,11,2.0,1
12/13/2025,Salem,0,0.0,Wesleyan,61,2.0,1
12/13/2025,Salem,31,3.0,Wesleyan,61/61/11,0.0,1
12/13/2025,Salem,70,2.0,Wesleyan,70,3.0,1
12/13/2025,Salem,0,0.0,Wesleyan,31,3.0,1
12/13/2025,Salem,31,2.0,Wesleyan,11/31,0.0,2
12/13/2025,Salem,31,0.0,Wesleyan,31,0.0,2
12/13/2025,Salem,0,0.0,Wesleyan,11,0.0,2
12/13/2025,Salem,41,0.0,Wesleyan,41,3.0,2
12/13/2025,Salem,60,2.0,Wesleyan,0,0.0,2
12/13/2025,Salem,31,2.0,Wesleyan,30,2.0,2
12/13/2025,Salem,70,1.0,Wesleyan,31/11/61,2.0,2
12/13/2025,Salem,31,0.0,Wesleyan,0,0.0,2
12/13/2025,Salem,30,0.0,Wesleyan,41,3.0,2
12/13/2025,Salem,30,0.0,Wesleyan,30/11,0.0,2
12/13/2025,Salem,30,2.0,Wesleyan,40,0.0,2
12/13/2025,Salem,30,0.0,Wesleyan,0,0.0,2
12/13/2025,Salem,61/11,0.0,Wesleyan,41,0.0,2
12/13/2025,Salem,70,2.0,Wesleyan,60,2.0,2
12/13/2025,Salem,60,2.0,Wesleyan,11,0.0,2
12/13/2025,Salem,61,2.0,Wesleyan,31,3.0,2
12/13/2025,Salem,61,2.0,Wesleyan,31,0.0,2
12/13/2025,Salem,61,2.0,Wesleyan,30,0.0,2
12/13/2025,Salem,40,0.0,Wesleyan,31/31,0.0,2
12/13/2025,Salem,60,0.0,Wesleyan,0,0.0,2
12/13/2025,Salem,70,1.0,Wesleyan,61,2.0,2
12/13/2025,Salem,31,0.0,Wesleyan,41,2.0,2
12/13/2025,Salem,31,3.0,Wesleyan,40/61,0.0,2
12/13/2025,Salem,41,3.0,Wesleyan,61,2.0,2
12/13/2025,Salem,70,2.0,Wesleyan,0,0.0,2
12/13/2025,Salem,31,0.0,Wesleyan,61/61,2.0,2
12/13/2025,Salem,60,0.0,Wesleyan,70,2.0,2
12/13/2025,Salem,0,0.0,Wesleyan,31,0.0,2
12/13/2025,Salem,31/70,0.0,Wesleyan,0,0.0,2
12/13/2025,Salem,61/31,0.0,Wesleyan,31,0.0,2
12/13/2025,Salem,61,0.0,Wesleyan,41/61,2.0,2
12/13/2025,Salem,70,1.0,Wesleyan,,,2
12/13/2025,Salem,/70,1.0,Wesleyan,0,0.0,2
12/13/2025,Salem,70,2.0,Wesleyan,31,3.0,2
