Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
2/25/2026,Salem,,,West Liberty,31,0.0,1
2/25/2026,Salem,11,2.0,West Liberty,60,2.0,1
2/25/2026,Salem,60,2.0,West Liberty,60,3.0,1
2/25/2026,Salem,0,0.0,West Liberty,41,0.0,1
2/25/2026,Salem,0,0.0,West Liberty,0,0.0,1
2/25/2026,Salem,61,2.0,West Liberty,60,2.0,1
2/25/2026,Salem,0,0.0,West Liberty,41,3.0,1
2/25/2026,Salem,0,0.0,West Liberty,31,0.0,1
2/25/2026,Salem,41/61,0.0,West Liberty,70,1.0,1
2/25/2026,Salem,61,2.0,West Liberty,41,0.0,1
2/25/2026,Salem,60,2.0,West Liberty,70,2.0,1
2/25/2026,Salem,61/60,2.0,West Liberty,41,0.0,1
2/25/2026,Salem,41,3.0,West Liberty,70,3.0,1
2/25/2026,Salem,41,0.0,West Liberty,41,3.0,1
2/25/2026,Salem,11,2.0,West Liberty,70,1.0,1
2/25/2026,Salem,,,West Liberty,/70,3.0,1
2/25/2026,Salem,31,2.0,West Liberty,0,0.0,1
2/25/2026,Salem,70,2.0,West Liberty,11,0.0,1
2/25/2026,Salem,61,0.0,West Liberty,60,2.0,1
2/25/2026,Salem,0,0.0,West Liberty,11/60,2.0,1
2/25/2026,Salem,31,2.0,West Liberty,11,0.0,1
2/25/2026,Salem,11,0.0,West Liberty,61,3.0,1
2/25/2026,Salem,0,0.0,West Liberty,60,2.0,1
2/25/2026,Salem,61,0.0,West Liberty,70,3.0,1
2/25/2026,Salem,31,0.0,West Liberty,0,0.0,1
2/25/2026,Salem,61,2.0,West Liberty,0,0.0,1
2/25/2026,Salem,70,2.0,West Liberty,11,0.0,1
2/25/2026,Salem,70,2.0,West Liberty,60,2.0,1
2/25/2026,Salem,11,0.0,West Liberty,41,3.0,1
2/25/2026,Salem,41,0.0,West Liberty,41,2.0,1
2/25/2026,Salem,61,2.0,West Liberty,60,2.0,1
2/25/2026,Salem,61,2.0,West Liberty,41,0.0,1
2/25/2026,Salem,60,0.0,West Liberty,70,1.0,1
2/25/2026,Salem,41,3.0,West Liberty,31,0.0,1
2/25/2026,Salem,0,0.0,West Liberty,70,2.0,1
2/25/2026,Salem,0,0.0,West Liberty,60,2.0,1
2/25/2026,Salem,61,0.0,West Liberty,40,0.0,1
2/25/2026,Salem,70,0.0,West Liberty,40,0.0,1
2/25/2026,Salem,41,0.0,West Liberty,41,3.0,1
2/25/2026,Salem,11,0.0,West Liberty,0,0.0,1
2/25/2026,Salem,30,0.0,West Liberty,61,2.0,1
2/25/2026,Salem,11,0.0,West Liberty,70,2.0,1
2/25/2026,Salem,31,0.0,West Liberty,70,2.0,1
2/25/2026,Salem,0,0.0,West Liberty,60,2.0,1
2/25/2026,Salem,31,0.0,West Liberty,61/31,0.0,1
2/25/2026,Salem,11,2.0,West Liberty,30/60,0.0,1
2/25/2026,Salem,,,West Liberty,61,2.0,2
2/25/2026,Salem,70,1.0,West Liberty,41,0.0,2
2/25/2026,Salem,41,0.0,West Liberty,41,0.0,2
