Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
12/6/2025,Salem,31,2.0,Wheeling,31,0.0,1
12/6/2025,Salem,60,2.0,Wheeling,30/70,2.0,1
12/6/2025,Salem,31,0.0,Wheeling,41,0.0,1
12/6/2025,Salem,31,0.0,Wheeling,41,3.0,1
12/6/2025,Salem,31,0.0,Wheeling,0,0.0,1
12/6/2025,Salem,60/60/60,0.0,Wheeling,41,0.0,1
12/6/2025,Salem,11/60,3.0,Wheeling,61,0.0,1
12/6/2025,Salem,60,0.0,Wheeling,70,2.0,1
12/6/2025,Salem,31,2.0,Wheeling,41,3.0,1
12/6/2025,Salem,41,0.0,Wheeling,60,3.0,1
12/6/2025,Salem,0,0.0,Wheeling,61,0.0,1
12/6/2025,Salem,60,3.0,Wheeling,11,0.0,1
12/6/2025,Salem,61,2.0,Wheeling,61,0.0,1
12/6/2025,Salem,41,3.0,Wheeling,61,2.0,1
12/6/2025,Salem,40,0.0,Wheeling,60,3.0,1
12/6/2025,Salem,31,0.0,Wheeling,11,2.0,1
12/6/2025,Salem,70,2.0,Wheeling,41,3.0,1
12/6/2025,Salem,0,0.0,Wheeling,61,2.0,1
12/6/2025,Salem,31,2.0,Wheeling,0,0.0,1
12/6/2025,Salem,31,0.0,Wheeling,61,2.0,1
12/6/2025,Salem,31,3.0,Wheeling,41,3.0,1
12/6/2025,Salem,70,2.0,Wheeling,61,2.0,1
12/6/2025,Salem,61,0.0,Wheeling,11,0.0,1
12/6/2025,Salem,61,2.0,Wheeling,70,2.0,1
12/6/2025,Salem,0,0.0,Wheeling,11/60,2.0,1
12/6/2025,Salem,41/11,2.0,Wheeling,60,2.0,1
12/6/2025,Salem,41,0.0,Wheeling,40,0.0,1
12/6/2025,Salem,0,0.0,Wheeling,41,3.0,1
12/6/2025,Salem,0,0.0,Wheeling,41,3.0,1
12/6/2025,Salem,70,1.0,Wheeling,70,2.0,1
12/6/2025,Salem,0,0.0,Wheeling,70,1.0,1
12/6/2025,Salem,0,0.0,Wheeling,61/60,2.0,1
12/6/2025,Salem,60,0.0,Wheeling,11,0.0,1
12/6/2025,Salem,61/70,0.0,Wheeling,41,0.0,1
12/6/2025,Salem,0,0.0,Wheeling,41,0.0,1
12/6/2025,Salem,30,0.0,Wheeling,11,0.0,1
12/6/2025,Salem,70,1.0,Wheeling,70,2.0,1
12/6/2025,Salem,70,1.0,Wheeling,31,0.0,1
12/6/2025,Salem,,,Wheeling,61,2.0,2
12/6/2025,Salem,0,0.0,Wheeling,70,2.0,2
12/6/2025,Salem,0,0.0,Wheeling,0,0.0,2
12/6/2025,Salem,70,0.0,Wheeling,,,2
12/6/2025,Salem,/60,2.0,Wheeling,11/31,2.0,2
12/6/2025,Salem,60/11/0,0.0,Wheeling,0,0.0,2
12/6/2025,Salem,60,2.0,Wheeling,41,3.0,2
12/6/2025,Salem,0,0.0,Wheeling,70,2.0,2
12/6/2025,Salem,31,0.0,Wheeling,31/31/41,0.0,2
12/6/2025,Salem,70,2.0,Wheeling,30,0.0,2
12/6/2025,Salem,70,1.0,Wheeling,31,0.0,2
12/6/2025,Salem,0,0.0,Wheeling,61/60/70,1.0,2
12/6/2025,Salem,31,0.0,Wheeling,0,0.0,2
12/6/2025,Salem,31/60,2.0,Wheeling,41,3.0,2
12/6/2025,Salem,70,1.0,Wheeling,70,2.0,2
12/6/2025,Salem,0,0.0,Wheeling,60,2.0,2
12/6/2025,Salem,60,2.0,Wheeling,31,2.0,2
12/6/2025,Salem,70,2.0,Wheeling,31,0.0,2
12/6/2025,Salem,0,0.0,Wheeling,11,0.0,2
12/6/2025,Salem,61,2.0,Wheeling,31,2.0,2
12/6/2025,Salem,70,2.0,Wheeling,41,0.0,2
12/6/2025,Salem,11,0.0,Wheeling,31,0.0,2
12/6/2025,Salem,61/61,0.0,Wheeling,61/11,0.0,2
12/6/2025,Salem,61,2.0,Wheeling,0,0.0,2
12/6/2025,Salem,60,3.0,Wheeling,31,2.0,2
12/6/2025,Salem,31,2.0,Wheeling,0,0.0,2
12/6/2025,Salem,60,2.0,Wheeling,0,0.0,2
12/6/2025,Salem,61,2.0,Wheeling,70,0.0,2
12/6/2025,Salem,60,0.0,Wheeling,41,3.0,2
12/6/2025,Salem,60,2.0,Wheeling,0,0.0,2
12/6/2025,Salem,41,3.0,Wheeling,70,1.0,2
12/6/2025,Salem,31,0.0,Wheeling,0,0.0,2
12/6/2025,Salem,60,2.0,Wheeling,31,0.0,2
12/6/2025,Salem,61,2.0,Wheeling,41/11,0.0,2
12/6/2025,Salem,60,2.0,Wheeling,70,2.0,2
12/6/2025,Salem,41,3.0,Wheeling,11,0.0,2
12/6/2025,Salem,31,2.0,Wheeling,70,2.0,2
12/6/2025,Salem,31,2.0,Wheeling,70,2.0,2
12/6/2025,Salem,41/70,1.0,Wheeling,70,1.0,2
12/6/2025,Salem,,,Wheeling,/70,1.0,2
12/6/2025,Salem,41/61,2.0,Wheeling,70,2.0,2
12/6/2025,Salem,60,2.0,Wheeling,70,1.0,2
