Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
2/28/2026,WVSU,0,0.0,Charleston,31,0.0,1
2/28/2026,WVSU,41,0.0,Charleston,41,3.0,1
2/28/2026,WVSU,70,1.0,Charleston,41,0.0,1
2/28/2026,WVSU,0,0.0,Charleston,41,2.0,1
2/28/2026,WVSU,41,0.0,Charleston,41,0.0,1
2/28/2026,WVSU,31,0.0,Charleston,60,2.0,1
2/28/2026,WVSU,41,0.0,Charleston,31,0.0,1
2/28/2026,WVSU,41,0.0,Charleston,41,0.0,1
2/28/2026,WVSU,70,3.0,Charleston,60/31,0.0,1
2/28/2026,WVSU,0,0.0,Charleston,31,3.0,1
2/28/2026,WVSU,61/41,0.0,Charleston,41/40,0.0,1
2/28/2026,WVSU,0,0.0,Charleston,31/31,2.0,1
2/28/2026,WVSU,31,0.0,Charleston,41,3.0,1
2/28/2026,WVSU,11,0.0,Charleston,0,0.0,1
2/28/2026,WVSU,61,2.0,Charleston,30,0.0,1
2/28/2026,WVSU,41/31,3.0,Charleston,41,0.0,1
2/28/2026,WVSU,40,0.0,Charleston,70,2.0,1
2/28/2026,WVSU,,,Charleston,/40/11,0.0,1
2/28/2026,WVSU,11,0.0,Charleston,41,3.0,1
2/28/2026,WVSU,31,3.0,Charleston,61,2.0,1
2/28/2026,WVSU,70,2.0,Charleston,61,3.0,1
2/28/2026,WVSU,41,3.0,Charleston,61/61/61,2.0,1
2/28/2026,WVSU,31/41,3.0,Charleston,41/40,3.0,1
2/28/2026,WVSU,31,0.0,Charleston,41,0.0,1
2/28/2026,WVSU,60,3.0,Charleston,41,3.0,1
2/28/2026,WVSU,11,0.0,Charleston,40,0.0,1
2/28/2026,WVSU,0,0.0,Charleston,41,0.0,1
2/28/2026,WVSU,70,0.0,Charleston,40,3.0,1
2/28/2026,WVSU,31,0.0,Charleston,0,0.0,1
2/28/2026,WVSU,31,2.0,Charleston,0,0.0,1
2/28/2026,WVSU,31,0.0,Charleston,,,1
2/28/2026,WVSU,,,Charleston,41,0.0,2
2/28/2026,WVSU,61,2.0,Charleston,60,3.0,2
2/28/2026,WVSU,31,0.0,Charleston,0,0.0,2
2/28/2026,WVSU,70,1.0,Charleston,60/61/60,2.0,2
2/28/2026,WVSU,40,3.0,Charleston,60,2.0,2
2/28/2026,WVSU,41,0.0,Charleston,70,1.0,2
2/28/2026,WVSU,0,0.0,Charleston,70,2.0,2
2/28/2026,WVSU,0,0.0,Charleston,60,2.0,2
2/28/2026,WVSU,70,2.0,Charleston,70,2.0,2
2/28/2026,WVSU,31,3.0,Charleston,31,3.0,2
2/28/2026,WVSU,41,0.0,Charleston,70,1.0,2
2/28/2026,WVSU,31,2.0,Charleston,31,0.0,2
2/28/2026,WVSU,41,3.0,Charleston,41,0.0,2
2/28/2026,WVSU,41,3.0,Charleston,70,1.0,2
2/28/2026,WVSU,,,Charleston,/70,1.0,2
2/28/2026,WVSU,,,Charleston,/41,0.0,2
2/28/2026,WVSU,60,2.0,Charleston,60,2.0,2
2/28/2026,WVSU,31,0.0,Charleston,41,0.0,2
2/28/2026,WVSU,11,0.0,Charleston,70,0.0,2
2/28/2026,WVSU,0,0.0,Charleston,60,2.0,2
2/28/2026,WVSU,31,2.0,Charleston,60,2.0,2
2/28/2026,WVSU,0,0.0,Charleston,61/61,2.0,2
2/28/2026,WVSU,70,2.0,Charleston,41,3.0,2
2/28/2026,WVSU,41,0.0,Charleston,41,3.0,2
2/28/2026,WVSU,61,2.0,Charleston,41,0.0,2
2/28/2026,WVSU,31/70,2.0,Charleston,70,2.0,2
2/28/2026,WVSU,11/70,0.0,Charleston,70,1.0,2
2/28/2026,WVSU,70,1.0,Charleston,60/11,0.0,2
2/28/2026,WVSU,0,0.0,Charleston,31,2.0,2
2/28/2026,WVSU,41/41,2.0,Charleston,70,1.0,2
2/28/2026,WVSU,30,3.0,Charleston,31,0.0,2
2/28/2026,WVSU,0,0.0,Charleston,61,3.0,2
2/28/2026,WVSU,61/60,2.0,Charleston,41/70,2.0,2
2/28/2026,WVSU,31,0.0,Charleston,41,3.0,2
2/28/2026,WVSU,11,0.0,Charleston,0,0.0,2
2/28/2026,WVSU,40/70,2.0,Charleston,,,2
