Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
12/3/2025,WVSU,,,Concord,70,2.0,1
12/3/2025,WVSU,41,3.0,Concord,11/31,0.0,1
12/3/2025,WVSU,31,0.0,Concord,0,0.0,1
12/3/2025,WVSU,11/60,2.0,Concord,40,0.0,1
12/3/2025,WVSU,31,0.0,Concord,60,2.0,1
12/3/2025,WVSU,0,0.0,Concord,31,3.0,1
12/3/2025,WVSU,41,3.0,Concord,61,2.0,1
12/3/2025,WVSU,0,0.0,Concord,0,0.0,1
12/3/2025,WVSU,31,3.0,Concord,40,3.0,1
12/3/2025,WVSU,31,2.0,Concord,31,3.0,1
12/3/2025,WVSU,31,0.0,Concord,61,2.0,1
12/3/2025,WVSU,11,0.0,Concord,61,0.0,1
12/3/2025,WVSU,0,0.0,Concord,0,0.0,1
12/3/2025,WVSU,70,2.0,Concord,11,0.0,1
12/3/2025,WVSU,0,0.0,Concord,61,2.0,1
12/3/2025,WVSU,0,0.0,Concord,61,2.0,1
12/3/2025,WVSU,0,0.0,Concord,31,0.0,1
12/3/2025,WVSU,31,3.0,Concord,0,0.0,1
12/3/2025,WVSU,31,0.0,Concord,31,0.0,1
12/3/2025,WVSU,31/60,2.0,Concord,40/70,2.0,1
12/3/2025,WVSU,31,0.0,Concord,60,0.0,1
12/3/2025,WVSU,70,2.0,Concord,61,0.0,1
12/3/2025,WVSU,61,2.0,Concord,60,3.0,1
12/3/2025,WVSU,61,0.0,Concord,60,2.0,1
12/3/2025,WVSU,31,3.0,Concord,31/40,0.0,1
12/3/2025,WVSU,40,0.0,Concord,70,2.0,1
12/3/2025,WVSU,70,1.0,Concord,11/70,2.0,1
12/3/2025,WVSU,61,2.0,Concord,0,0.0,1
12/3/2025,WVSU,41,2.0,Concord,0,0.0,1
12/3/2025,WVSU,31,0.0,Concord,70,3.0,1
12/3/2025,WVSU,41,2.0,Concord,41/41,0.0,1
12/3/2025,WVSU,61/60/61,0.0,Concord,110,2.0,1
12/3/2025,WVSU,,,Concord,/61,2.0,1
12/3/2025,WVSU,41,0.0,Concord,60,3.0,1
12/3/2025,WVSU,70,0.0,Concord,41,3.0,1
12/3/2025,WVSU,70,2.0,Concord,0,0.0,1
12/3/2025,WVSU,31,0.0,Concord,70,1.0,2
12/3/2025,WVSU,41,3.0,Concord,61,0.0,2
12/3/2025,WVSU,0,0.0,Concord,11,2.0,2
12/3/2025,WVSU,0,0.0,Concord,60,2.0,2
12/3/2025,WVSU,61,0.0,Concord,41,0.0,2
12/3/2025,WVSU,31,0.0,Concord,61/61,2.0,2
12/3/2025,WVSU,31,0.0,Concord,60,2.0,2
12/3/2025,WVSU,31,2.0,Concord,41/40/60,2.0,2
12/3/2025,WVSU,31/11,2.0,Concord,70,2.0,2
12/3/2025,WVSU,31,0.0,Concord,61,2.0,2
12/3/2025,WVSU,41,0.0,Concord,60,3.0,2
12/3/2025,WVSU,60,2.0,Concord,41/60,2.0,2
12/3/2025,WVSU,41/60,2.0,Concord,31/61,2.0,2
12/3/2025,WVSU,11/31,0.0,Concord,40/61,2.0,2
12/3/2025,WVSU,70,2.0,Concord,70,1.0,2
12/3/2025,WVSU,31/41,3.0,Concord,60,2.0,2
12/3/2025,WVSU,31,3.0,Concord,0,0.0,2
12/3/2025,WVSU,61,0.0,Concord,41,0.0,2
12/3/2025,WVSU,31,0.0,Concord,70,2.0,2
12/3/2025,WVSU,41,3.0,Concord,31,0.0,2
12/3/2025,WVSU,60,3.0,Concord,60,2.0,2
12/3/2025,WVSU,11/11,2.0,Concord,0,0.0,2
12/3/2025,WVSU,40,0.0,Concord,0,0.0,2
12/3/2025,WVSU,0,0.0,Concord,60,2.0,2
12/3/2025,WVSU,0,0.0,Concord,61,2.0,2
12/3/2025,WVSU,61/11/70,3.0,Concord,11/60,2.0,2
12/3/2025,WVSU,41,0.0,Concord,61/61,2.0,2
12/3/2025,WVSU,60,2.0,Concord,11/61,2.0,2
12/3/2025,WVSU,31,3.0,Concord,60,2.0,2
12/3/2025,WVSU,31,0.0,Concord,60/61,2.0,2
12/3/2025,WVSU,60,2.0,Concord,70,2.0,2
12/3/2025,WVSU,31,2.0,Concord,60,3.0,2
12/3/2025,WVSU,31,0.0,Concord,61,2.0,2
12/3/2025,WVSU,31,0.0,Concord,11/60,0.0,2
12/3/2025,WVSU,70,1.0,Concord,,,2
