Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
2/7/2026,WVSU,31,2.0,Fairmont,41,0.0,1
2/7/2026,WVSU,11/31,0.0,Fairmont,31,2.0,1
2/7/2026,WVSU,41,3.0,Fairmont,40,3.0,1
2/7/2026,WVSU,41,0.0,Fairmont,70,2.0,1
2/7/2026,WVSU,11,0.0,Fairmont,0,0.0,1
2/7/2026,WVSU,31,0.0,Fairmont,41,3.0,1
2/7/2026,WVSU,0,0.0,Fairmont,41,2.0,1
2/7/2026,WVSU,61,2.0,Fairmont,31,0.0,1
2/7/2026,WVSU,31,0.0,Fairmont,41,3.0,1
2/7/2026,WVSU,31,3.0,Fairmont,61,2.0,1
2/7/2026,WVSU,31,3.0,Fairmont,31,0.0,1
2/7/2026,WVSU,41/60,2.0,Fairmont,70,2.0,1
2/7/2026,WVSU,11,0.0,Fairmont,61/70,1.0,1
2/7/2026,WVSU,0,0.0,Fairmont,41,3.0,1
2/7/2026,WVSU,40,0.0,Fairmont,60,2.0,1
2/7/2026,WVSU,31,2.0,Fairmont,60,2.0,1
2/7/2026,WVSU,110,3.0,Fairmont,0,0.0,1
2/7/2026,WVSU,31,2.0,Fairmont,31,0.0,1
2/7/2026,WVSU,40/70,0.0,Fairmont,61,3.0,1
2/7/2026,WVSU,0,0.0,Fairmont,61,2.0,1
2/7/2026,WVSU,31,0.0,Fairmont,61,2.0,1
2/7/2026,WVSU,41,3.0,Fairmont,41,3.0,1
2/7/2026,WVSU,0,0.0,Fairmont,0,0.0,1
2/7/2026,WVSU,11,0.0,Fairmont,61,2.0,1
2/7/2026,WVSU,41,0.0,Fairmont,11,0.0,1
2/7/2026,WVSU,0,0.0,Fairmont,31,0.0,1
2/7/2026,WVSU,41,0.0,Fairmont,0,0.0,1
2/7/2026,WVSU,0,0.0,Fairmont,0,0.0,1
2/7/2026,WVSU,70,2.0,Fairmont,41,3.0,1
2/7/2026,WVSU,31,0.0,Fairmont,41,2.0,1
2/7/2026,WVSU,0,0.0,Fairmont,41,2.0,1
2/7/2026,WVSU,31,0.0,Fairmont,60,2.0,1
2/7/2026,WVSU,41,0.0,Fairmont,41,3.0,1
2/7/2026,WVSU,31,0.0,Fairmont,41,3.0,1
2/7/2026,WVSU,31,3.0,Fairmont,41,0.0,1
2/7/2026,WVSU,40,0.0,Fairmont,41,0.0,1
2/7/2026,WVSU,31,0.0,Fairmont,41,3.0,1
2/7/2026,WVSU,41,0.0,Fairmont,60,0.0,1
2/7/2026,WVSU,61,2.0,Fairmont,41,0.0,1
2/7/2026,WVSU,61,0.0,Fairmont,40,2.0,1
2/7/2026,WVSU,31,0.0,Fairmont,41,3.0,1
2/7/2026,WVSU,40,0.0,Fairmont,,,1
2/7/2026,WVSU,,,Fairmont,0,0.0,2
2/7/2026,WVSU,11,0.0,Fairmont,41,2.0,2
2/7/2026,WVSU,31,0.0,Fairmont,41,3.0,2
2/7/2026,WVSU,61,2.0,Fairmont,60,2.0,2
2/7/2026,WVSU,31,0.0,Fairmont,61,2.0,2
2/7/2026,WVSU,0,0.0,Fairmont,60,2.0,2
2/7/2026,WVSU,41,0.0,Fairmont,41,3.0,2
2/7/2026,WVSU,60,2.0,Fairmont,0,0.0,2
2/7/2026,WVSU,31,2.0,Fairmont,40,0.0,2
2/7/2026,WVSU,70,1.0,Fairmont,31,0.0,2
2/7/2026,WVSU,70,1.0,Fairmont,41,3.0,2
2/7/2026,WVSU,30,2.0,Fairmont,41,0.0,2
2/7/2026,WVSU,61,2.0,Fairmont,31/61,2.0,2
2/7/2026,WVSU,31/60,2.0,Fairmont,0,0.0,2
2/7/2026,WVSU,0,0.0,Fairmont,61,2.0,2
2/7/2026,WVSU,0,0.0,Fairmont,60,2.0,2
2/7/2026,WVSU,41,0.0,Fairmont,41,3.0,2
2/7/2026,WVSU,31,0.0,Fairmont,41,3.0,2
2/7/2026,WVSU,61,0.0,Fairmont,61/60,3.0,2
2/7/2026,WVSU,61,2.0,Fairmont,60,2.0,2
2/7/2026,WVSU,31,0.0,Fairmont,41/41,2.0,2
2/7/2026,WVSU,31,0.0,Fairmont,41/70,2.0,2
2/7/2026,WVSU,61/70,2.0,Fairmont,31,0.0,2
2/7/2026,WVSU,70,2.0,Fairmont,60,2.0,2
2/7/2026,WVSU,70,2.0,Fairmont,0,0.0,2
2/7/2026,WVSU,31,0.0,Fairmont,41,0.0,2
2/7/2026,WVSU,70,2.0,Fairmont,41,3.0,2
2/7/2026,WVSU,31,2.0,Fairmont,40,3.0,2
2/7/2026,WVSU,41,2.0,Fairmont,40,2.0,2
2/7/2026,WVSU,30,2.0,Fairmont,40,0.0,2
2/7/2026,WVSU,70,1.0,Fairmont,60,2.0,2
2/7/2026,WVSU,31,3.0,Fairmont,41,3.0,2
2/7/2026,WVSU,31/60/60/60,2.0,Fairmont,0,0.0,2
2/7/2026,WVSU,60,2.0,Fairmont,41,2.0,2
2/7/2026,WVSU,31,2.0,Fairmont,41,0.0,2
2/7/2026,WVSU,31,0.0,Fairmont,61/41,0.0,2
2/7/2026,WVSU,0,0.0,Fairmont,61,2.0,2
2/7/2026,WVSU,31,2.0,Fairmont,61,2.0,2
2/7/2026,WVSU,31/41/0,0.0,Fairmont,40/31,0.0,2
2/7/2026,WVSU,0,0.0,Fairmont,,,2
