Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
1/21/2026,WVSU,,,Glenville,41,0.0,1
1/21/2026,WVSU,70,3.0,Glenville,41,0.0,1
1/21/2026,WVSU,31,0.0,Glenville,31,0.0,1
1/21/2026,WVSU,0,0.0,Glenville,0,0.0,1
1/21/2026,WVSU,0,0.0,Glenville,41,0.0,1
1/21/2026,WVSU,31,0.0,Glenville,41/61,2.0,1
1/21/2026,WVSU,70,1.0,Glenville,61,2.0,1
1/21/2026,WVSU,41,2.0,Glenville,30,0.0,1
1/21/2026,WVSU,41,3.0,Glenville,41,3.0,1
1/21/2026,WVSU,31,0.0,Glenville,41,3.0,1
1/21/2026,WVSU,31,3.0,Glenville,11,2.0,1
1/21/2026,WVSU,31,0.0,Glenville,41/70,2.0,1
1/21/2026,WVSU,11,0.0,Glenville,31,2.0,1
1/21/2026,WVSU,11/31,2.0,Glenville,31,0.0,1
1/21/2026,WVSU,31,0.0,Glenville,41,0.0,1
1/21/2026,WVSU,40,0.0,Glenville,11/41,0.0,1
1/21/2026,WVSU,41,0.0,Glenville,70,2.0,1
1/21/2026,WVSU,11,0.0,Glenville,41,2.0,1
1/21/2026,WVSU,70,2.0,Glenville,41,3.0,1
1/21/2026,WVSU,31,0.0,Glenville,60,2.0,1
1/21/2026,WVSU,60,2.0,Glenville,31,3.0,1
1/21/2026,WVSU,11/11,0.0,Glenville,0,0.0,1
1/21/2026,WVSU,30,0.0,Glenville,11,0.0,1
1/21/2026,WVSU,31/0,0.0,Glenville,60,2.0,1
1/21/2026,WVSU,31,3.0,Glenville,60,2.0,1
1/21/2026,WVSU,31,3.0,Glenville,41,0.0,1
1/21/2026,WVSU,31,0.0,Glenville,0,0.0,1
1/21/2026,WVSU,0,0.0,Glenville,60,2.0,1
1/21/2026,WVSU,31,0.0,Glenville,0,0.0,1
1/21/2026,WVSU,70,2.0,Glenville,31,2.0,1
1/21/2026,WVSU,31,0.0,Glenville,70,1.0,1
1/21/2026,WVSU,,,Glenville,/41,0.0,1
1/21/2026,WVSU,0,0.0,Glenville,0,0.0,1
1/21/2026,WVSU,0,0.0,Glenville,60,2.0,1
1/21/2026,WVSU,41,0.0,Glenville,41,0.0,1
1/21/2026,WVSU,40,3.0,Glenville,31,0.0,1
1/21/2026,WVSU,31,2.0,Glenville,41,0.0,1
1/21/2026,WVSU,0,0.0,Glenville,31,0.0,1
1/21/2026,WVSU,41,2.0,Glenville,70,0.0,1
1/21/2026,WVSU,31,3.0,Glenville,,,1
1/21/2026,WVSU,,,Glenville,40,2.0,2
1/21/2026,WVSU,31/31,0.0,Glenville,61,2.0,2
1/21/2026,WVSU,61,0.0,Glenville,31,0.0,2
1/21/2026,WVSU,0,0.0,Glenville,31,0.0,2
1/21/2026,WVSU,31,3.0,Glenville,11/60,2.0,2
1/21/2026,WVSU,31,3.0,Glenville,31/0,0.0,2
1/21/2026,WVSU,31,0.0,Glenville,31/61,2.0,2
1/21/2026,WVSU,0,0.0,Glenville,31,0.0,2
1/21/2026,WVSU,0,0.0,Glenville,41,0.0,2
1/21/2026,WVSU,41,0.0,Glenville,31,2.0,2
1/21/2026,WVSU,110,0.0,Glenville,40,3.0,2
1/21/2026,WVSU,31,3.0,Glenville,41,2.0,2
1/21/2026,WVSU,0,0.0,Glenville,31,2.0,2
1/21/2026,WVSU,31,0.0,Glenville,61,2.0,2
1/21/2026,WVSU,60,0.0,Glenville,11,2.0,2
1/21/2026,WVSU,60,2.0,Glenville,70,2.0,2
1/21/2026,WVSU,70,1.0,Glenville,0,0.0,2
1/21/2026,WVSU,31,0.0,Glenville,60/41,2.0,2
1/21/2026,WVSU,41,3.0,Glenville,41,0.0,2
1/21/2026,WVSU,70,1.0,Glenville,40,0.0,2
1/21/2026,WVSU,41,0.0,Glenville,70,0.0,2
1/21/2026,WVSU,31,0.0,Glenville,70,2.0,2
1/21/2026,WVSU,31,0.0,Glenville,70,2.0,2
1/21/2026,WVSU,11/61/70,2.0,Glenville,0,0.0,2
1/21/2026,WVSU,0,0.0,Glenville,40/60/61,2.0,2
1/21/2026,WVSU,61,0.0,Glenville,41,3.0,2
1/21/2026,WVSU,31,0.0,Glenville,31,2.0,2
1/21/2026,WVSU,70,1.0,Glenville,41,0.0,2
1/21/2026,WVSU,70,2.0,Glenville,41,3.0,2
1/21/2026,WVSU,0,0.0,Glenville,40/60,2.0,2
1/21/2026,WVSU,30,2.0,Glenville,70,2.0,2
1/21/2026,WVSU,31/31,0.0,Glenville,60,2.0,2
1/21/2026,WVSU,11,0.0,Glenville,0,0.0,2
1/21/2026,WVSU,60,2.0,Glenville,70,1.0,2
1/21/2026,WVSU,11,0.0,Glenville,11,0.0,2
1/21/2026,WVSU,60,2.0,Glenville,31/61,2.0,2
1/21/2026,WVSU,31/70,2.0,Glenville,70,1.0,2
1/21/2026,WVSU,31,3.0,Glenville,0,0.0,2
1/21/2026,WVSU,41,3.0,Glenville,,,2
