Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
1/10/2026,WVSU,41,2.0,Point Park,41,3.0,1
1/10/2026,WVSU,41,2.0,Point Park,31,2.0,1
1/10/2026,WVSU,41,0.0,Point Park,110,4.0,1
1/10/2026,WVSU,31,0.0,Point Park,60,2.0,1
1/10/2026,WVSU,31,2.0,Point Park,31,0.0,1
1/10/2026,WVSU,41,2.0,Point Park,31/0,0.0,1
1/10/2026,WVSU,70,3.0,Point Park,30,0.0,1
1/10/2026,WVSU,41/61,2.0,Point Park,61,3.0,1
1/10/2026,WVSU,61,2.0,Point Park,31/110,4.0,1
1/10/2026,WVSU,61/41,2.0,Point Park,31,2.0,1
1/10/2026,WVSU,61,2.0,Point Park,41,3.0,1
1/10/2026,WVSU,11,0.0,Point Park,70,3.0,1
1/10/2026,WVSU,31,0.0,Point Park,61,2.0,1
1/10/2026,WVSU,31,0.0,Point Park,41,3.0,1
1/10/2026,WVSU,0,0.0,Point Park,31,0.0,1
1/10/2026,WVSU,61,2.0,Point Park,31,2.0,1
1/10/2026,WVSU,41,0.0,Point Park,110,1.0,1
1/10/2026,WVSU,60,2.0,Point Park,0,0.0,1
1/10/2026,WVSU,31,0.0,Point Park,31,0.0,1
1/10/2026,WVSU,11/60,2.0,Point Park,41,3.0,1
1/10/2026,WVSU,70,3.0,Point Park,41,0.0,1
1/10/2026,WVSU,41,3.0,Point Park,40,3.0,1
1/10/2026,WVSU,31,0.0,Point Park,11,2.0,1
1/10/2026,WVSU,0,0.0,Point Park,40/60,2.0,1
1/10/2026,WVSU,31,3.0,Point Park,61,2.0,1
1/10/2026,WVSU,70,1.0,Point Park,31,0.0,1
1/10/2026,WVSU,40,0.0,Point Park,0,0.0,1
1/10/2026,WVSU,31,3.0,Point Park,40,2.0,1
1/10/2026,WVSU,41,2.0,Point Park,0,0.0,1
1/10/2026,WVSU,70,2.0,Point Park,110,4.0,1
1/10/2026,WVSU,70,2.0,Point Park,0,0.0,1
1/10/2026,WVSU,0,0.0,Point Park,31,0.0,1
1/10/2026,WVSU,60,0.0,Point Park,0,0.0,1
1/10/2026,WVSU,70,2.0,Point Park,41,0.0,1
1/10/2026,WVSU,0,0.0,Point Park,11,0.0,1
1/10/2026,WVSU,31/61,2.0,Point Park,60,0.0,2
1/10/2026,WVSU,60,2.0,Point Park,41,3.0,2
1/10/2026,WVSU,31,0.0,Point Park,61,0.0,2
1/10/2026,WVSU,60,2.0,Point Park,70,1.0,2
1/10/2026,WVSU,31/70,1.0,Point Park,41,3.0,2
1/10/2026,WVSU,61,2.0,Point Park,61,0.0,2
1/10/2026,WVSU,41,3.0,Point Park,41,0.0,2
1/10/2026,WVSU,31,0.0,Point Park,61,2.0,2
1/10/2026,WVSU,70,3.0,Point Park,41,3.0,2
1/10/2026,WVSU,41/61/61,2.0,Point Park,41,3.0,2
1/10/2026,WVSU,0,0.0,Point Park,30,3.0,2
1/10/2026,WVSU,41,0.0,Point Park,31,0.0,2
1/10/2026,WVSU,0,0.0,Point Park,31/60,0.0,2
1/10/2026,WVSU,11,0.0,Point Park,0,0.0,2
1/10/2026,WVSU,60,2.0,Point Park,0,0.0,2
1/10/2026,WVSU,70,2.0,Point Park,30,2.0,2
1/10/2026,WVSU,41,0.0,Point Park,31/0,0.0,2
1/10/2026,WVSU,40,2.0,Point Park,31,0.0,2
1/10/2026,WVSU,60,2.0,Point Park,0,0.0,2
1/10/2026,WVSU,11/61/70,1.0,Point Park,70,1.0,2
1/10/2026,WVSU,41,0.0,Point Park,40,0.0,2
1/10/2026,WVSU,31,0.0,Point Park,70,0.0,2
1/10/2026,WVSU,30,0.0,Point Park,0,0.0,2
1/10/2026,WVSU,41/60,2.0,Point Park,31,2.0,2
1/10/2026,WVSU,41,0.0,Point Park,60,0.0,2
1/10/2026,WVSU,70,1.0,Point Park,,,2
1/10/2026,WVSU,/61,2.0,Point Park,41/41/41,3.0,2
1/10/2026,WVSU,41/0,0.0,Point Park,60,3.0,2
1/10/2026,WVSU,61,0.0,Point Park,60,0.0,2
1/10/2026,WVSU,70,2.0,Point Park,70,3.0,2
1/10/2026,WVSU,31,3.0,Point Park,41,3.0,2
1/10/2026,WVSU,31,0.0,Point Park,70,2.0,2
1/10/2026,WVSU,61,2.0,Point Park,0,0.0,2
1/10/2026,WVSU,70,2.0,Point Park,70,2.0,2
1/10/2026,WVSU,70,1.0,Point Park,70,2.0,2
1/10/2026,WVSU,31,0.0,Point Park,,,2
