Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
2/14/2026,WVSU,,,Salem,31,2.0,1
2/14/2026,WVSU,31,3.0,Salem,31/11,0.0,1
2/14/2026,WVSU,41,3.0,Salem,0,0.0,1
2/14/2026,WVSU,60,2.0,Salem,41,0.0,1
2/14/2026,WVSU,31/0,0.0,Salem,61,2.0,1
2/14/2026,WVSU,31,2.0,Salem,41/41,2.0,1
2/14/2026,WVSU,0,0.0,Salem,60,2.0,1
2/14/2026,WVSU,0,0.0,Salem,70,2.0,1
2/14/2026,WVSU,31,0.0,Salem,31,2.0,1
2/14/2026,WVSU,31,0.0,Salem,0,0.0,1
2/14/2026,WVSU,70,2.0,Salem,41,3.0,1
2/14/2026,WVSU,41,0.0,Salem,70,2.0,1
2/14/2026,WVSU,,,Salem,/31,0.0,1
2/14/2026,WVSU,31,2.0,Salem,41/11,0.0,1
2/14/2026,WVSU,11,2.0,Salem,0,0.0,1
2/14/2026,WVSU,41/61/41,3.0,Salem,61,0.0,1
2/14/2026,WVSU,41,3.0,Salem,40,3.0,1
2/14/2026,WVSU,41,2.0,Salem,61,2.0,1
2/14/2026,WVSU,60,2.0,Salem,70,3.0,1
2/14/2026,WVSU,11/60,2.0,Salem,70,2.0,1
2/14/2026,WVSU,41,2.0,Salem,31/60,0.0,1
2/14/2026,WVSU,31,0.0,Salem,60,2.0,1
2/14/2026,WVSU,11,0.0,Salem,70,1.0,1
2/14/2026,WVSU,31,0.0,Salem,0,0.0,1
2/14/2026,WVSU,41,0.0,Salem,0,0.0,1
2/14/2026,WVSU,60,2.0,Salem,41/61/61,2.0,1
2/14/2026,WVSU,40/60,3.0,Salem,41,3.0,1
2/14/2026,WVSU,31,3.0,Salem,31,3.0,1
2/14/2026,WVSU,41,0.0,Salem,70,2.0,1
2/14/2026,WVSU,31,0.0,Salem,11/31,0.0,1
2/14/2026,WVSU,61,2.0,Salem,61,3.0,1
2/14/2026,WVSU,70,2.0,Salem,,,1
2/14/2026,WVSU,61,2.0,Salem,0,0.0,1
2/14/2026,WVSU,0,0.0,Salem,61,2.0,1
2/14/2026,WVSU,41,3.0,Salem,70,1.0,1
2/14/2026,WVSU,,,Salem,70,1.0,1
2/14/2026,WVSU,0,0.0,Salem,41,0.0,1
2/14/2026,WVSU,70,2.0,Salem,61,2.0,1
2/14/2026,WVSU,70,2.0,Salem,61,0.0,1
2/14/2026,WVSU,70,1.0,Salem,0,0.0,1
2/14/2026,WVSU,41,3.0,Salem,61,2.0,1
2/14/2026,WVSU,31,0.0,Salem,,,1
2/14/2026,WVSU,,,Salem,41,0.0,2
2/14/2026,WVSU,11,2.0,Salem,60,0.0,2
2/14/2026,WVSU,41,3.0,Salem,61,0.0,2
2/14/2026,WVSU,41,0.0,Salem,60,2.0,2
2/14/2026,WVSU,0,0.0,Salem,0,0.0,2
2/14/2026,WVSU,60,2.0,Salem,41,0.0,2
2/14/2026,WVSU,61,2.0,Salem,61,2.0,2
2/14/2026,WVSU,0,0.0,Salem,61,2.0,2
2/14/2026,WVSU,31,2.0,Salem,61,2.0,2
2/14/2026,WVSU,11/31,0.0,Salem,60,2.0,2
2/14/2026,WVSU,41,3.0,Salem,41,0.0,2
2/14/2026,WVSU,41,3.0,Salem,41,3.0,2
2/14/2026,WVSU,41,0.0,Salem,41,0.0,2
2/14/2026,WVSU,60,2.0,Salem,0,0.0,2
2/14/2026,WVSU,70,3.0,Salem,31,0.0,2
2/14/2026,WVSU,60,2.0,Salem,70,1.0,2
2/14/2026,WVSU,61/41,3.0,Salem,60,0.0,2
2/14/2026,WVSU,40,0.0,Salem,60/61,2.0,2
2/14/2026,WVSU,41,0.0,Salem,60/31,0.0,2
2/14/2026,WVSU,31,2.0,Salem,60,3.0,2
2/14/2026,WVSU,31,0.0,Salem,60,2.0,2
2/14/2026,WVSU,0,0.0,Salem,61,2.0,2
2/14/2026,WVSU,41,3.0,Salem,40,0.0,2
2/14/2026,WVSU,60,2.0,Salem,60,0.0,2
2/14/2026,WVSU,0,0.0,Salem,70,2.0,2
2/14/2026,WVSU,41,2.0,Salem,61,2.0,2
2/14/2026,WVSU,41,0.0,Salem,60,2.0,2
2/14/2026,WVSU,61,2.0,Salem,41,3.0,2
2/14/2026,WVSU,31/0,0.0,Salem,70,3.0,2
2/14/2026,WVSU,41,0.0,Salem,41,3.0,2
2/14/2026,WVSU,60,3.0,Salem,41,3.0,2
2/14/2026,WVSU,61,2.0,Salem,31,0.0,2
2/14/2026,WVSU,11,0.0,Salem,61,2.0,2
2/14/2026,WVSU,70,2.0,Salem,0,0.0,2
2/14/2026,WVSU,40,3.0,Salem,60,2.0,2
2/14/2026,WVSU,31/60,0.0,Salem,0,0.0,2
2/14/2026,WVSU,0,0.0,Salem,60/11/70,0.0,2
2/14/2026,WVSU,,,Salem,/60,2.0,2
2/14/2026,WVSU,70,1.0,Salem,70,3.0,2
2/14/2026,WVSU,70,2.0,Salem,31/60,2.0,2
2/14/2026,WVSU,70,2.0,Salem,70,2.0,2
2/14/2026,WVSU,0,0.0,Salem,31,0.0,2
2/14/2026,WVSU,70,2.0,Salem,60,2.0,2
2/14/2026,WVSU,70,2.0,Salem,31/60,2.0,2
