Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
2/21/2026,WVSU,,,Wesleyan,31,2.0,1
2/21/2026,WVSU,41,3.0,Wesleyan,31,0.0,1
2/21/2026,WVSU,41,3.0,Wesleyan,61,0.0,1
2/21/2026,WVSU,60,2.0,Wesleyan,41,0.0,1
2/21/2026,WVSU,0,0.0,Wesleyan,31,0.0,1
2/21/2026,WVSU,31,3.0,Wesleyan,31,2.0,1
2/21/2026,WVSU,0,0.0,Wesleyan,41,3.0,1
2/21/2026,WVSU,31,0.0,Wesleyan,41,0.0,1
2/21/2026,WVSU,41,0.0,Wesleyan,31,2.0,1
2/21/2026,WVSU,70,1.0,Wesleyan,41,3.0,1
2/21/2026,WVSU,61,2.0,Wesleyan,61,2.0,1
2/21/2026,WVSU,60,3.0,Wesleyan,30,0.0,1
2/21/2026,WVSU,0,0.0,Wesleyan,31,2.0,1
2/21/2026,WVSU,60,0.0,Wesleyan,61,0.0,1
2/21/2026,WVSU,0,0.0,Wesleyan,61,2.0,1
2/21/2026,WVSU,41,0.0,Wesleyan,11,0.0,1
2/21/2026,WVSU,31,0.0,Wesleyan,60,2.0,1
2/21/2026,WVSU,70,1.0,Wesleyan,61,0.0,1
2/21/2026,WVSU,61,0.0,Wesleyan,41/31,0.0,1
2/21/2026,WVSU,61,2.0,Wesleyan,31,0.0,1
2/21/2026,WVSU,0,0.0,Wesleyan,41,3.0,1
2/21/2026,WVSU,70,2.0,Wesleyan,61/60,2.0,1
2/21/2026,WVSU,41,0.0,Wesleyan,0,0.0,1
2/21/2026,WVSU,0,0.0,Wesleyan,31,2.0,1
2/21/2026,WVSU,31/60,3.0,Wesleyan,61,2.0,1
2/21/2026,WVSU,30,2.0,Wesleyan,41,0.0,1
2/21/2026,WVSU,61,2.0,Wesleyan,41,3.0,1
2/21/2026,WVSU,31,2.0,Wesleyan,61,2.0,1
2/21/2026,WVSU,61/70,2.0,Wesleyan,31,0.0,1
2/21/2026,WVSU,41/61,2.0,Wesleyan,60,0.0,1
2/21/2026,WVSU,41,3.0,Wesleyan,41,2.0,1
2/21/2026,WVSU,41,3.0,Wesleyan,31,2.0,1
2/21/2026,WVSU,41,3.0,Wesleyan,31,0.0,1
2/21/2026,WVSU,0,0.0,Wesleyan,60,0.0,1
2/21/2026,WVSU,70,1.0,Wesleyan,41,3.0,1
2/21/2026,WVSU,31,3.0,Wesleyan,11,0.0,1
2/21/2026,WVSU,41,2.0,Wesleyan,61,2.0,1
2/21/2026,WVSU,30/61,2.0,Wesleyan,40,3.0,1
2/21/2026,WVSU,31,0.0,Wesleyan,31,2.0,1
2/21/2026,WVSU,31,2.0,Wesleyan,60,2.0,1
2/21/2026,WVSU,0,0.0,Wesleyan,0,0.0,1
2/21/2026,WVSU,70,2.0,Wesleyan,0,0.0,2
2/21/2026,WVSU,31/60,0.0,Wesleyan,31,0.0,2
2/21/2026,WVSU,11/70,2.0,Wesleyan,61,2.0,2
2/21/2026,WVSU,0,0.0,Wesleyan,31,0.0,2
2/21/2026,WVSU,70,2.0,Wesleyan,41,0.0,2
2/21/2026,WVSU,41,0.0,Wesleyan,41,3.0,2
2/21/2026,WVSU,61,2.0,Wesleyan,31,2.0,2
2/21/2026,WVSU,61/11/61,2.0,Wesleyan,11,0.0,2
2/21/2026,WVSU,60,2.0,Wesleyan,60,2.0,2
2/21/2026,WVSU,41,0.0,Wesleyan,31,0.0,2
2/21/2026,WVSU,31,0.0,Wesleyan,41,0.0,2
2/21/2026,WVSU,61,2.0,Wesleyan,0,0.0,2
2/21/2026,WVSU,11/70,2.0,Wesleyan,,,2
2/21/2026,WVSU,41,2.0,Wesleyan,70,2.0,2
2/21/2026,WVSU,41,3.0,Wesleyan,40,0.0,2
2/21/2026,WVSU,41/60,2.0,Wesleyan,40,0.0,2
2/21/2026,WVSU,70,2.0,Wesleyan,60,0.0,2
2/21/2026,WVSU,61,2.0,Wesleyan,31,2.0,2
2/21/2026,WVSU,0,0.0,Wesleyan,31,2.0,2
2/21/2026,WVSU,41,0.0,Wesleyan,31,3.0,2
2/21/2026,WVSU,31,0.0,Wesleyan,0,0.0,2
2/21/2026,WVSU,31,0.0,Wesleyan,0,0.0,2
2/21/2026,WVSU,60,2.0,Wesleyan,60,2.0,2
2/21/2026,WVSU,0,0.0,Wesleyan,31/0,0.0,2
2/21/2026,WVSU,0,0.0,Wesleyan,41,3.0,2
2/21/2026,WVSU,60,3.0,Wesleyan,11/31,0.0,2
2/21/2026,WVSU,11,0.0,Wesleyan,41,0.0,2
2/21/2026,WVSU,0,0.0,Wesleyan,40/61,2.0,2
2/21/2026,WVSU,70,2.0,Wesleyan,0,0.0,2
2/21/2026,WVSU,41/0,0.0,Wesleyan,110,2.0,2
2/21/2026,WVSU,0,0.0,Wesleyan,0,0.0,2
2/21/2026,WVSU,41,3.0,Wesleyan,40/60/61,2.0,2
2/21/2026,WVSU,40,0.0,Wesleyan,70,0.0,2
2/21/2026,WVSU,41,0.0,Wesleyan,61,2.0,2
2/21/2026,WVSU,0,0.0,Wesleyan,70,0.0,2
2/21/2026,WVSU,70,0.0,Wesleyan,31,0.0,2
2/21/2026,WVSU,0,0.0,Wesleyan,0,0.0,2
2/21/2026,WVSU,60,2.0,Wesleyan,31,2.0,2
2/21/2026,WVSU,60,2.0,Wesleyan,31/60,2.0,2
2/21/2026,WVSU,70,2.0,Wesleyan,41/41,3.0,2
2/21/2026,WVSU,60,2.0,Wesleyan,41,3.0,2
2/21/2026,WVSU,0,0.0,Wesleyan,61,2.0,2
2/21/2026,WVSU,70,2.0,Wesleyan,70,1.0,2
2/21/2026,WVSU,0,0.0,Wesleyan,41,0.0,2
2/21/2026,WVSU,0,0.0,Wesleyan,60,2.0,2
2/21/2026,WVSU,70,0.0,Wesleyan,41,3.0,2
2/21/2026,WVSU,70,0.0,Wesleyan,41,0.0,2
2/21/2026,WVSU,70,2.0,Wesleyan,11,0.0,2
