Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
1/28/2026,WVSU,31/60/0,0.0,West Liberty,70,1.0,1
1/28/2026,WVSU,41,2.0,West Liberty,41,3.0,1
1/28/2026,WVSU,40,0.0,West Liberty,60,3.0,1
1/28/2026,WVSU,31,0.0,West Liberty,60,0.0,1
1/28/2026,WVSU,31,0.0,West Liberty,41/61,2.0,1
1/28/2026,WVSU,0,0.0,West Liberty,31,0.0,1
1/28/2026,WVSU,61,2.0,West Liberty,31/30,0.0,1
1/28/2026,WVSU,11,0.0,West Liberty,41,3.0,1
1/28/2026,WVSU,61,2.0,West Liberty,40/61,0.0,1
1/28/2026,WVSU,41,0.0,West Liberty,61/70,2.0,1
1/28/2026,WVSU,0,0.0,West Liberty,41/70,1.0,1
1/28/2026,WVSU,0,0.0,West Liberty,40,3.0,1
1/28/2026,WVSU,0,0.0,West Liberty,11/0,0.0,1
1/28/2026,WVSU,61,2.0,West Liberty,60,3.0,1
1/28/2026,WVSU,40,2.0,West Liberty,41,3.0,1
1/28/2026,WVSU,41,0.0,West Liberty,41,3.0,1
1/28/2026,WVSU,31,2.0,West Liberty,41,0.0,1
1/28/2026,WVSU,31,2.0,West Liberty,41/40/31,0.0,1
1/28/2026,WVSU,0,0.0,West Liberty,61,3.0,1
1/28/2026,WVSU,61,2.0,West Liberty,61,2.0,1
1/28/2026,WVSU,41,3.0,West Liberty,0,0.0,1
1/28/2026,WVSU,70,2.0,West Liberty,11,0.0,1
1/28/2026,WVSU,40,0.0,West Liberty,41,0.0,1
1/28/2026,WVSU,0,0.0,West Liberty,61,2.0,1
1/28/2026,WVSU,60,2.0,West Liberty,60/70,2.0,1
1/28/2026,WVSU,61,2.0,West Liberty,60,3.0,1
1/28/2026,WVSU,11,2.0,West Liberty,40,0.0,1
1/28/2026,WVSU,40,0.0,West Liberty,61,2.0,1
1/28/2026,WVSU,60,3.0,West Liberty,0,0.0,1
1/28/2026,WVSU,60,2.0,West Liberty,0,0.0,1
1/28/2026,WVSU,60,2.0,West Liberty,60,2.0,1
1/28/2026,WVSU,41,0.0,West Liberty,60,2.0,1
1/28/2026,WVSU,40,0.0,West Liberty,60,2.0,1
1/28/2026,WVSU,40,3.0,West Liberty,40,3.0,1
1/28/2026,WVSU,31,2.0,West Liberty,0,0.0,1
1/28/2026,WVSU,30,2.0,West Liberty,0,0.0,1
1/28/2026,WVSU,0,0.0,West Liberty,70,2.0,1
1/28/2026,WVSU,61/61,2.0,West Liberty,61,2.0,1
1/28/2026,WVSU,0,0.0,West Liberty,31/31,2.0,2
1/28/2026,WVSU,70,0.0,West Liberty,41,0.0,2
1/28/2026,WVSU,31,2.0,West Liberty,31,0.0,2
1/28/2026,WVSU,60,2.0,West Liberty,41,3.0,2
1/28/2026,WVSU,0,0.0,West Liberty,60,2.0,2
1/28/2026,WVSU,0,0.0,West Liberty,70,1.0,2
1/28/2026,WVSU,31,0.0,West Liberty,60,2.0,2
1/28/2026,WVSU,60,0.0,West Liberty,61,2.0,2
1/28/2026,WVSU,0,0.0,West Liberty,31/31,3.0,2
1/28/2026,WVSU,0,0.0,West Liberty,60,2.0,2
1/28/2026,WVSU,61,2.0,West Liberty,61,2.0,2
1/28/2026,WVSU,41,0.0,West Liberty,61,2.0,2
1/28/2026,WVSU,0,0.0,West Liberty,60,2.0,2
1/28/2026,WVSU,60,0.0,West Liberty,0,0.0,2
1/28/2026,WVSU,31,0.0,West Liberty,61,0.0,2
1/28/2026,WVSU,11,0.0,West Liberty,41,0.0,2
1/28/2026,WVSU,41,0.0,West Liberty,60/40,2.0,2
1/28/2026,WVSU,31,3.0,West Liberty,41,3.0,2
1/28/2026,WVSU,31,0.0,West Liberty,31,2.0,2
1/28/2026,WVSU,0,0.0,West Liberty,41,3.0,2
1/28/2026,WVSU,30/61,2.0,West Liberty,31,0.0,2
1/28/2026,WVSU,70,3.0,West Liberty,61,2.0,2
1/28/2026,WVSU,60,2.0,West Liberty,11,0.0,2
1/28/2026,WVSU,30,0.0,West Liberty,0,0.0,2
1/28/2026,WVSU,61,2.0,West Liberty,70,2.0,2
1/28/2026,WVSU,11,2.0,West Liberty,61,2.0,2
1/28/2026,WVSU,30,3.0,West Liberty,70,2.0,2
1/28/2026,WVSU,31,0.0,West Liberty,41,0.0,2
1/28/2026,WVSU,0,0.0,West Liberty,61/61,2.0,2
1/28/2026,WVSU,61,2.0,West Liberty,0,0.0,2
1/28/2026,WVSU,60,3.0,West Liberty,0,0.0,2
1/28/2026,WVSU,31/31,2.0,West Liberty,41/60,2.0,2
1/28/2026,WVSU,70,3.0,West Liberty,40,2.0,2
1/28/2026,WVSU,41,0.0,West Liberty,61/61/31,0.0,2
1/28/2026,WVSU,31,0.0,West Liberty,41/61,0.0,2
1/28/2026,WVSU,40,2.0,West Liberty,0,0.0,2
1/28/2026,WVSU,70,2.0,West Liberty,31,0.0,2
1/28/2026,WVSU,41,2.0,West Liberty,41,0.0,2
1/28/2026,WVSU,0,0.0,West Liberty,40,0.0,2
1/28/2026,WVSU,61,0.0,West Liberty,31,0.0,2
1/28/2026,WVSU,31,0.0,West Liberty,31/30,2.0,2
1/28/2026,WVSU,41,0.0,West Liberty,,,2
