Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
12/10/2025,WVSU,61,2.0,Wheeling,41,2.0,1
12/10/2025,WVSU,0,0.0,Wheeling,0,0.0,1
12/10/2025,WVSU,61,2.0,Wheeling,70,2.0,1
12/10/2025,WVSU,31,0.0,Wheeling,31,2.0,1
12/10/2025,WVSU,70,0.0,Wheeling,41,3.0,1
12/10/2025,WVSU,31/70,1.0,Wheeling,61,0.0,1
12/10/2025,WVSU,70,2.0,Wheeling,40,0.0,1
12/10/2025,WVSU,61/41,0.0,Wheeling,0,0.0,1
12/10/2025,WVSU,30,0.0,Wheeling,31/31/30,2.0,1
12/10/2025,WVSU,70,2.0,Wheeling,31,0.0,1
12/10/2025,WVSU,41,0.0,Wheeling,0,0.0,1
12/10/2025,WVSU,41,2.0,Wheeling,61,0.0,1
12/10/2025,WVSU,0,0.0,Wheeling,61/70,2.0,1
12/10/2025,WVSU,41,3.0,Wheeling,40,3.0,1
12/10/2025,WVSU,31,0.0,Wheeling,61,0.0,1
12/10/2025,WVSU,31,0.0,Wheeling,61/0,0.0,1
12/10/2025,WVSU,60,2.0,Wheeling,40/0,0.0,1
12/10/2025,WVSU,60,2.0,Wheeling,61,2.0,1
12/10/2025,WVSU,0,0.0,Wheeling,31,0.0,1
12/10/2025,WVSU,70,3.0,Wheeling,41/61,2.0,1
12/10/2025,WVSU,31,2.0,Wheeling,41,0.0,1
12/10/2025,WVSU,61,2.0,Wheeling,31,2.0,1
12/10/2025,WVSU,31,0.0,Wheeling,31,0.0,1
12/10/2025,WVSU,31,3.0,Wheeling,70,1.0,1
12/10/2025,WVSU,60,0.0,Wheeling,31,0.0,1
12/10/2025,WVSU,61,2.0,Wheeling,60,2.0,1
12/10/2025,WVSU,0,0.0,Wheeling,70,1.0,1
12/10/2025,WVSU,40,3.0,Wheeling,41/31,0.0,1
12/10/2025,WVSU,0,0.0,Wheeling,60,2.0,1
12/10/2025,WVSU,60,2.0,Wheeling,61,2.0,1
12/10/2025,WVSU,0,0.0,Wheeling,0,0.0,1
12/10/2025,WVSU,31,0.0,Wheeling,31,0.0,1
12/10/2025,WVSU,70,2.0,Wheeling,31,0.0,1
12/10/2025,WVSU,61,2.0,Wheeling,0,0.0,1
12/10/2025,WVSU,70,1.0,Wheeling,60/70,2.0,1
12/10/2025,WVSU,11/31/70,1.0,Wheeling,,,1
12/10/2025,WVSU,/70,3.0,Wheeling,70,0.0,1
12/10/2025,WVSU,30,3.0,Wheeling,31,0.0,1
12/10/2025,WVSU,61,2.0,Wheeling,60,0.0,1
12/10/2025,WVSU,31/70,0.0,Wheeling,,,2
12/10/2025,WVSU,/0,0.0,Wheeling,61,2.0,2
12/10/2025,WVSU,60,2.0,Wheeling,31,0.0,2
12/10/2025,WVSU,60,0.0,Wheeling,0,0.0,2
12/10/2025,WVSU,60,2.0,Wheeling,41,3.0,2
12/10/2025,WVSU,0,0.0,Wheeling,31,2.0,2
12/10/2025,WVSU,60,3.0,Wheeling,0,0.0,2
12/10/2025,WVSU,0,0.0,Wheeling,31,0.0,2
12/10/2025,WVSU,31,0.0,Wheeling,0,0.0,2
12/10/2025,WVSU,60,0.0,Wheeling,11/60,2.0,2
12/10/2025,WVSU,61,2.0,Wheeling,0,0.0,2
12/10/2025,WVSU,11/11,0.0,Wheeling,70,2.0,2
12/10/2025,WVSU,61,2.0,Wheeling,0,0.0,2
12/10/2025,WVSU,60,2.0,Wheeling,41,0.0,2
12/10/2025,WVSU,31,3.0,Wheeling,31,0.0,2
12/10/2025,WVSU,11,0.0,Wheeling,70,1.0,2
12/10/2025,WVSU,60,0.0,Wheeling,0,0.0,2
12/10/2025,WVSU,11,0.0,Wheeling,31,0.0,2
12/10/2025,WVSU,70,1.0,Wheeling,,,2
12/10/2025,WVSU,70,1.0,Wheeling,70,0.0,2
12/10/2025,WVSU,31,0.0,Wheeling,40,3.0,2
12/10/2025,WVSU,0,0.0,Wheeling,61,2.0,2
