Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
2/18/2026,Wesleyan,,,Charleston,60,2.0,1
2/18/2026,Wesleyan,0,0.0,Charleston,61,3.0,1
2/18/2026,Wesleyan,31,0.0,Charleston,60,0.0,1
2/18/2026,Wesleyan,41,0.0,Charleston,60,2.0,1
2/18/2026,Wesleyan,61,3.0,Charleston,60,2.0,1
2/18/2026,Wesleyan,0,0.0,Charleston,60,0.0,1
2/18/2026,Wesleyan,30,0.0,Charleston,61,3.0,1
2/18/2026,Wesleyan,31,2.0,Charleston,0,0.0,1
2/18/2026,Wesleyan,31,2.0,Charleston,60,2.0,1
2/18/2026,Wesleyan,0,0.0,Charleston,41,3.0,1
2/18/2026,Wesleyan,31,3.0,Charleston,40,0.0,1
2/18/2026,Wesleyan,60,2.0,Charleston,31,0.0,1
2/18/2026,Wesleyan,31,2.0,Charleston,31,0.0,1
2/18/2026,Wesleyan,60,0.0,Charleston,60,2.0,1
2/18/2026,Wesleyan,41,3.0,Charleston,31,0.0,1
2/18/2026,Wesleyan,0,0.0,Charleston,61,2.0,1
2/18/2026,Wesleyan,31,0.0,Charleston,70,1.0,1
2/18/2026,Wesleyan,0,0.0,Charleston,41,2.0,1
2/18/2026,Wesleyan,31,0.0,Charleston,0,0.0,1
2/18/2026,Wesleyan,31,0.0,Charleston,70,3.0,1
2/18/2026,Wesleyan,31,3.0,Charleston,31,0.0,1
2/18/2026,Wesleyan,70,1.0,Charleston,61,0.0,1
2/18/2026,Wesleyan,0,0.0,Charleston,61/41,0.0,1
2/18/2026,Wesleyan,41,0.0,Charleston,31,3.0,1
2/18/2026,Wesleyan,0,0.0,Charleston,70,0.0,1
2/18/2026,Wesleyan,11,0.0,Charleston,70,2.0,1
2/18/2026,Wesleyan,31,0.0,Charleston,61,0.0,1
2/18/2026,Wesleyan,31,2.0,Charleston,41/40,0.0,1
2/18/2026,Wesleyan,60,2.0,Charleston,41,0.0,1
2/18/2026,Wesleyan,41,0.0,Charleston,61,3.0,1
2/18/2026,Wesleyan,70,1.0,Charleston,61,0.0,1
2/18/2026,Wesleyan,31,0.0,Charleston,70,0.0,1
2/18/2026,Wesleyan,0,0.0,Charleston,70,2.0,1
2/18/2026,Wesleyan,0,0.0,Charleston,41,3.0,1
2/18/2026,Wesleyan,11,0.0,Charleston,61,0.0,1
2/18/2026,Wesleyan,41,3.0,Charleston,60,2.0,1
2/18/2026,Wesleyan,60,3.0,Charleston,70,1.0,1
2/18/2026,Wesleyan,0,0.0,Charleston,60,2.0,1
2/18/2026,Wesleyan,40,0.0,Charleston,11,0.0,1
2/18/2026,Wesleyan,0,0.0,Charleston,60,2.0,2
2/18/2026,Wesleyan,41,3.0,Charleston,11,0.0,2
2/18/2026,Wesleyan,70,2.0,Charleston,61/61,2.0,2
2/18/2026,Wesleyan,0,0.0,Charleston,31/60,2.0,2
2/18/2026,Wesleyan,31,0.0,Charleston,70,1.0,2
2/18/2026,Wesleyan,,,Charleston,41,0.0,2
2/18/2026,Wesleyan,61,2.0,Charleston,30,2.0,2
2/18/2026,Wesleyan,31,0.0,Charleston,60,2.0,2
2/18/2026,Wesleyan,41,0.0,Charleston,70,2.0,2
2/18/2026,Wesleyan,31,2.0,Charleston,0,0.0,2
2/18/2026,Wesleyan,11/31,0.0,Charleston,11/11,0.0,2
2/18/2026,Wesleyan,31,0.0,Charleston,60,0.0,2
2/18/2026,Wesleyan,70,1.0,Charleston,61/70,2.0,2
2/18/2026,Wesleyan,0,0.0,Charleston,70,1.0,2
2/18/2026,Wesleyan,31,0.0,Charleston,60/70,2.0,2
2/18/2026,Wesleyan,70,2.0,Charleston,60,2.0,2
2/18/2026,Wesleyan,70,1.0,Charleston,11,0.0,2
2/18/2026,Wesleyan,41,3.0,Charleston,41,0.0,2
2/18/2026,Wesleyan,31,0.0,Charleston,41,0.0,2
2/18/2026,Wesleyan,61,3.0,Charleston,70,1.0,2
2/18/2026,Wesleyan,70,1.0,Charleston,,,2
2/18/2026,Wesleyan,/61,0.0,Charleston,60,0.0,2
2/18/2026,Wesleyan,70,3.0,Charleston,61,2.0,2
2/18/2026,Wesleyan,0,0.0,Charleston,60,2.0,2
2/18/2026,Wesleyan,70,2.0,Charleston,61,0.0,2
2/18/2026,Wesleyan,31,0.0,Charleston,41/61/60/61,2.0,2
2/18/2026,Wesleyan,31,0.0,Charleston,60,2.0,2
2/18/2026,Wesleyan,61,3.0,Charleston,70,2.0,2
2/18/2026,Wesleyan,11/60,2.0,Charleston,60,0.0,2
2/18/2026,Wesleyan,0,0.0,Charleston,61,3.0,2
2/18/2026,Wesleyan,0,0.0,Charleston,41,0.0,2
2/18/2026,Wesleyan,31,3.0,Charleston,41,3.0,2
2/18/2026,Wesleyan,70,2.0,Charleston,60,2.0,2
2/18/2026,Wesleyan,31,0.0,Charleston,41,3.0,2
2/18/2026,Wesleyan,31,0.0,Charleston,0,0.0,2
2/18/2026,Wesleyan,40/70,1.0,Charleston,70,2.0,2
2/18/2026,Wesleyan,31,2.0,Charleston,41,0.0,2
2/18/2026,Wesleyan,70,2.0,Charleston,,,2
