Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
1/7/2026,Wesleyan,61,0.0,Concord,60,0.0,1
1/7/2026,Wesleyan,31,2.0,Concord,11,0.0,1
1/7/2026,Wesleyan,31,0.0,Concord,0,0.0,1
1/7/2026,Wesleyan,0,0.0,Concord,60,0.0,1
1/7/2026,Wesleyan,31,0.0,Concord,40,3.0,1
1/7/2026,Wesleyan,31,0.0,Concord,11/31/60,2.0,1
1/7/2026,Wesleyan,31,2.0,Concord,0,0.0,1
1/7/2026,Wesleyan,40,0.0,Concord,11/60,0.0,1
1/7/2026,Wesleyan,31,2.0,Concord,11,0.0,1
1/7/2026,Wesleyan,0,0.0,Concord,61/61,2.0,1
1/7/2026,Wesleyan,31,0.0,Concord,61,3.0,1
1/7/2026,Wesleyan,60,2.0,Concord,31,3.0,1
1/7/2026,Wesleyan,31,0.0,Concord,61/31,0.0,1
1/7/2026,Wesleyan,0,0.0,Concord,0,0.0,1
1/7/2026,Wesleyan,60,2.0,Concord,0,0.0,1
1/7/2026,Wesleyan,0,0.0,Concord,60,2.0,1
1/7/2026,Wesleyan,31,0.0,Concord,70,2.0,1
1/7/2026,Wesleyan,41,3.0,Concord,0,0.0,1
1/7/2026,Wesleyan,0,0.0,Concord,60,2.0,1
1/7/2026,Wesleyan,31,0.0,Concord,41,3.0,1
1/7/2026,Wesleyan,61,2.0,Concord,70,2.0,1
1/7/2026,Wesleyan,11/41,0.0,Concord,41,2.0,1
1/7/2026,Wesleyan,0,0.0,Concord,60,2.0,1
1/7/2026,Wesleyan,31,0.0,Concord,60,2.0,1
1/7/2026,Wesleyan,0,0.0,Concord,31,3.0,1
1/7/2026,Wesleyan,0,0.0,Concord,11/41,3.0,1
1/7/2026,Wesleyan,11/0,0.0,Concord,0,0.0,1
1/7/2026,Wesleyan,11,0.0,Concord,60,2.0,1
1/7/2026,Wesleyan,70,3.0,Concord,60,3.0,1
1/7/2026,Wesleyan,40,0.0,Concord,40,3.0,1
1/7/2026,Wesleyan,31,0.0,Concord,41,0.0,1
1/7/2026,Wesleyan,41,2.0,Concord,60/60,0.0,1
1/7/2026,Wesleyan,0,0.0,Concord,41,3.0,1
1/7/2026,Wesleyan,61,2.0,Concord,31,0.0,1
1/7/2026,Wesleyan,31/61,0.0,Concord,41,0.0,1
1/7/2026,Wesleyan,31,2.0,Concord,31,0.0,1
1/7/2026,Wesleyan,,,Concord,60,0.0,2
1/7/2026,Wesleyan,61,0.0,Concord,70,3.0,2
1/7/2026,Wesleyan,31,2.0,Concord,0,0.0,2
1/7/2026,Wesleyan,0,0.0,Concord,60,2.0,2
1/7/2026,Wesleyan,31,0.0,Concord,60,3.0,2
1/7/2026,Wesleyan,41,0.0,Concord,60,2.0,2
1/7/2026,Wesleyan,31,0.0,Concord,70,2.0,2
1/7/2026,Wesleyan,41,2.0,Concord,61/0,0.0,2
1/7/2026,Wesleyan,60,2.0,Concord,70,3.0,2
1/7/2026,Wesleyan,70,2.0,Concord,31,0.0,2
1/7/2026,Wesleyan,41,0.0,Concord,60,2.0,2
1/7/2026,Wesleyan,31,0.0,Concord,61/60,2.0,2
1/7/2026,Wesleyan,70,2.0,Concord,60,2.0,2
1/7/2026,Wesleyan,61/70,3.0,Concord,0,0.0,2
1/7/2026,Wesleyan,70,2.0,Concord,0,0.0,2
1/7/2026,Wesleyan,0,0.0,Concord,60/41/41,2.0,2
1/7/2026,Wesleyan,0,0.0,Concord,41,3.0,2
1/7/2026,Wesleyan,11/60,2.0,Concord,11,0.0,2
1/7/2026,Wesleyan,31,0.0,Concord,61,2.0,2
1/7/2026,Wesleyan,11,0.0,Concord,70,1.0,2
1/7/2026,Wesleyan,41,3.0,Concord,61,2.0,2
1/7/2026,Wesleyan,70,0.0,Concord,41,0.0,2
1/7/2026,Wesleyan,11/60,0.0,Concord,60,3.0,2
1/7/2026,Wesleyan,70,2.0,Concord,41,0.0,2
1/7/2026,Wesleyan,0,0.0,Concord,60,2.0,2
1/7/2026,Wesleyan,40,2.0,Concord,61,2.0,2
1/7/2026,Wesleyan,11,0.0,Concord,61/31,0.0,2
1/7/2026,Wesleyan,0,0.0,Concord,11/41/60,3.0,2
1/7/2026,Wesleyan,61,2.0,Concord,31,0.0,2
1/7/2026,Wesleyan,11,0.0,Concord,70,0.0,2
1/7/2026,Wesleyan,70,2.0,Concord,0,0.0,2
1/7/2026,Wesleyan,70,2.0,Concord,60,3.0,2
1/7/2026,Wesleyan,61,2.0,Concord,0,0.0,2
1/7/2026,Wesleyan,31,0.0,Concord,70,1.0,2
1/7/2026,Wesleyan,61,2.0,Concord,61,2.0,2
1/7/2026,Wesleyan,60,2.0,Concord,41,3.0,2
1/7/2026,Wesleyan,60,2.0,Concord,,,2
