Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
1/24/2026,Wesleyan,31/11,0.0,D&E,31,0.0,1
1/24/2026,Wesleyan,60,0.0,D&E,11,2.0,1
1/24/2026,Wesleyan,60,3.0,D&E,41,0.0,1
1/24/2026,Wesleyan,40,0.0,D&E,31,0.0,1
1/24/2026,Wesleyan,31/31,0.0,D&E,31,0.0,1
1/24/2026,Wesleyan,41,0.0,D&E,0,0.0,1
1/24/2026,Wesleyan,70,2.0,D&E,31,0.0,1
1/24/2026,Wesleyan,31/60,0.0,D&E,0,0.0,1
1/24/2026,Wesleyan,31,3.0,D&E,70,0.0,1
1/24/2026,Wesleyan,61,2.0,D&E,41,0.0,1
1/24/2026,Wesleyan,11,0.0,D&E,60/30,0.0,1
1/24/2026,Wesleyan,0,0.0,D&E,70,1.0,1
1/24/2026,Wesleyan,,,D&E,/11,0.0,1
1/24/2026,Wesleyan,41,3.0,D&E,31,3.0,1
1/24/2026,Wesleyan,11,0.0,D&E,0,0.0,1
1/24/2026,Wesleyan,31,3.0,D&E,31/41,2.0,1
1/24/2026,Wesleyan,31/11,0.0,D&E,60,3.0,1
1/24/2026,Wesleyan,0,0.0,D&E,31,0.0,1
1/24/2026,Wesleyan,70,1.0,D&E,31,3.0,1
1/24/2026,Wesleyan,60,3.0,D&E,0,0.0,1
1/24/2026,Wesleyan,41,3.0,D&E,0,0.0,1
1/24/2026,Wesleyan,41/0,0.0,D&E,70,2.0,1
1/24/2026,Wesleyan,31,2.0,D&E,61,2.0,1
1/24/2026,Wesleyan,70,1.0,D&E,11/40,0.0,1
1/24/2026,Wesleyan,61,0.0,D&E,70,2.0,1
1/24/2026,Wesleyan,31,3.0,D&E,41,3.0,1
1/24/2026,Wesleyan,61,0.0,D&E,0,0.0,1
1/24/2026,Wesleyan,31/60,2.0,D&E,0,0.0,1
1/24/2026,Wesleyan,0,0.0,D&E,41,3.0,1
1/24/2026,Wesleyan,31,3.0,D&E,41,3.0,1
1/24/2026,Wesleyan,40,0.0,D&E,40,3.0,1
1/24/2026,Wesleyan,41/0,0.0,D&E,61,2.0,1
1/24/2026,Wesleyan,11,0.0,D&E,70,1.0,1
1/24/2026,Wesleyan,41,0.0,D&E,41,0.0,1
1/24/2026,Wesleyan,40,3.0,D&E,41,0.0,1
1/24/2026,Wesleyan,31,0.0,D&E,0,0.0,1
1/24/2026,Wesleyan,11,0.0,D&E,70,3.0,1
1/24/2026,Wesleyan,61,0.0,D&E,70,2.0,1
1/24/2026,Wesleyan,30,2.0,D&E,0,0.0,1
1/24/2026,Wesleyan,0,0.0,D&E,0,0.0,1
1/24/2026,Wesleyan,11,0.0,D&E,,,1
1/24/2026,Wesleyan,,,D&E,11,0.0,2
1/24/2026,Wesleyan,11/0,0.0,D&E,70,1.0,2
1/24/2026,Wesleyan,61,0.0,D&E,41,3.0,2
1/24/2026,Wesleyan,41,3.0,D&E,60,2.0,2
1/24/2026,Wesleyan,61,3.0,D&E,60,0.0,2
1/24/2026,Wesleyan,31/60,0.0,D&E,31/70,2.0,2
1/24/2026,Wesleyan,,,D&E,70,2.0,2
1/24/2026,Wesleyan,,,D&E,31,0.0,2
1/24/2026,Wesleyan,70,2.0,D&E,0,0.0,2
1/24/2026,Wesleyan,0,0.0,D&E,60,2.0,2
1/24/2026,Wesleyan,0,0.0,D&E,60,2.0,2
1/24/2026,Wesleyan,40/31,2.0,D&E,0,0.0,2
1/24/2026,Wesleyan,70,2.0,D&E,11,0.0,2
1/24/2026,Wesleyan,31,0.0,D&E,61,2.0,2
1/24/2026,Wesleyan,61,2.0,D&E,61,0.0,2
1/24/2026,Wesleyan,41,3.0,D&E,0,0.0,2
1/24/2026,Wesleyan,11,0.0,D&E,11,2.0,2
1/24/2026,Wesleyan,41,0.0,D&E,31,0.0,2
1/24/2026,Wesleyan,31,3.0,D&E,31/70,2.0,2
1/24/2026,Wesleyan,41,3.0,D&E,31,3.0,2
1/24/2026,Wesleyan,70,2.0,D&E,70,2.0,2
1/24/2026,Wesleyan,31,3.0,D&E,61,0.0,2
1/24/2026,Wesleyan,30,0.0,D&E,61/70,0.0,2
1/24/2026,Wesleyan,70,1.0,D&E,40,3.0,2
1/24/2026,Wesleyan,61,3.0,D&E,0,0.0,2
1/24/2026,Wesleyan,0,0.0,D&E,60,0.0,2
1/24/2026,Wesleyan,60,2.0,D&E,70,2.0,2
1/24/2026,Wesleyan,31,0.0,D&E,70,2.0,2
1/24/2026,Wesleyan,30,0.0,D&E,41,3.0,2
1/24/2026,Wesleyan,40,0.0,D&E,11,2.0,2
1/24/2026,Wesleyan,31/30,2.0,D&E,31,0.0,2
1/24/2026,Wesleyan,60,3.0,D&E,60,2.0,2
1/24/2026,Wesleyan,31/60/60,0.0,D&E,70,1.0,2
1/24/2026,Wesleyan,31,0.0,D&E,60,2.0,2
1/24/2026,Wesleyan,0,0.0,D&E,70,2.0,2
1/24/2026,Wesleyan,61/0,0.0,D&E,31/11,0.0,2
1/24/2026,Wesleyan,31,0.0,D&E,70,2.0,2
1/24/2026,Wesleyan,0,0.0,D&E,0,0.0,2
1/24/2026,Wesleyan,0,0.0,D&E,61,0.0,2
1/24/2026,Wesleyan,41,3.0,D&E,70,2.0,2
1/24/2026,Wesleyan,60,2.0,D&E,70,2.0,2
1/24/2026,Wesleyan,11/0,0.0,D&E,0,0.0,2
1/24/2026,Wesleyan,0,0.0,D&E,70,1.0,2
1/24/2026,Wesleyan,11,0.0,D&E,,,2
