Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
2/25/2026,Wesleyan,31,2.0,Fairmont,41,0.0,1
2/25/2026,Wesleyan,31/11,0.0,Fairmont,41,0.0,1
2/25/2026,Wesleyan,70,1.0,Fairmont,60,2.0,1
2/25/2026,Wesleyan,11,0.0,Fairmont,41,3.0,1
2/25/2026,Wesleyan,11,0.0,Fairmont,60,0.0,1
2/25/2026,Wesleyan,61,0.0,Fairmont,31,0.0,1
2/25/2026,Wesleyan,0,0.0,Fairmont,60,2.0,1
2/25/2026,Wesleyan,11/0,0.0,Fairmont,61,2.0,1
2/25/2026,Wesleyan,0,0.0,Fairmont,60,2.0,1
2/25/2026,Wesleyan,30/41,0.0,Fairmont,0,0.0,1
2/25/2026,Wesleyan,31,0.0,Fairmont,0,0.0,1
2/25/2026,Wesleyan,41,3.0,Fairmont,61,2.0,1
2/25/2026,Wesleyan,31,2.0,Fairmont,41,0.0,1
2/25/2026,Wesleyan,41,3.0,Fairmont,0,0.0,1
2/25/2026,Wesleyan,11/61,0.0,Fairmont,0,0.0,1
2/25/2026,Wesleyan,41,0.0,Fairmont,0,0.0,1
2/25/2026,Wesleyan,41,3.0,Fairmont,60,3.0,1
2/25/2026,Wesleyan,41,0.0,Fairmont,0,0.0,1
2/25/2026,Wesleyan,31,0.0,Fairmont,70,1.0,1
2/25/2026,Wesleyan,31,3.0,Fairmont,11,0.0,1
2/25/2026,Wesleyan,60,2.0,Fairmont,0,0.0,1
2/25/2026,Wesleyan,31,0.0,Fairmont,31/70,0.0,1
2/25/2026,Wesleyan,61/31,0.0,Fairmont,0,0.0,1
2/25/2026,Wesleyan,31,0.0,Fairmont,41,3.0,1
2/25/2026,Wesleyan,61,3.0,Fairmont,70,2.0,1
2/25/2026,Wesleyan,70,1.0,Fairmont,41,3.0,1
2/25/2026,Wesleyan,0,0.0,Fairmont,61,2.0,1
2/25/2026,Wesleyan,31,0.0,Fairmont,70,0.0,1
2/25/2026,Wesleyan,0,0.0,Fairmont,70,2.0,1
2/25/2026,Wesleyan,11,0.0,Fairmont,0,0.0,1
2/25/2026,Wesleyan,41,3.0,Fairmont,31,3.0,1
2/25/2026,Wesleyan,31,0.0,Fairmont,41,3.0,1
2/25/2026,Wesleyan,70,2.0,Fairmont,31,2.0,1
2/25/2026,Wesleyan,0,0.0,Fairmont,60,2.0,1
2/25/2026,Wesleyan,70,0.0,Fairmont,41/70,2.0,1
2/25/2026,Wesleyan,0,0.0,Fairmont,70,3.0,1
2/25/2026,Wesleyan,60,2.0,Fairmont,61,0.0,1
2/25/2026,Wesleyan,31/40,3.0,Fairmont,,,1
2/25/2026,Wesleyan,,,Fairmont,61,2.0,2
2/25/2026,Wesleyan,0,0.0,Fairmont,11/60,2.0,2
2/25/2026,Wesleyan,31,0.0,Fairmont,61/61,2.0,2
2/25/2026,Wesleyan,0,0.0,Fairmont,0,0.0,2
2/25/2026,Wesleyan,11,0.0,Fairmont,70,2.0,2
2/25/2026,Wesleyan,61,3.0,Fairmont,70,3.0,2
2/25/2026,Wesleyan,0,0.0,Fairmont,0,0.0,2
2/25/2026,Wesleyan,70,3.0,Fairmont,0,0.0,2
2/25/2026,Wesleyan,61,2.0,Fairmont,31,0.0,2
2/25/2026,Wesleyan,0,0.0,Fairmont,41,3.0,2
2/25/2026,Wesleyan,0,0.0,Fairmont,70,1.0,2
2/25/2026,Wesleyan,0,0.0,Fairmont,40,0.0,2
2/25/2026,Wesleyan,31,0.0,Fairmont,31/61/31/61,3.0,2
2/25/2026,Wesleyan,60,2.0,Fairmont,60,2.0,2
2/25/2026,Wesleyan,30/61,3.0,Fairmont,0,0.0,2
2/25/2026,Wesleyan,11,0.0,Fairmont,61/61,2.0,2
2/25/2026,Wesleyan,41,0.0,Fairmont,41,3.0,2
2/25/2026,Wesleyan,31,3.0,Fairmont,41,3.0,2
2/25/2026,Wesleyan,31,3.0,Fairmont,31/0,0.0,2
2/25/2026,Wesleyan,0,0.0,Fairmont,11,0.0,2
2/25/2026,Wesleyan,41,0.0,Fairmont,31,2.0,2
2/25/2026,Wesleyan,41,0.0,Fairmont,31,3.0,2
2/25/2026,Wesleyan,41,3.0,Fairmont,70,1.0,2
2/25/2026,Wesleyan,41,0.0,Fairmont,41,2.0,2
2/25/2026,Wesleyan,60,2.0,Fairmont,60,3.0,2
2/25/2026,Wesleyan,70,2.0,Fairmont,0,0.0,2
2/25/2026,Wesleyan,60/0,0.0,Fairmont,61,2.0,2
2/25/2026,Wesleyan,41,0.0,Fairmont,70,2.0,2
2/25/2026,Wesleyan,11/60,2.0,Fairmont,41,3.0,2
2/25/2026,Wesleyan,61,3.0,Fairmont,70,1.0,2
2/25/2026,Wesleyan,31/60,0.0,Fairmont,40/70,0.0,2
2/25/2026,Wesleyan,31,0.0,Fairmont,70,2.0,2
2/25/2026,Wesleyan,70,1.0,Fairmont,31/40/61,2.0,2
2/25/2026,Wesleyan,61,0.0,Fairmont,41,3.0,2
2/25/2026,Wesleyan,31/31,2.0,Fairmont,60,3.0,2
2/25/2026,Wesleyan,31/41,2.0,Fairmont,0,0.0,2
2/25/2026,Wesleyan,60,0.0,Fairmont,31,0.0,2
2/25/2026,Wesleyan,31,2.0,Fairmont,41,0.0,2
