Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
12/3/2025,Wesleyan,,,Frostburg,31,3.0,1
12/3/2025,Wesleyan,11/61,2.0,Frostburg,11/0,0.0,1
12/3/2025,Wesleyan,60,2.0,Frostburg,41,3.0,1
12/3/2025,Wesleyan,61/61,2.0,Frostburg,11,0.0,1
12/3/2025,Wesleyan,0,0.0,Frostburg,70,1.0,1
12/3/2025,Wesleyan,31/11/60,2.0,Frostburg,11/70,2.0,1
12/3/2025,Wesleyan,70,1.0,Frostburg,40,0.0,1
12/3/2025,Wesleyan,41/41/60,2.0,Frostburg,60/61,2.0,1
12/3/2025,Wesleyan,41,0.0,Frostburg,0,0.0,1
12/3/2025,Wesleyan,11,0.0,Frostburg,41,3.0,1
12/3/2025,Wesleyan,11/11,2.0,Frostburg,11,2.0,1
12/3/2025,Wesleyan,61,0.0,Frostburg,31/61,2.0,1
12/3/2025,Wesleyan,31,0.0,Frostburg,0,0.0,1
12/3/2025,Wesleyan,11/41,0.0,Frostburg,31,0.0,1
12/3/2025,Wesleyan,0,0.0,Frostburg,31,0.0,1
12/3/2025,Wesleyan,0,0.0,Frostburg,41,0.0,1
12/3/2025,Wesleyan,60,2.0,Frostburg,61,3.0,1
12/3/2025,Wesleyan,61,2.0,Frostburg,60,2.0,1
12/3/2025,Wesleyan,31,3.0,Frostburg,31,2.0,1
12/3/2025,Wesleyan,60,2.0,Frostburg,31,2.0,1
12/3/2025,Wesleyan,0,0.0,Frostburg,70,2.0,1
12/3/2025,Wesleyan,11,0.0,Frostburg,41,0.0,1
12/3/2025,Wesleyan,0,0.0,Frostburg,60,2.0,1
12/3/2025,Wesleyan,61,2.0,Frostburg,41,0.0,1
12/3/2025,Wesleyan,31,3.0,Frostburg,11,2.0,1
12/3/2025,Wesleyan,31/30/0,0.0,Frostburg,61,0.0,1
12/3/2025,Wesleyan,31/70,2.0,Frostburg,31,0.0,1
12/3/2025,Wesleyan,0,0.0,Frostburg,11/70,1.0,1
12/3/2025,Wesleyan,11,0.0,Frostburg,31,3.0,1
12/3/2025,Wesleyan,0,0.0,Frostburg,11,0.0,1
12/3/2025,Wesleyan,61/41,0.0,Frostburg,11,0.0,1
12/3/2025,Wesleyan,61,2.0,Frostburg,41,3.0,1
12/3/2025,Wesleyan,0,0.0,Frostburg,60,2.0,1
