Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
2/14/2026,Wesleyan,60,2.0,Glenville,41,3.0,1
2/14/2026,Wesleyan,41,0.0,Glenville,0,0.0,1
2/14/2026,Wesleyan,41,0.0,Glenville,41,3.0,1
2/14/2026,Wesleyan,41,0.0,Glenville,31,0.0,1
2/14/2026,Wesleyan,41/61,2.0,Glenville,31,0.0,1
2/14/2026,Wesleyan,31,0.0,Glenville,31/41,0.0,1
2/14/2026,Wesleyan,31,0.0,Glenville,0,0.0,1
2/14/2026,Wesleyan,60,2.0,Glenville,31/41/40,2.0,1
2/14/2026,Wesleyan,41,3.0,Glenville,41,3.0,1
2/14/2026,Wesleyan,0,0.0,Glenville,31,3.0,1
2/14/2026,Wesleyan,11,0.0,Glenville,31,2.0,1
2/14/2026,Wesleyan,0,0.0,Glenville,41,3.0,1
2/14/2026,Wesleyan,40,0.0,Glenville,31,3.0,1
2/14/2026,Wesleyan,61,3.0,Glenville,0,0.0,1
2/14/2026,Wesleyan,0,0.0,Glenville,31/41,3.0,1
2/14/2026,Wesleyan,0,0.0,Glenville,70,2.0,1
2/14/2026,Wesleyan,40,3.0,Glenville,31,2.0,1
2/14/2026,Wesleyan,31/60,2.0,Glenville,60,2.0,1
2/14/2026,Wesleyan,61/31,0.0,Glenville,31,3.0,1
2/14/2026,Wesleyan,0,0.0,Glenville,60,0.0,1
2/14/2026,Wesleyan,31,2.0,Glenville,41,3.0,1
2/14/2026,Wesleyan,41,0.0,Glenville,0,0.0,1
2/14/2026,Wesleyan,0,0.0,Glenville,31/41,0.0,1
2/14/2026,Wesleyan,0,0.0,Glenville,70,1.0,1
2/14/2026,Wesleyan,41,3.0,Glenville,31,0.0,1
2/14/2026,Wesleyan,30,2.0,Glenville,31,0.0,1
2/14/2026,Wesleyan,30,0.0,Glenville,31,0.0,1
2/14/2026,Wesleyan,0,0.0,Glenville,61,2.0,1
2/14/2026,Wesleyan,31/70,1.0,Glenville,0,0.0,1
2/14/2026,Wesleyan,61,2.0,Glenville,41,2.0,1
2/14/2026,Wesleyan,61,2.0,Glenville,31,0.0,1
2/14/2026,Wesleyan,0,0.0,Glenville,0,0.0,1
2/14/2026,Wesleyan,31,0.0,Glenville,0,0.0,1
2/14/2026,Wesleyan,41/0,0.0,Glenville,31,0.0,1
2/14/2026,Wesleyan,0,0.0,Glenville,60,2.0,1
2/14/2026,Wesleyan,31,0.0,Glenville,61,2.0,1
2/14/2026,Wesleyan,30,0.0,Glenville,11,0.0,1
2/14/2026,Wesleyan,41,0.0,Glenville,60,3.0,1
2/14/2026,Wesleyan,0,0.0,Glenville,61,2.0,1
2/14/2026,Wesleyan,40,0.0,Glenville,60,2.0,1
2/14/2026,Wesleyan,41,0.0,Glenville,31,2.0,1
2/14/2026,Wesleyan,30,0.0,Glenville,41,0.0,1
