Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
12/10/2025,Wesleyan,0,0.0,Point Park,11,0.0,1
12/10/2025,Wesleyan,31,0.0,Point Park,41,3.0,1
12/10/2025,Wesleyan,61/11/31/60,2.0,Point Park,11,0.0,1
12/10/2025,Wesleyan,11,0.0,Point Park,41,0.0,1
12/10/2025,Wesleyan,31,0.0,Point Park,31,0.0,1
12/10/2025,Wesleyan,31,3.0,Point Park,0,0.0,1
12/10/2025,Wesleyan,61/70,1.0,Point Park,31,0.0,1
12/10/2025,Wesleyan,61,0.0,Point Park,31,2.0,1
12/10/2025,Wesleyan,0,0.0,Point Park,31,3.0,1
12/10/2025,Wesleyan,31/0,0.0,Point Park,31,0.0,1
12/10/2025,Wesleyan,31,0.0,Point Park,0,0.0,1
12/10/2025,Wesleyan,41,2.0,Point Park,61/41/11,2.0,1
12/10/2025,Wesleyan,41,0.0,Point Park,41,0.0,1
12/10/2025,Wesleyan,41,3.0,Point Park,11,0.0,1
12/10/2025,Wesleyan,70,1.0,Point Park,31,2.0,1
12/10/2025,Wesleyan,31,0.0,Point Park,31/41,3.0,1
12/10/2025,Wesleyan,31,0.0,Point Park,0,0.0,1
12/10/2025,Wesleyan,11,0.0,Point Park,11/61/61/60,2.0,1
12/10/2025,Wesleyan,0,0.0,Point Park,0,0.0,1
12/10/2025,Wesleyan,31,0.0,Point Park,0,0.0,1
12/10/2025,Wesleyan,30/11/61,0.0,Point Park,0,0.0,1
12/10/2025,Wesleyan,61/31/70,2.0,Point Park,40,3.0,1
12/10/2025,Wesleyan,31/11,0.0,Point Park,31,0.0,1
12/10/2025,Wesleyan,31/60,2.0,Point Park,0,0.0,1
12/10/2025,Wesleyan,0,0.0,Point Park,60,0.0,1
12/10/2025,Wesleyan,0,0.0,Point Park,11/31,0.0,1
12/10/2025,Wesleyan,0,0.0,Point Park,60,2.0,1
12/10/2025,Wesleyan,70,2.0,Point Park,31,3.0,1
12/10/2025,Wesleyan,30,0.0,Point Park,0,0.0,1
12/10/2025,Wesleyan,70,2.0,Point Park,61,2.0,1
12/10/2025,Wesleyan,61,2.0,Point Park,31,2.0,1
12/10/2025,Wesleyan,60,2.0,Point Park,70,2.0,1
12/10/2025,Wesleyan,31/61,0.0,Point Park,0,0.0,1
12/10/2025,Wesleyan,60,2.0,Point Park,70,2.0,1
12/10/2025,Wesleyan,61,2.0,Point Park,31/40,0.0,1
12/10/2025,Wesleyan,31,2.0,Point Park,11/60,2.0,1
12/10/2025,Wesleyan,0,0.0,Point Park,31,2.0,1
12/10/2025,Wesleyan,31,0.0,Point Park,,,1
12/10/2025,Wesleyan,,,Point Park,30,0.0,2
12/10/2025,Wesleyan,11,0.0,Point Park,31,2.0,2
12/10/2025,Wesleyan,41,2.0,Point Park,0,0.0,2
12/10/2025,Wesleyan,0,0.0,Point Park,40,0.0,2
12/10/2025,Wesleyan,61,2.0,Point Park,70,2.0,2
12/10/2025,Wesleyan,61/31,2.0,Point Park,41,0.0,2
12/10/2025,Wesleyan,11/60/70,2.0,Point Park,40,3.0,2
12/10/2025,Wesleyan,31,2.0,Point Park,0,0.0,2
12/10/2025,Wesleyan,0,0.0,Point Park,61,2.0,2
12/10/2025,Wesleyan,60,2.0,Point Park,61,2.0,2
12/10/2025,Wesleyan,31,0.0,Point Park,41,3.0,2
12/10/2025,Wesleyan,61,2.0,Point Park,31/61,0.0,2
12/10/2025,Wesleyan,11,2.0,Point Park,41,0.0,2
12/10/2025,Wesleyan,31,0.0,Point Park,60/60/60,2.0,2
12/10/2025,Wesleyan,31,0.0,Point Park,60,3.0,2
12/10/2025,Wesleyan,60,2.0,Point Park,41,3.0,2
12/10/2025,Wesleyan,61,2.0,Point Park,61,2.0,2
12/10/2025,Wesleyan,31/31,0.0,Point Park,31,3.0,2
12/10/2025,Wesleyan,61,3.0,Point Park,31/11/60,2.0,2
12/10/2025,Wesleyan,70,2.0,Point Park,70,1.0,2
12/10/2025,Wesleyan,41,0.0,Point Park,60,3.0,2
12/10/2025,Wesleyan,31,3.0,Point Park,0,0.0,2
12/10/2025,Wesleyan,31,2.0,Point Park,0,0.0,2
12/10/2025,Wesleyan,0,0.0,Point Park,61,3.0,2
12/10/2025,Wesleyan,31/31,0.0,Point Park,41,3.0,2
12/10/2025,Wesleyan,41,0.0,Point Park,61,2.0,2
12/10/2025,Wesleyan,41/60,2.0,Point Park,11/41,3.0,2
12/10/2025,Wesleyan,31,0.0,Point Park,60/31,0.0,2
12/10/2025,Wesleyan,61,2.0,Point Park,70,1.0,2
12/10/2025,Wesleyan,61,2.0,Point Park,70,1.0,2
12/10/2025,Wesleyan,0,0.0,Point Park,61,3.0,2
12/10/2025,Wesleyan,0,0.0,Point Park,60,2.0,2
12/10/2025,Wesleyan,0,0.0,Point Park,31/61/70,2.0,2
12/10/2025,Wesleyan,0,0.0,Point Park,41,0.0,2
12/10/2025,Wesleyan,31/31,0.0,Point Park,,,2
