Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
1/17/2026,Wesleyan,61,2.0,WVSU,11,2.0,1
1/17/2026,Wesleyan,0,0.0,WVSU,70,2.0,1
1/17/2026,Wesleyan,31,0.0,WVSU,11,0.0,1
1/17/2026,Wesleyan,31,0.0,WVSU,40/60,2.0,1
1/17/2026,Wesleyan,61,0.0,WVSU,40,0.0,1
1/17/2026,Wesleyan,0,0.0,WVSU,70,2.0,1
1/17/2026,Wesleyan,11,0.0,WVSU,31,2.0,1
1/17/2026,Wesleyan,61/60,0.0,WVSU,0,0.0,1
1/17/2026,Wesleyan,41/61,2.0,WVSU,11/70,3.0,1
1/17/2026,Wesleyan,61,2.0,WVSU,11,0.0,1
1/17/2026,Wesleyan,41,0.0,WVSU,0,0.0,1
1/17/2026,Wesleyan,41,3.0,WVSU,31,3.0,1
1/17/2026,Wesleyan,60,2.0,WVSU,61,2.0,1
1/17/2026,Wesleyan,60,2.0,WVSU,31,0.0,1
1/17/2026,Wesleyan,41,0.0,WVSU,0,0.0,1
1/17/2026,Wesleyan,41,0.0,WVSU,60,2.0,1
1/17/2026,Wesleyan,0,0.0,WVSU,41,0.0,1
1/17/2026,Wesleyan,0,0.0,WVSU,0,0.0,1
1/17/2026,Wesleyan,30,2.0,WVSU,60,2.0,1
1/17/2026,Wesleyan,31,3.0,WVSU,41,3.0,1
1/17/2026,Wesleyan,61,2.0,WVSU,0,0.0,1
1/17/2026,Wesleyan,60,0.0,WVSU,11,0.0,1
1/17/2026,Wesleyan,41,2.0,WVSU,0,0.0,1
1/17/2026,Wesleyan,41,3.0,WVSU,61,3.0,1
1/17/2026,Wesleyan,70,1.0,WVSU,11/70,3.0,1
1/17/2026,Wesleyan,11,0.0,WVSU,41,0.0,1
1/17/2026,Wesleyan,61,2.0,WVSU,31,0.0,1
1/17/2026,Wesleyan,31,0.0,WVSU,70,1.0,1
1/17/2026,Wesleyan,0,0.0,WVSU,60/61,2.0,1
1/17/2026,Wesleyan,70,2.0,WVSU,,,1
1/17/2026,Wesleyan,31/61,2.0,WVSU,60,0.0,1
1/17/2026,Wesleyan,41,3.0,WVSU,70,1.0,1
1/17/2026,Wesleyan,40,3.0,WVSU,31,0.0,1
1/17/2026,Wesleyan,0,0.0,WVSU,61,2.0,1
1/17/2026,Wesleyan,41,3.0,WVSU,70,0.0,1
1/17/2026,Wesleyan,31/31/70,2.0,WVSU,0,0.0,1
1/17/2026,Wesleyan,61/11,0.0,WVSU,31/61,2.0,1
1/17/2026,Wesleyan,10,0.0,WVSU,,,1
1/17/2026,Wesleyan,70,1.0,WVSU,,,2
1/17/2026,Wesleyan,/60/61,2.0,WVSU,41,0.0,2
1/17/2026,Wesleyan,70,2.0,WVSU,0,0.0,2
1/17/2026,Wesleyan,11,0.0,WVSU,61,0.0,2
1/17/2026,Wesleyan,61,0.0,WVSU,31/70,1.0,2
1/17/2026,Wesleyan,11,2.0,WVSU,41,2.0,2
1/17/2026,Wesleyan,41,0.0,WVSU,61/60,2.0,2
1/17/2026,Wesleyan,61,3.0,WVSU,31,0.0,2
1/17/2026,Wesleyan,60/70,2.0,WVSU,70,2.0,2
1/17/2026,Wesleyan,41,3.0,WVSU,60,2.0,2
1/17/2026,Wesleyan,41,3.0,WVSU,61,2.0,2
1/17/2026,Wesleyan,110,2.0,WVSU,31/61,2.0,2
1/17/2026,Wesleyan,0,0.0,WVSU,41/60,0.0,2
1/17/2026,Wesleyan,61,2.0,WVSU,41,0.0,2
1/17/2026,Wesleyan,110,3.0,WVSU,31,0.0,2
1/17/2026,Wesleyan,0,0.0,WVSU,41,0.0,2
1/17/2026,Wesleyan,31,0.0,WVSU,70,2.0,2
1/17/2026,Wesleyan,41,3.0,WVSU,31/61/11/70,1.0,2
1/17/2026,Wesleyan,0,0.0,WVSU,60,2.0,2
1/17/2026,Wesleyan,11,0.0,WVSU,60,2.0,2
1/17/2026,Wesleyan,11,0.0,WVSU,0,0.0,2
1/17/2026,Wesleyan,70,0.0,WVSU,30,0.0,2
1/17/2026,Wesleyan,61,0.0,WVSU,70,1.0,2
1/17/2026,Wesleyan,70,2.0,WVSU,11/61,2.0,2
1/17/2026,Wesleyan,31,0.0,WVSU,70,1.0,2
1/17/2026,Wesleyan,0,0.0,WVSU,41,2.0,2
1/17/2026,Wesleyan,70,2.0,WVSU,70,1.0,2
1/17/2026,Wesleyan,41,0.0,WVSU,0,0.0,2
1/17/2026,Wesleyan,61,2.0,WVSU,70,2.0,2
1/17/2026,Wesleyan,30,0.0,WVSU,70,2.0,2
1/17/2026,Wesleyan,0,0.0,WVSU,60,0.0,2
1/17/2026,Wesleyan,0,0.0,WVSU,70,1.0,2
1/17/2026,Wesleyan,70,1.0,WVSU,70,2.0,2
1/17/2026,Wesleyan,31,3.0,WVSU,61,2.0,2
1/17/2026,Wesleyan,70,2.0,WVSU,41,2.0,2
1/17/2026,Wesleyan,31,3.0,WVSU,31/70,2.0,2
1/17/2026,Wesleyan,0,0.0,WVSU,61,2.0,2
1/17/2026,Wesleyan,60,0.0,WVSU,61,3.0,2
1/17/2026,Wesleyan,70,1.0,WVSU,11/31/70,2.0,2
1/17/2026,Wesleyan,41,3.0,WVSU,61,2.0,2
1/17/2026,Wesleyan,70,2.0,WVSU,41,0.0,2
1/17/2026,Wesleyan,70,2.0,WVSU,70,3.0,2
1/17/2026,Wesleyan,70,1.0,WVSU,31,0.0,2
1/17/2026,Wesleyan,70,2.0,WVSU,31,0.0,2
