Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
2/7/2026,Wesleyan,,,West Liberty,11,0.0,1
2/7/2026,Wesleyan,0,0.0,West Liberty,70,2.0,1
2/7/2026,Wesleyan,41,3.0,West Liberty,31,3.0,1
2/7/2026,Wesleyan,0,0.0,West Liberty,11,0.0,1
2/7/2026,Wesleyan,70,2.0,West Liberty,31/110,2.0,1
2/7/2026,Wesleyan,0,0.0,West Liberty,70,1.0,1
2/7/2026,Wesleyan,40,3.0,West Liberty,31/41/0,0.0,1
2/7/2026,Wesleyan,0,0.0,West Liberty,41,3.0,1
2/7/2026,Wesleyan,0,0.0,West Liberty,61,2.0,1
2/7/2026,Wesleyan,41,0.0,West Liberty,11,0.0,1
2/7/2026,Wesleyan,60,2.0,West Liberty,61,2.0,1
2/7/2026,Wesleyan,40,3.0,West Liberty,41,0.0,1
2/7/2026,Wesleyan,0,0.0,West Liberty,61,2.0,1
2/7/2026,Wesleyan,41,0.0,West Liberty,11,0.0,1
2/7/2026,Wesleyan,40/110,2.0,West Liberty,41,0.0,1
2/7/2026,Wesleyan,41,3.0,West Liberty,41,3.0,1
2/7/2026,Wesleyan,60,2.0,West Liberty,0,0.0,1
2/7/2026,Wesleyan,40/60,0.0,West Liberty,70,2.0,1
2/7/2026,Wesleyan,31,2.0,West Liberty,30,0.0,1
2/7/2026,Wesleyan,41,0.0,West Liberty,41,3.0,1
2/7/2026,Wesleyan,0,0.0,West Liberty,0,0.0,1
2/7/2026,Wesleyan,31,0.0,West Liberty,31/61,2.0,1
2/7/2026,Wesleyan,41,3.0,West Liberty,40,0.0,1
2/7/2026,Wesleyan,11,0.0,West Liberty,60,3.0,1
2/7/2026,Wesleyan,0,0.0,West Liberty,41/41,0.0,1
2/7/2026,Wesleyan,11,0.0,West Liberty,31,0.0,1
2/7/2026,Wesleyan,60,2.0,West Liberty,70,2.0,1
2/7/2026,Wesleyan,60,2.0,West Liberty,0,0.0,1
2/7/2026,Wesleyan,11/60,2.0,West Liberty,70,0.0,1
2/7/2026,Wesleyan,30,2.0,West Liberty,31/41/0,0.0,1
2/7/2026,Wesleyan,41,0.0,West Liberty,61,2.0,1
2/7/2026,Wesleyan,31,0.0,West Liberty,0,0.0,1
2/7/2026,Wesleyan,61,0.0,West Liberty,61,0.0,1
2/7/2026,Wesleyan,31,0.0,West Liberty,70,2.0,1
2/7/2026,Wesleyan,41,3.0,West Liberty,41,2.0,1
2/7/2026,Wesleyan,0,0.0,West Liberty,30/31/60,2.0,1
2/7/2026,Wesleyan,41,0.0,West Liberty,0,0.0,1
2/7/2026,Wesleyan,0,0.0,West Liberty,70,2.0,1
2/7/2026,Wesleyan,31,2.0,West Liberty,0,0.0,1
2/7/2026,Wesleyan,11,0.0,West Liberty,70,2.0,1
2/7/2026,Wesleyan,0,0.0,West Liberty,41,3.0,1
2/7/2026,Wesleyan,61,2.0,West Liberty,61/11,0.0,1
2/7/2026,Wesleyan,70,1.0,West Liberty,70,3.0,1
2/7/2026,Wesleyan,60,0.0,West Liberty,31,0.0,1
2/7/2026,Wesleyan,70,1.0,West Liberty,0,0.0,1
2/7/2026,Wesleyan,31,0.0,West Liberty,31/11,2.0,1
2/7/2026,Wesleyan,61,2.0,West Liberty,31,3.0,1
2/7/2026,Wesleyan,0,0.0,West Liberty,60,2.0,2
2/7/2026,Wesleyan,41/41,0.0,West Liberty,70,2.0,2
2/7/2026,Wesleyan,31,0.0,West Liberty,60,2.0,2
2/7/2026,Wesleyan,70,1.0,West Liberty,,,2
2/7/2026,Wesleyan,/31,0.0,West Liberty,0,0.0,2
2/7/2026,Wesleyan,61,2.0,West Liberty,0,0.0,2
2/7/2026,Wesleyan,70,2.0,West Liberty,60,2.0,2
2/7/2026,Wesleyan,0,0.0,West Liberty,41,0.0,2
2/7/2026,Wesleyan,31,0.0,West Liberty,31,2.0,2
2/7/2026,Wesleyan,60,2.0,West Liberty,61,0.0,2
2/7/2026,Wesleyan,11,0.0,West Liberty,30,0.0,2
2/7/2026,Wesleyan,40/31/31,0.0,West Liberty,31,0.0,2
2/7/2026,Wesleyan,31,3.0,West Liberty,70,0.0,2
2/7/2026,Wesleyan,70,1.0,West Liberty,0,0.0,2
2/7/2026,Wesleyan,60,2.0,West Liberty,61,3.0,2
2/7/2026,Wesleyan,70,2.0,West Liberty,60,2.0,2
2/7/2026,Wesleyan,0,0.0,West Liberty,41,0.0,2
