Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
1/3/2026,Wesleyan,41,3.0,Wheeling,31/60,0.0,1
1/3/2026,Wesleyan,40,0.0,Wheeling,41,0.0,1
1/3/2026,Wesleyan,60,0.0,Wheeling,31,3.0,1
1/3/2026,Wesleyan,61,2.0,Wheeling,11/11,0.0,1
1/3/2026,Wesleyan,0,0.0,Wheeling,61,2.0,1
1/3/2026,Wesleyan,0,0.0,Wheeling,60,2.0,1
1/3/2026,Wesleyan,31,0.0,Wheeling,40,0.0,1
1/3/2026,Wesleyan,31,2.0,Wheeling,61/61,2.0,1
1/3/2026,Wesleyan,0,0.0,Wheeling,0,0.0,1
1/3/2026,Wesleyan,31,0.0,Wheeling,31,2.0,1
1/3/2026,Wesleyan,0,0.0,Wheeling,70,1.0,1
1/3/2026,Wesleyan,31,0.0,Wheeling,31/60,3.0,1
1/3/2026,Wesleyan,0,0.0,Wheeling,0,0.0,1
1/3/2026,Wesleyan,60/31/11/70,0.0,Wheeling,31,0.0,1
1/3/2026,Wesleyan,31,0.0,Wheeling,41,0.0,1
1/3/2026,Wesleyan,70,2.0,Wheeling,0,0.0,1
1/3/2026,Wesleyan,70,3.0,Wheeling,41/31,2.0,1
1/3/2026,Wesleyan,11,0.0,Wheeling,61,2.0,1
1/3/2026,Wesleyan,11,0.0,Wheeling,0,0.0,1
1/3/2026,Wesleyan,70,2.0,Wheeling,41,3.0,1
1/3/2026,Wesleyan,11,0.0,Wheeling,41,0.0,1
1/3/2026,Wesleyan,61,2.0,Wheeling,110,2.0,1
1/3/2026,Wesleyan,31,0.0,Wheeling,61,2.0,1
1/3/2026,Wesleyan,0,0.0,Wheeling,31,0.0,1
1/3/2026,Wesleyan,61,2.0,Wheeling,41,0.0,1
1/3/2026,Wesleyan,0,0.0,Wheeling,31,2.0,1
1/3/2026,Wesleyan,61,0.0,Wheeling,31,0.0,1
1/3/2026,Wesleyan,0,0.0,Wheeling,0,0.0,1
1/3/2026,Wesleyan,0,0.0,Wheeling,70,2.0,1
1/3/2026,Wesleyan,31,2.0,Wheeling,41/41,0.0,1
1/3/2026,Wesleyan,70,2.0,Wheeling,61,2.0,1
1/3/2026,Wesleyan,31,0.0,Wheeling,61,2.0,1
1/3/2026,Wesleyan,0,0.0,Wheeling,60,2.0,1
1/3/2026,Wesleyan,41/61/11/61,2.0,Wheeling,11/60,0.0,1
1/3/2026,Wesleyan,61,0.0,Wheeling,60,2.0,1
1/3/2026,Wesleyan,41/40/61/60,2.0,Wheeling,70,2.0,1
1/3/2026,Wesleyan,70,0.0,Wheeling,61,2.0,1
1/3/2026,Wesleyan,,,Wheeling,0,0.0,2
1/3/2026,Wesleyan,61,2.0,Wheeling,11/70,2.0,2
1/3/2026,Wesleyan,0,0.0,Wheeling,60,0.0,2
1/3/2026,Wesleyan,31,0.0,Wheeling,60,2.0,2
1/3/2026,Wesleyan,31,3.0,Wheeling,31,0.0,2
1/3/2026,Wesleyan,40/31,0.0,Wheeling,70,1.0,2
1/3/2026,Wesleyan,31,0.0,Wheeling,70,1.0,2
1/3/2026,Wesleyan,70,2.0,Wheeling,31/70,2.0,2
1/3/2026,Wesleyan,0,0.0,Wheeling,61,2.0,2
