Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
1/31/2026,West Liberty,,,Charleston,41,2.0,1
1/31/2026,West Liberty,31,2.0,Charleston,41/60,3.0,1
1/31/2026,West Liberty,41,3.0,Charleston,41,2.0,1
1/31/2026,West Liberty,0,0.0,Charleston,70,2.0,1
1/31/2026,West Liberty,41/0,0.0,Charleston,61,3.0,1
1/31/2026,West Liberty,31,0.0,Charleston,0,0.0,1
1/31/2026,West Liberty,60,2.0,Charleston,0,0.0,1
1/31/2026,West Liberty,70,2.0,Charleston,0,0.0,1
1/31/2026,West Liberty,31,0.0,Charleston,11,0.0,1
1/31/2026,West Liberty,31,3.0,Charleston,60,0.0,1
1/31/2026,West Liberty,61,2.0,Charleston,31,2.0,1
1/31/2026,West Liberty,70,2.0,Charleston,60/61,0.0,1
1/31/2026,West Liberty,31,0.0,Charleston,61/31,0.0,1
1/31/2026,West Liberty,61,2.0,Charleston,61/41/41,0.0,1
1/31/2026,West Liberty,70,2.0,Charleston,61,3.0,1
1/31/2026,West Liberty,0,0.0,Charleston,0,0.0,1
1/31/2026,West Liberty,70,1.0,Charleston,0,0.0,1
1/31/2026,West Liberty,41,3.0,Charleston,60,3.0,1
1/31/2026,West Liberty,31,0.0,Charleston,31,0.0,1
1/31/2026,West Liberty,70,1.0,Charleston,60,2.0,1
1/31/2026,West Liberty,31,0.0,Charleston,60,3.0,1
1/31/2026,West Liberty,31,0.0,Charleston,31/70,2.0,1
1/31/2026,West Liberty,31,2.0,Charleston,61,3.0,1
1/31/2026,West Liberty,70,2.0,Charleston,0,0.0,1
1/31/2026,West Liberty,31,0.0,Charleston,11,0.0,1
1/31/2026,West Liberty,0,0.0,Charleston,0,0.0,1
1/31/2026,West Liberty,61,2.0,Charleston,0,0.0,1
1/31/2026,West Liberty,31,3.0,Charleston,40,3.0,1
1/31/2026,West Liberty,40,0.0,Charleston,61,2.0,1
1/31/2026,West Liberty,70,2.0,Charleston,41,0.0,1
1/31/2026,West Liberty,40,0.0,Charleston,70,0.0,1
1/31/2026,West Liberty,60,2.0,Charleston,41,3.0,1
1/31/2026,West Liberty,61,3.0,Charleston,61/60,2.0,1
1/31/2026,West Liberty,61,0.0,Charleston,31,0.0,1
1/31/2026,West Liberty,,,Charleston,41/11,0.0,2
1/31/2026,West Liberty,41,0.0,Charleston,60,2.0,2
1/31/2026,West Liberty,0,0.0,Charleston,41/11,0.0,2
1/31/2026,West Liberty,0,0.0,Charleston,0,0.0,2
1/31/2026,West Liberty,0,0.0,Charleston,60,2.0,2
1/31/2026,West Liberty,40,3.0,Charleston,61/61,2.0,2
1/31/2026,West Liberty,31/31,0.0,Charleston,60,2.0,2
1/31/2026,West Liberty,60,2.0,Charleston,0,0.0,2
1/31/2026,West Liberty,41,0.0,Charleston,61,2.0,2
1/31/2026,West Liberty,31,0.0,Charleston,70,2.0,2
1/31/2026,West Liberty,60,2.0,Charleston,40,0.0,2
1/31/2026,West Liberty,41,0.0,Charleston,11,0.0,2
1/31/2026,West Liberty,41,3.0,Charleston,61,0.0,2
1/31/2026,West Liberty,11/41,3.0,Charleston,0,0.0,2
1/31/2026,West Liberty,61,2.0,Charleston,11,0.0,2
1/31/2026,West Liberty,0,0.0,Charleston,11,0.0,2
1/31/2026,West Liberty,70,2.0,Charleston,0,0.0,2
1/31/2026,West Liberty,0,0.0,Charleston,61,2.0,2
1/31/2026,West Liberty,61,3.0,Charleston,0,0.0,2
1/31/2026,West Liberty,41,0.0,Charleston,40,3.0,2
1/31/2026,West Liberty,,,Charleston,60,2.0,2
1/31/2026,West Liberty,70,3.0,Charleston,41,0.0,2
1/31/2026,West Liberty,61,2.0,Charleston,0,0.0,2
1/31/2026,West Liberty,61,0.0,Charleston,40/61,2.0,2
1/31/2026,West Liberty,41,3.0,Charleston,41,3.0,2
1/31/2026,West Liberty,70,2.0,Charleston,61,0.0,2
1/31/2026,West Liberty,70,0.0,Charleston,,,2
1/31/2026,West Liberty,/61,3.0,Charleston,41,3.0,2
1/31/2026,West Liberty,31,2.0,Charleston,70,1.0,2
1/31/2026,West Liberty,60,2.0,Charleston,60,3.0,2
1/31/2026,West Liberty,31,0.0,Charleston,11,0.0,2
1/31/2026,West Liberty,31,0.0,Charleston,11,2.0,2
1/31/2026,West Liberty,31,0.0,Charleston,60,0.0,2
1/31/2026,West Liberty,61,0.0,Charleston,31,0.0,2
1/31/2026,West Liberty,70,3.0,Charleston,31/11,0.0,2
1/31/2026,West Liberty,0,0.0,Charleston,61,2.0,2
1/31/2026,West Liberty,70,2.0,Charleston,60,2.0,2
1/31/2026,West Liberty,70,1.0,Charleston,40/11/40/41,3.0,2
1/31/2026,West Liberty,70,2.0,Charleston,61,0.0,2
1/31/2026,West Liberty,11,0.0,Charleston,70,2.0,2
1/31/2026,West Liberty,70,2.0,Charleston,31,0.0,2
1/31/2026,West Liberty,70,1.0,Charleston,31/60,2.0,2
