Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
2/22/2026,West Liberty,,,Concord,60,0.0,1
2/22/2026,West Liberty,61,2.0,Concord,40,0.0,1
2/22/2026,West Liberty,60,3.0,Concord,0,0.0,1
2/22/2026,West Liberty,60,2.0,Concord,61,2.0,1
2/22/2026,West Liberty,31,2.0,Concord,0,0.0,1
2/22/2026,West Liberty,41,3.0,Concord,0,0.0,1
2/22/2026,West Liberty,41/61,2.0,Concord,60,2.0,1
2/22/2026,West Liberty,41,2.0,Concord,60,2.0,1
2/22/2026,West Liberty,60,3.0,Concord,41,0.0,1
2/22/2026,West Liberty,41,0.0,Concord,11/61,2.0,1
2/22/2026,West Liberty,41,0.0,Concord,70,1.0,1
2/22/2026,West Liberty,41/61,2.0,Concord,0,0.0,1
2/22/2026,West Liberty,70,2.0,Concord,0,0.0,1
2/22/2026,West Liberty,0,0.0,Concord,60,2.0,1
2/22/2026,West Liberty,0,0.0,Concord,60,3.0,1
2/22/2026,West Liberty,31,0.0,Concord,0,0.0,1
2/22/2026,West Liberty,61/61/60,2.0,Concord,0,0.0,1
2/22/2026,West Liberty,31/70,2.0,Concord,31,3.0,1
2/22/2026,West Liberty,0,0.0,Concord,11,2.0,1
2/22/2026,West Liberty,60,0.0,Concord,31,0.0,1
2/22/2026,West Liberty,41,3.0,Concord,60,2.0,1
2/22/2026,West Liberty,70,2.0,Concord,31,0.0,1
2/22/2026,West Liberty,70,1.0,Concord,0,0.0,1
2/22/2026,West Liberty,60,2.0,Concord,0,0.0,1
2/22/2026,West Liberty,11,2.0,Concord,70,3.0,1
2/22/2026,West Liberty,11,0.0,Concord,60,2.0,1
2/22/2026,West Liberty,11,0.0,Concord,11,2.0,1
2/22/2026,West Liberty,41,0.0,Concord,0,0.0,1
2/22/2026,West Liberty,31,0.0,Concord,60,2.0,1
2/22/2026,West Liberty,40,0.0,Concord,0,0.0,1
2/22/2026,West Liberty,70,1.0,Concord,31/61,2.0,1
2/22/2026,West Liberty,11,0.0,Concord,0,0.0,1
2/22/2026,West Liberty,0,0.0,Concord,11/0,0.0,1
2/22/2026,West Liberty,61,2.0,Concord,61,0.0,1
2/22/2026,West Liberty,41,0.0,Concord,31,0.0,1
2/22/2026,West Liberty,31,0.0,Concord,70,2.0,1
2/22/2026,West Liberty,41/31,0.0,Concord,31,2.0,1
2/22/2026,West Liberty,31,2.0,Concord,0,0.0,1
2/22/2026,West Liberty,70,2.0,Concord,60,2.0,1
2/22/2026,West Liberty,11,0.0,Concord,0,0.0,1
2/22/2026,West Liberty,70,3.0,Concord,11,0.0,1
2/22/2026,West Liberty,60,2.0,Concord,0,0.0,1
2/22/2026,West Liberty,61,2.0,Concord,70,0.0,1
2/22/2026,West Liberty,,,Concord,/60,0.0,1
2/22/2026,West Liberty,70,2.0,Concord,41,3.0,1
2/22/2026,West Liberty,61,3.0,Concord,11,0.0,1
2/22/2026,West Liberty,0,0.0,Concord,11,0.0,1
2/22/2026,West Liberty,,,Concord,60,2.0,2
2/22/2026,West Liberty,41,3.0,Concord,31,3.0,2
2/22/2026,West Liberty,41,3.0,Concord,11,2.0,2
2/22/2026,West Liberty,61,0.0,Concord,61/70,1.0,2
2/22/2026,West Liberty,11/0,0.0,Concord,40,0.0,2
2/22/2026,West Liberty,70,3.0,Concord,61,3.0,2
2/22/2026,West Liberty,60,2.0,Concord,0,0.0,2
2/22/2026,West Liberty,31,3.0,Concord,11/60,2.0,2
2/22/2026,West Liberty,60,2.0,Concord,11/31,0.0,2
2/22/2026,West Liberty,41,0.0,Concord,61/61,2.0,2
2/22/2026,West Liberty,31,0.0,Concord,41/60,2.0,2
2/22/2026,West Liberty,31,0.0,Concord,11,0.0,2
2/22/2026,West Liberty,60,2.0,Concord,11/61,0.0,2
2/22/2026,West Liberty,61,3.0,Concord,70,2.0,2
2/22/2026,West Liberty,31,0.0,Concord,40/60,0.0,2
2/22/2026,West Liberty,11,0.0,Concord,0,0.0,2
2/22/2026,West Liberty,70,2.0,Concord,11,0.0,2
2/22/2026,West Liberty,31,0.0,Concord,0,0.0,2
2/22/2026,West Liberty,70,3.0,Concord,70,2.0,2
2/22/2026,West Liberty,11/60,2.0,Concord,60/70,2.0,2
2/22/2026,West Liberty,30,0.0,Concord,0,0.0,2
2/22/2026,West Liberty,61,2.0,Concord,60,0.0,2
2/22/2026,West Liberty,11,2.0,Concord,70,0.0,2
2/22/2026,West Liberty,,,Concord,/61,2.0,2
2/22/2026,West Liberty,41,3.0,Concord,70,3.0,2
2/22/2026,West Liberty,0,0.0,Concord,31,2.0,2
2/22/2026,West Liberty,40,0.0,Concord,30/60,2.0,2
2/22/2026,West Liberty,31,2.0,Concord,11/11/70,3.0,2
2/22/2026,West Liberty,61,2.0,Concord,41,0.0,2
2/22/2026,West Liberty,61,2.0,Concord,70,1.0,2
2/22/2026,West Liberty,0,0.0,Concord,31/30,2.0,2
2/22/2026,West Liberty,11,0.0,Concord,0,0.0,2
2/22/2026,West Liberty,60/41,3.0,Concord,31/61,0.0,2
2/22/2026,West Liberty,60/31,2.0,Concord,60,2.0,2
2/22/2026,West Liberty,11/0,0.0,Concord,0,0.0,2
2/22/2026,West Liberty,70,3.0,Concord,70,1.0,2
2/22/2026,West Liberty,41/40,2.0,Concord,31,0.0,2
2/22/2026,West Liberty,60,2.0,Concord,31,0.0,2
2/22/2026,West Liberty,0,0.0,Concord,41,0.0,2
