Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
3/6/2026,West Liberty,,,D&E,60,2.0,1
3/6/2026,West Liberty,60,2.0,D&E,41,0.0,1
3/6/2026,West Liberty,70,1.0,D&E,61,2.0,1
3/6/2026,West Liberty,0,0.0,D&E,41/31,0.0,1
3/6/2026,West Liberty,60,2.0,D&E,41,0.0,1
3/6/2026,West Liberty,0,0.0,D&E,0,0.0,1
3/6/2026,West Liberty,30,2.0,D&E,0,0.0,1
3/6/2026,West Liberty,61/11,0.0,D&E,70,2.0,1
3/6/2026,West Liberty,11/31/61/61/11,0.0,D&E,0,0.0,1
3/6/2026,West Liberty,70,1.0,D&E,0,0.0,1
3/6/2026,West Liberty,60,2.0,D&E,41,3.0,1
3/6/2026,West Liberty,70,2.0,D&E,0,0.0,1
3/6/2026,West Liberty,61,2.0,D&E,0,0.0,1
3/6/2026,West Liberty,31,0.0,D&E,41,3.0,1
3/6/2026,West Liberty,41/70,1.0,D&E,31,3.0,1
3/6/2026,West Liberty,41,2.0,D&E,61,0.0,1
3/6/2026,West Liberty,11/31,2.0,D&E,0,0.0,1
3/6/2026,West Liberty,70,0.0,D&E,61,2.0,1
3/6/2026,West Liberty,31,0.0,D&E,41/70,1.0,1
3/6/2026,West Liberty,31/31,3.0,D&E,60,0.0,1
3/6/2026,West Liberty,11/31,2.0,D&E,0,0.0,1
3/6/2026,West Liberty,61,2.0,D&E,11,0.0,1
3/6/2026,West Liberty,0,0.0,D&E,11,0.0,1
3/6/2026,West Liberty,41/30,2.0,D&E,41,2.0,1
3/6/2026,West Liberty,0,0.0,D&E,41,0.0,1
3/6/2026,West Liberty,61/61,0.0,D&E,11,0.0,1
3/6/2026,West Liberty,0,0.0,D&E,11,0.0,1
3/6/2026,West Liberty,30,2.0,D&E,11,0.0,1
3/6/2026,West Liberty,70,1.0,D&E,70,2.0,1
3/6/2026,West Liberty,70,2.0,D&E,31,0.0,1
3/6/2026,West Liberty,60,2.0,D&E,61,2.0,1
3/6/2026,West Liberty,31,0.0,D&E,70,3.0,1
3/6/2026,West Liberty,70,1.0,D&E,11/61,0.0,1
3/6/2026,West Liberty,70,1.0,D&E,0,0.0,1
3/6/2026,West Liberty,60/0,0.0,D&E,70,3.0,1
3/6/2026,West Liberty,31,3.0,D&E,70,2.0,1
3/6/2026,West Liberty,11,0.0,D&E,61/60,2.0,1
3/6/2026,West Liberty,40,0.0,D&E,31,3.0,1
3/6/2026,West Liberty,11/11,2.0,D&E,70,1.0,1
3/6/2026,West Liberty,11/61,0.0,D&E,,,1
3/6/2026,West Liberty,,,D&E,70,3.0,2
3/6/2026,West Liberty,11/11,0.0,D&E,41,2.0,2
3/6/2026,West Liberty,31,0.0,D&E,0,0.0,2
3/6/2026,West Liberty,11/61,2.0,D&E,41,3.0,2
3/6/2026,West Liberty,41,3.0,D&E,60,2.0,2
3/6/2026,West Liberty,61,0.0,D&E,31,0.0,2
3/6/2026,West Liberty,70,1.0,D&E,60/41/70,2.0,2
3/6/2026,West Liberty,41,0.0,D&E,70,1.0,2
3/6/2026,West Liberty,11/31,0.0,D&E,0,0.0,2
3/6/2026,West Liberty,11,0.0,D&E,70,2.0,2
3/6/2026,West Liberty,41,2.0,D&E,31,0.0,2
3/6/2026,West Liberty,61,2.0,D&E,0,0.0,2
3/6/2026,West Liberty,60,2.0,D&E,31/61,2.0,2
3/6/2026,West Liberty,60,2.0,D&E,11/0,0.0,2
3/6/2026,West Liberty,70,1.0,D&E,0,0.0,2
3/6/2026,West Liberty,60,2.0,D&E,41,0.0,2
3/6/2026,West Liberty,61,2.0,D&E,60,2.0,2
3/6/2026,West Liberty,70,2.0,D&E,40,3.0,2
3/6/2026,West Liberty,11/41,0.0,D&E,31,0.0,2
3/6/2026,West Liberty,0,0.0,D&E,70,1.0,2
3/6/2026,West Liberty,31,2.0,D&E,0,0.0,2
3/6/2026,West Liberty,40,0.0,D&E,61,3.0,2
3/6/2026,West Liberty,11,0.0,D&E,0,0.0,2
3/6/2026,West Liberty,31,0.0,D&E,40,0.0,2
3/6/2026,West Liberty,41,0.0,D&E,31,3.0,2
3/6/2026,West Liberty,30/60,2.0,D&E,11,0.0,2
3/6/2026,West Liberty,31,0.0,D&E,0,0.0,2
3/6/2026,West Liberty,61,2.0,D&E,0,0.0,2
3/6/2026,West Liberty,11,0.0,D&E,70,2.0,2
3/6/2026,West Liberty,31,0.0,D&E,31/0,0.0,2
3/6/2026,West Liberty,61,2.0,D&E,0,0.0,2
3/6/2026,West Liberty,11/70,2.0,D&E,0,0.0,2
3/6/2026,West Liberty,11,0.0,D&E,41,3.0,2
3/6/2026,West Liberty,31,0.0,D&E,0,0.0,2
3/6/2026,West Liberty,61,2.0,D&E,31,0.0,2
3/6/2026,West Liberty,70,0.0,D&E,,,2
3/6/2026,West Liberty,/61/61,2.0,D&E,0,0.0,2
3/6/2026,West Liberty,60/70,2.0,D&E,31/60,2.0,2
3/6/2026,West Liberty,61,2.0,D&E,0,0.0,2
3/6/2026,West Liberty,60,0.0,D&E,0,0.0,2
3/6/2026,West Liberty,70,2.0,D&E,0,0.0,2
3/6/2026,West Liberty,70,1.0,D&E,41,0.0,2
