Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
1/7/2026,West Liberty,,,Frostburg,61,2.0,1
1/7/2026,West Liberty,0,0.0,Frostburg,61,2.0,1
1/7/2026,West Liberty,61,2.0,Frostburg,61/41/70,2.0,1
1/7/2026,West Liberty,0,0.0,Frostburg,11,0.0,1
1/7/2026,West Liberty,41,3.0,Frostburg,0,0.0,1
1/7/2026,West Liberty,61,2.0,Frostburg,0,0.0,1
1/7/2026,West Liberty,41,0.0,Frostburg,11/0,0.0,1
1/7/2026,West Liberty,0,0.0,Frostburg,60,2.0,1
1/7/2026,West Liberty,41,0.0,Frostburg,0,0.0,1
1/7/2026,West Liberty,0,0.0,Frostburg,31,0.0,1
1/7/2026,West Liberty,60,2.0,Frostburg,60,2.0,1
1/7/2026,West Liberty,31,0.0,Frostburg,61,2.0,1
1/7/2026,West Liberty,0,0.0,Frostburg,70,2.0,1
1/7/2026,West Liberty,70,0.0,Frostburg,0,0.0,1
1/7/2026,West Liberty,60,2.0,Frostburg,31,0.0,1
1/7/2026,West Liberty,0,0.0,Frostburg,0,0.0,1
1/7/2026,West Liberty,61,2.0,Frostburg,31,0.0,1
1/7/2026,West Liberty,40,3.0,Frostburg,41,0.0,1
1/7/2026,West Liberty,61,2.0,Frostburg,0,0.0,1
1/7/2026,West Liberty,61,2.0,Frostburg,41/41,3.0,1
1/7/2026,West Liberty,61,2.0,Frostburg,40,3.0,1
1/7/2026,West Liberty,61,0.0,Frostburg,31,0.0,1
1/7/2026,West Liberty,11,0.0,Frostburg,70,3.0,1
1/7/2026,West Liberty,70,2.0,Frostburg,31/61,2.0,1
1/7/2026,West Liberty,11,0.0,Frostburg,11,0.0,1
1/7/2026,West Liberty,31,3.0,Frostburg,0,0.0,1
1/7/2026,West Liberty,60,2.0,Frostburg,0,0.0,1
1/7/2026,West Liberty,60,2.0,Frostburg,70,2.0,1
1/7/2026,West Liberty,31,0.0,Frostburg,61,0.0,1
1/7/2026,West Liberty,60,2.0,Frostburg,61,2.0,1
1/7/2026,West Liberty,41,3.0,Frostburg,30,0.0,1
1/7/2026,West Liberty,61/60,2.0,Frostburg,31/41,3.0,1
1/7/2026,West Liberty,31/60,2.0,Frostburg,60,2.0,1
1/7/2026,West Liberty,0,0.0,Frostburg,60,2.0,1
1/7/2026,West Liberty,31,0.0,Frostburg,70,2.0,1
1/7/2026,West Liberty,31/61/61,2.0,Frostburg,11/70,0.0,1
1/7/2026,West Liberty,31,0.0,Frostburg,31,0.0,1
1/7/2026,West Liberty,31,3.0,Frostburg,0,0.0,1
1/7/2026,West Liberty,11/61,2.0,Frostburg,0,0.0,1
1/7/2026,West Liberty,31/41/31,0.0,Frostburg,61,2.0,1
1/7/2026,West Liberty,60,2.0,Frostburg,11,0.0,1
1/7/2026,West Liberty,31/60,2.0,Frostburg,0,0.0,1
1/7/2026,West Liberty,41/11,0.0,Frostburg,40,3.0,1
1/7/2026,West Liberty,70,1.0,Frostburg,31,2.0,1
1/7/2026,West Liberty,30,0.0,Frostburg,,,1
1/7/2026,West Liberty,41/0,0.0,Frostburg,61,0.0,2
1/7/2026,West Liberty,11,0.0,Frostburg,31,0.0,2
1/7/2026,West Liberty,60/60,2.0,Frostburg,61,2.0,2
1/7/2026,West Liberty,41,0.0,Frostburg,60,2.0,2
1/7/2026,West Liberty,61,2.0,Frostburg,31,3.0,2
1/7/2026,West Liberty,31,3.0,Frostburg,41,0.0,2
1/7/2026,West Liberty,41,3.0,Frostburg,60,3.0,2
1/7/2026,West Liberty,60,2.0,Frostburg,0,0.0,2
1/7/2026,West Liberty,61,2.0,Frostburg,0,0.0,2
1/7/2026,West Liberty,70,2.0,Frostburg,0,0.0,2
1/7/2026,West Liberty,70,0.0,Frostburg,0,0.0,2
1/7/2026,West Liberty,61,3.0,Frostburg,41/41,0.0,2
1/7/2026,West Liberty,60,2.0,Frostburg,60,2.0,2
1/7/2026,West Liberty,0,0.0,Frostburg,0,0.0,2
1/7/2026,West Liberty,61,2.0,Frostburg,31,3.0,2
1/7/2026,West Liberty,61,0.0,Frostburg,0,0.0,2
1/7/2026,West Liberty,61/0,0.0,Frostburg,11/70,2.0,2
1/7/2026,West Liberty,0,0.0,Frostburg,31,0.0,2
1/7/2026,West Liberty,41,3.0,Frostburg,31/0,0.0,2
1/7/2026,West Liberty,60,2.0,Frostburg,0,0.0,2
1/7/2026,West Liberty,60,2.0,Frostburg,60,0.0,2
1/7/2026,West Liberty,41,0.0,Frostburg,70,2.0,2
1/7/2026,West Liberty,61,2.0,Frostburg,70,0.0,2
1/7/2026,West Liberty,70,2.0,Frostburg,70,1.0,2
1/7/2026,West Liberty,31,0.0,Frostburg,30,0.0,2
1/7/2026,West Liberty,70,1.0,Frostburg,11,0.0,2
1/7/2026,West Liberty,31,0.0,Frostburg,60,2.0,2
1/7/2026,West Liberty,31/41,3.0,Frostburg,60/61,0.0,2
1/7/2026,West Liberty,30,0.0,Frostburg,0,0.0,2
1/7/2026,West Liberty,70,1.0,Frostburg,61,2.0,2
1/7/2026,West Liberty,30/11,0.0,Frostburg,70,2.0,2
1/7/2026,West Liberty,31,3.0,Frostburg,0,0.0,2
1/7/2026,West Liberty,70,2.0,Frostburg,31,2.0,2
1/7/2026,West Liberty,70,2.0,Frostburg,70,2.0,2
1/7/2026,West Liberty,0,0.0,Frostburg,70,1.0,2
1/7/2026,West Liberty,,,Frostburg,11/11,2.0,2
1/7/2026,West Liberty,31,3.0,Frostburg,70,2.0,2
1/7/2026,West Liberty,70,2.0,Frostburg,70,0.0,2
1/7/2026,West Liberty,60,3.0,Frostburg,11,0.0,2
1/7/2026,West Liberty,60/70,1.0,Frostburg,31,2.0,2
1/7/2026,West Liberty,41,2.0,Frostburg,40,3.0,2
1/7/2026,West Liberty,31,0.0,Frostburg,31/70,2.0,2
1/7/2026,West Liberty,31,0.0,Frostburg,11,2.0,2
1/7/2026,West Liberty,60/61,2.0,Frostburg,11/61/70,2.0,2
1/7/2026,West Liberty,41,0.0,Frostburg,31,0.0,2
1/7/2026,West Liberty,11,0.0,Frostburg,0,0.0,2
1/7/2026,West Liberty,70,2.0,Frostburg,41,0.0,2
1/7/2026,West Liberty,70,1.0,Frostburg,11/41,3.0,2
1/7/2026,West Liberty,60,3.0,Frostburg,31,0.0,2
