Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
1/14/2026,West Liberty,11,0.0,Glenville,60,3.0,1
1/14/2026,West Liberty,31,2.0,Glenville,61,0.0,1
1/14/2026,West Liberty,31,0.0,Glenville,31,0.0,1
1/14/2026,West Liberty,0,0.0,Glenville,41,2.0,1
1/14/2026,West Liberty,31,2.0,Glenville,31,0.0,1
1/14/2026,West Liberty,60,0.0,Glenville,61,2.0,1
1/14/2026,West Liberty,41,0.0,Glenville,0,0.0,1
1/14/2026,West Liberty,41,0.0,Glenville,0,0.0,1
1/14/2026,West Liberty,0,0.0,Glenville,40,3.0,1
1/14/2026,West Liberty,31,0.0,Glenville,31/60,2.0,1
1/14/2026,West Liberty,41,0.0,Glenville,11,2.0,1
1/14/2026,West Liberty,30/41,3.0,Glenville,40/0,0.0,1
1/14/2026,West Liberty,11,0.0,Glenville,61,2.0,1
1/14/2026,West Liberty,31,2.0,Glenville,31,2.0,1
1/14/2026,West Liberty,41,0.0,Glenville,0,0.0,1
1/14/2026,West Liberty,11,0.0,Glenville,0,0.0,1
1/14/2026,West Liberty,60/11/70,1.0,Glenville,0,0.0,1
1/14/2026,West Liberty,61,2.0,Glenville,41,3.0,1
1/14/2026,West Liberty,0,0.0,Glenville,0,0.0,1
1/14/2026,West Liberty,11/0,0.0,Glenville,30/0,0.0,1
1/14/2026,West Liberty,30,0.0,Glenville,0,0.0,1
1/14/2026,West Liberty,0,0.0,Glenville,61,2.0,1
1/14/2026,West Liberty,31,2.0,Glenville,0,0.0,1
1/14/2026,West Liberty,61,2.0,Glenville,41,3.0,1
1/14/2026,West Liberty,60,2.0,Glenville,31,3.0,1
1/14/2026,West Liberty,70,1.0,Glenville,0,0.0,1
1/14/2026,West Liberty,31,2.0,Glenville,41,0.0,1
1/14/2026,West Liberty,30,2.0,Glenville,31,2.0,1
1/14/2026,West Liberty,0,0.0,Glenville,61,2.0,1
1/14/2026,West Liberty,0,0.0,Glenville,0,0.0,1
1/14/2026,West Liberty,60/70,2.0,Glenville,31,3.0,1
1/14/2026,West Liberty,11,0.0,Glenville,31,0.0,1
1/14/2026,West Liberty,41,0.0,Glenville,0,0.0,1
1/14/2026,West Liberty,70,1.0,Glenville,31/31,2.0,1
1/14/2026,West Liberty,70,1.0,Glenville,0,0.0,1
1/14/2026,West Liberty,70,1.0,Glenville,31,0.0,1
1/14/2026,West Liberty,61/61/61,2.0,Glenville,61,0.0,1
1/14/2026,West Liberty,60,0.0,Glenville,31/31,2.0,1
1/14/2026,West Liberty,31,3.0,Glenville,11,2.0,1
1/14/2026,West Liberty,31,3.0,Glenville,11,0.0,1
1/14/2026,West Liberty,30,2.0,Glenville,31,2.0,2
1/14/2026,West Liberty,41,0.0,Glenville,60,2.0,2
1/14/2026,West Liberty,41,3.0,Glenville,41,0.0,2
1/14/2026,West Liberty,60,2.0,Glenville,0,0.0,2
1/14/2026,West Liberty,41/41,0.0,Glenville,0,0.0,2
1/14/2026,West Liberty,41,0.0,Glenville,61,0.0,2
1/14/2026,West Liberty,30,2.0,Glenville,40/61,2.0,2
1/14/2026,West Liberty,60,3.0,Glenville,11,0.0,2
1/14/2026,West Liberty,61,2.0,Glenville,11,2.0,2
1/14/2026,West Liberty,41,0.0,Glenville,0,0.0,2
1/14/2026,West Liberty,31,3.0,Glenville,31,0.0,2
1/14/2026,West Liberty,70,2.0,Glenville,70,1.0,2
1/14/2026,West Liberty,11,0.0,Glenville,70,2.0,2
1/14/2026,West Liberty,30,2.0,Glenville,61,0.0,2
1/14/2026,West Liberty,11,2.0,Glenville,41,3.0,2
1/14/2026,West Liberty,70,2.0,Glenville,0,0.0,2
1/14/2026,West Liberty,41/40,0.0,Glenville,31,3.0,2
1/14/2026,West Liberty,60/60,3.0,Glenville,31,3.0,2
1/14/2026,West Liberty,0,0.0,Glenville,70,0.0,2
1/14/2026,West Liberty,41,0.0,Glenville,11,0.0,2
1/14/2026,West Liberty,61/61/70,1.0,Glenville,61,2.0,2
1/14/2026,West Liberty,70,2.0,Glenville,30,0.0,2
1/14/2026,West Liberty,30,2.0,Glenville,41,2.0,2
1/14/2026,West Liberty,31,2.0,Glenville,70,2.0,2
1/14/2026,West Liberty,0,0.0,Glenville,60,2.0,2
1/14/2026,West Liberty,70,2.0,Glenville,110,4.0,2
1/14/2026,West Liberty,70,1.0,Glenville,61,2.0,2
1/14/2026,West Liberty,41,0.0,Glenville,61,2.0,2
1/14/2026,West Liberty,70,2.0,Glenville,31,0.0,2
1/14/2026,West Liberty,40,3.0,Glenville,70,0.0,2
1/14/2026,West Liberty,41,3.0,Glenville,0,0.0,2
1/14/2026,West Liberty,31,2.0,Glenville,70,2.0,2
1/14/2026,West Liberty,70,2.0,Glenville,70,0.0,2
1/14/2026,West Liberty,,,Glenville,/61,0.0,2
1/14/2026,West Liberty,70,2.0,Glenville,31,0.0,2
1/14/2026,West Liberty,0,0.0,Glenville,11,0.0,2
1/14/2026,West Liberty,70,2.0,Glenville,41,3.0,2
1/14/2026,West Liberty,70,2.0,Glenville,41,0.0,2
1/14/2026,West Liberty,70,2.0,Glenville,41,0.0,2
