Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
12/3/2025,West Liberty,,,Salem,0,0.0,1
12/3/2025,West Liberty,31,2.0,Salem,31,0.0,1
12/3/2025,West Liberty,61,0.0,Salem,11/11,0.0,1
12/3/2025,West Liberty,41,3.0,Salem,0,0.0,1
12/3/2025,West Liberty,70,3.0,Salem,31,0.0,1
12/3/2025,West Liberty,31,2.0,Salem,0,0.0,1
12/3/2025,West Liberty,11/31,0.0,Salem,0,0.0,1
12/3/2025,West Liberty,41/11/31,0.0,Salem,31,2.0,1
12/3/2025,West Liberty,31/41/61,0.0,Salem,31,0.0,1
12/3/2025,West Liberty,60,3.0,Salem,31,0.0,1
12/3/2025,West Liberty,61/60,2.0,Salem,0,0.0,1
12/3/2025,West Liberty,70,2.0,Salem,61,2.0,1
12/3/2025,West Liberty,31,2.0,Salem,41,0.0,1
12/3/2025,West Liberty,40/60,2.0,Salem,70,1.0,1
12/3/2025,West Liberty,11,0.0,Salem,70,1.0,1
12/3/2025,West Liberty,11,0.0,Salem,11/31,0.0,1
12/3/2025,West Liberty,0,0.0,Salem,60,3.0,1
12/3/2025,West Liberty,0,0.0,Salem,0,0.0,1
12/3/2025,West Liberty,11/61/60,0.0,Salem,70,2.0,1
12/3/2025,West Liberty,11,0.0,Salem,60,2.0,1
12/3/2025,West Liberty,61/41,0.0,Salem,70,1.0,1
12/3/2025,West Liberty,31/61,2.0,Salem,0,0.0,1
12/3/2025,West Liberty,61,2.0,Salem,60,0.0,1
12/3/2025,West Liberty,41,0.0,Salem,61,2.0,1
12/3/2025,West Liberty,41,3.0,Salem,0,0.0,1
12/3/2025,West Liberty,70,2.0,Salem,0,0.0,1
12/3/2025,West Liberty,70,2.0,Salem,,,1
12/3/2025,West Liberty,31,3.0,Salem,70,2.0,1
12/3/2025,West Liberty,0,0.0,Salem,61,2.0,1
12/3/2025,West Liberty,61,2.0,Salem,0,0.0,1
12/3/2025,West Liberty,41,2.0,Salem,0,0.0,1
12/3/2025,West Liberty,31,2.0,Salem,0,0.0,1
12/3/2025,West Liberty,61,0.0,Salem,61,2.0,1
12/3/2025,West Liberty,41/70,0.0,Salem,0,0.0,1
12/3/2025,West Liberty,60,3.0,Salem,11,0.0,1
12/3/2025,West Liberty,61,2.0,Salem,11,0.0,1
12/3/2025,West Liberty,11,0.0,Salem,0,0.0,1
12/3/2025,West Liberty,31,0.0,Salem,61,2.0,1
12/3/2025,West Liberty,41,0.0,Salem,61,2.0,1
12/3/2025,West Liberty,60,3.0,Salem,61,2.0,1
12/3/2025,West Liberty,0,0.0,Salem,11/70,2.0,1
12/3/2025,West Liberty,31,2.0,Salem,0,0.0,1
12/3/2025,West Liberty,41/60,2.0,Salem,11,0.0,1
12/3/2025,West Liberty,41,3.0,Salem,60,2.0,1
12/3/2025,West Liberty,41,3.0,Salem,70,0.0,1
12/3/2025,West Liberty,60,0.0,Salem,70,0.0,1
12/3/2025,West Liberty,60,2.0,Salem,11,0.0,1
12/3/2025,West Liberty,,,Salem,31,0.0,2
12/3/2025,West Liberty,31,0.0,Salem,31,0.0,2
12/3/2025,West Liberty,41,3.0,Salem,61,2.0,2
12/3/2025,West Liberty,60,3.0,Salem,0,0.0,2
12/3/2025,West Liberty,60,2.0,Salem,31,2.0,2
12/3/2025,West Liberty,31,0.0,Salem,40,3.0,2
12/3/2025,West Liberty,60/60,3.0,Salem,31,2.0,2
12/3/2025,West Liberty,40/60,0.0,Salem,30/60/41/31,0.0,2
12/3/2025,West Liberty,41,0.0,Salem,60,2.0,2
12/3/2025,West Liberty,41,3.0,Salem,11,0.0,2
12/3/2025,West Liberty,0,0.0,Salem,0,0.0,2
12/3/2025,West Liberty,61,3.0,Salem,0,0.0,2
12/3/2025,West Liberty,60,2.0,Salem,41,3.0,2
12/3/2025,West Liberty,60,0.0,Salem,70,2.0,2
12/3/2025,West Liberty,40,0.0,Salem,0,0.0,2
12/3/2025,West Liberty,61,2.0,Salem,31/0,0.0,2
12/3/2025,West Liberty,31,2.0,Salem,0,0.0,2
12/3/2025,West Liberty,60,2.0,Salem,0,0.0,2
12/3/2025,West Liberty,60,2.0,Salem,11,0.0,2
12/3/2025,West Liberty,0,0.0,Salem,31/70,1.0,2
12/3/2025,West Liberty,,,Salem,/70,1.0,2
12/3/2025,West Liberty,41,3.0,Salem,0,0.0,2
12/3/2025,West Liberty,41,0.0,Salem,70,1.0,2
12/3/2025,West Liberty,70,2.0,Salem,0,0.0,2
12/3/2025,West Liberty,61,2.0,Salem,60/41/60,2.0,2
12/3/2025,West Liberty,0,0.0,Salem,70,0.0,2
12/3/2025,West Liberty,0,0.0,Salem,31/70,2.0,2
12/3/2025,West Liberty,60/11,0.0,Salem,0,0.0,2
12/3/2025,West Liberty,60,2.0,Salem,61/60,2.0,2
12/3/2025,West Liberty,41/70,2.0,Salem,70,1.0,2
12/3/2025,West Liberty,0,0.0,Salem,61,2.0,2
12/3/2025,West Liberty,60,0.0,Salem,31,3.0,2
12/3/2025,West Liberty,41,3.0,Salem,41,2.0,2
12/3/2025,West Liberty,61/41,2.0,Salem,70,1.0,2
12/3/2025,West Liberty,41,0.0,Salem,70,1.0,2
12/3/2025,West Liberty,41,0.0,Salem,31,0.0,2
12/3/2025,West Liberty,60,3.0,Salem,31/31,0.0,2
12/3/2025,West Liberty,60,2.0,Salem,0,0.0,2
12/3/2025,West Liberty,41,3.0,Salem,0,0.0,2
12/3/2025,West Liberty,11/61/61/31,0.0,Salem,31,0.0,2
12/3/2025,West Liberty,41,0.0,Salem,11,0.0,2
