Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
1/19/2026,West Liberty,11/41,3.0,WVSU,11/11,0.0,1
1/19/2026,West Liberty,11/70,2.0,WVSU,61,2.0,1
1/19/2026,West Liberty,41,3.0,WVSU,0,0.0,1
1/19/2026,West Liberty,60,0.0,WVSU,70,1.0,1
1/19/2026,West Liberty,41,3.0,WVSU,41,0.0,1
1/19/2026,West Liberty,41,0.0,WVSU,31,0.0,1
1/19/2026,West Liberty,61,3.0,WVSU,60,2.0,1
1/19/2026,West Liberty,11,0.0,WVSU,40,0.0,1
1/19/2026,West Liberty,31,0.0,WVSU,0,0.0,1
1/19/2026,West Liberty,60,2.0,WVSU,60,2.0,1
1/19/2026,West Liberty,41/11,0.0,WVSU,40,0.0,1
1/19/2026,West Liberty,60,2.0,WVSU,61/61,0.0,1
1/19/2026,West Liberty,41,0.0,WVSU,31,2.0,1
1/19/2026,West Liberty,31,3.0,WVSU,41,3.0,1
1/19/2026,West Liberty,61/0,0.0,WVSU,60,0.0,1
1/19/2026,West Liberty,11,2.0,WVSU,11,0.0,1
1/19/2026,West Liberty,0,0.0,WVSU,61,2.0,1
1/19/2026,West Liberty,60,2.0,WVSU,31,2.0,1
1/19/2026,West Liberty,0,0.0,WVSU,0,0.0,1
1/19/2026,West Liberty,41/31,0.0,WVSU,0,0.0,1
1/19/2026,West Liberty,70,1.0,WVSU,31/31/11/41,0.0,1
1/19/2026,West Liberty,61,0.0,WVSU,41,3.0,1
1/19/2026,West Liberty,40,0.0,WVSU,41,0.0,1
1/19/2026,West Liberty,31,0.0,WVSU,70,2.0,1
1/19/2026,West Liberty,40,3.0,WVSU,31,0.0,1
1/19/2026,West Liberty,11/70,2.0,WVSU,41,0.0,1
1/19/2026,West Liberty,31,0.0,WVSU,31/61/61/0,0.0,1
1/19/2026,West Liberty,0,0.0,WVSU,0,0.0,1
1/19/2026,West Liberty,41,3.0,WVSU,70,2.0,1
1/19/2026,West Liberty,41,0.0,WVSU,31,3.0,1
1/19/2026,West Liberty,70,2.0,WVSU,,,1
1/19/2026,West Liberty,/61,3.0,WVSU,60,2.0,1
1/19/2026,West Liberty,31,0.0,WVSU,41,0.0,1
1/19/2026,West Liberty,41,0.0,WVSU,70,2.0,1
1/19/2026,West Liberty,41,3.0,WVSU,61,2.0,1
1/19/2026,West Liberty,41/61/61,0.0,WVSU,31,0.0,1
