Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
12/17/2025,West Liberty,61,2.0,Wesleyan,61,0.0,1
12/17/2025,West Liberty,60,2.0,Wesleyan,31,0.0,1
12/17/2025,West Liberty,60,2.0,Wesleyan,60,3.0,1
12/17/2025,West Liberty,41,0.0,Wesleyan,60,2.0,1
12/17/2025,West Liberty,41,0.0,Wesleyan,60,3.0,1
12/17/2025,West Liberty,31,0.0,Wesleyan,61/61,2.0,1
12/17/2025,West Liberty,0,0.0,Wesleyan,60,2.0,1
12/17/2025,West Liberty,70,2.0,Wesleyan,60,2.0,1
12/17/2025,West Liberty,41,0.0,Wesleyan,31,0.0,1
12/17/2025,West Liberty,41,3.0,Wesleyan,0,0.0,1
12/17/2025,West Liberty,60,2.0,Wesleyan,11,0.0,1
12/17/2025,West Liberty,61,0.0,Wesleyan,0,0.0,1
12/17/2025,West Liberty,0,0.0,Wesleyan,0,0.0,1
12/17/2025,West Liberty,31/70,2.0,Wesleyan,31,0.0,1
12/17/2025,West Liberty,61,3.0,Wesleyan,61,2.0,1
12/17/2025,West Liberty,0,0.0,Wesleyan,31,0.0,1
12/17/2025,West Liberty,60,2.0,Wesleyan,0,0.0,1
12/17/2025,West Liberty,0,0.0,Wesleyan,30,0.0,1
12/17/2025,West Liberty,0,0.0,Wesleyan,0,0.0,1
12/17/2025,West Liberty,60,2.0,Wesleyan,0,0.0,1
12/17/2025,West Liberty,31,2.0,Wesleyan,0,0.0,1
12/17/2025,West Liberty,70,1.0,Wesleyan,0,0.0,1
12/17/2025,West Liberty,61/61/0,0.0,Wesleyan,0,0.0,1
12/17/2025,West Liberty,41,3.0,Wesleyan,30,0.0,1
12/17/2025,West Liberty,31,0.0,Wesleyan,61,2.0,1
12/17/2025,West Liberty,31,0.0,Wesleyan,0,0.0,1
12/17/2025,West Liberty,30,2.0,Wesleyan,41/61,2.0,1
12/17/2025,West Liberty,0,0.0,Wesleyan,31,0.0,1
12/17/2025,West Liberty,31/0,0.0,Wesleyan,11,0.0,1
12/17/2025,West Liberty,0,0.0,Wesleyan,0,0.0,1
12/17/2025,West Liberty,0,0.0,Wesleyan,61,0.0,1
12/17/2025,West Liberty,61,2.0,Wesleyan,61,2.0,1
12/17/2025,West Liberty,41,0.0,Wesleyan,60,2.0,1
12/17/2025,West Liberty,40,0.0,Wesleyan,31/31/31,2.0,1
12/17/2025,West Liberty,60/70,1.0,Wesleyan,31,0.0,1
12/17/2025,West Liberty,41,0.0,Wesleyan,0,0.0,1
12/17/2025,West Liberty,40,0.0,Wesleyan,61/11,0.0,1
12/17/2025,West Liberty,61,2.0,Wesleyan,0,0.0,1
12/17/2025,West Liberty,60,3.0,Wesleyan,31,0.0,1
12/17/2025,West Liberty,70,2.0,Wesleyan,70,3.0,1
12/17/2025,West Liberty,60/61,2.0,Wesleyan,0,0.0,1
12/17/2025,West Liberty,61,2.0,Wesleyan,0,0.0,1
12/17/2025,West Liberty,41,2.0,Wesleyan,31,0.0,1
