Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
1/24/2026,West Liberty,61,2.0,Wheeling,60/41,0.0,1
1/24/2026,West Liberty,31,2.0,Wheeling,31/0,0.0,1
1/24/2026,West Liberty,11,0.0,Wheeling,60,0.0,1
1/24/2026,West Liberty,11,0.0,Wheeling,31,0.0,1
1/24/2026,West Liberty,60,0.0,Wheeling,60,2.0,1
1/24/2026,West Liberty,60,2.0,Wheeling,60,2.0,1
1/24/2026,West Liberty,61,2.0,Wheeling,0,0.0,1
1/24/2026,West Liberty,41/61,2.0,Wheeling,31,2.0,1
1/24/2026,West Liberty,41,0.0,Wheeling,60,0.0,1
1/24/2026,West Liberty,70,2.0,Wheeling,31,3.0,1
1/24/2026,West Liberty,11,0.0,Wheeling,41,2.0,1
1/24/2026,West Liberty,40,3.0,Wheeling,30,0.0,1
1/24/2026,West Liberty,0,0.0,Wheeling,11,0.0,1
1/24/2026,West Liberty,11,0.0,Wheeling,31,0.0,1
1/24/2026,West Liberty,41,0.0,Wheeling,31,0.0,1
1/24/2026,West Liberty,0,0.0,Wheeling,61,2.0,1
1/24/2026,West Liberty,0,0.0,Wheeling,31,2.0,1
1/24/2026,West Liberty,31/61,2.0,Wheeling,31/61,0.0,1
1/24/2026,West Liberty,11,0.0,Wheeling,0,0.0,1
1/24/2026,West Liberty,0,0.0,Wheeling,41,0.0,1
1/24/2026,West Liberty,0,0.0,Wheeling,31,0.0,1
1/24/2026,West Liberty,70,1.0,Wheeling,70,1.0,1
1/24/2026,West Liberty,60,0.0,Wheeling,31,2.0,1
1/24/2026,West Liberty,61,3.0,Wheeling,11/31,2.0,1
1/24/2026,West Liberty,11/41,0.0,Wheeling,11,0.0,1
1/24/2026,West Liberty,31,3.0,Wheeling,60/61,3.0,1
1/24/2026,West Liberty,60,3.0,Wheeling,61,2.0,1
1/24/2026,West Liberty,60,2.0,Wheeling,60,0.0,1
1/24/2026,West Liberty,61,0.0,Wheeling,31,0.0,1
1/24/2026,West Liberty,61,2.0,Wheeling,0,0.0,1
1/24/2026,West Liberty,0,0.0,Wheeling,0,0.0,1
1/24/2026,West Liberty,31,3.0,Wheeling,60,2.0,1
1/24/2026,West Liberty,41,0.0,Wheeling,70,1.0,1
1/24/2026,West Liberty,11,0.0,Wheeling,31/60,2.0,1
1/24/2026,West Liberty,70,1.0,Wheeling,61,2.0,1
1/24/2026,West Liberty,0,0.0,Wheeling,70,1.0,1
1/24/2026,West Liberty,41/60,2.0,Wheeling,11,0.0,1
1/24/2026,West Liberty,60,0.0,Wheeling,61/41,3.0,1
1/24/2026,West Liberty,70,0.0,Wheeling,,,1
1/24/2026,West Liberty,/70,1.0,Wheeling,31,3.0,1
1/24/2026,West Liberty,61,0.0,Wheeling,11,0.0,1
1/24/2026,West Liberty,41,3.0,Wheeling,70,2.0,2
1/24/2026,West Liberty,61,2.0,Wheeling,41/60,2.0,2
1/24/2026,West Liberty,11/31,0.0,Wheeling,31,0.0,2
1/24/2026,West Liberty,0,0.0,Wheeling,61,2.0,2
1/24/2026,West Liberty,0,0.0,Wheeling,41,3.0,2
1/24/2026,West Liberty,0,0.0,Wheeling,31,0.0,2
1/24/2026,West Liberty,41,0.0,Wheeling,31,0.0,2
1/24/2026,West Liberty,11,0.0,Wheeling,0,0.0,2
1/24/2026,West Liberty,70,2.0,Wheeling,70,2.0,2
1/24/2026,West Liberty,11,0.0,Wheeling,61,0.0,2
1/24/2026,West Liberty,60,2.0,Wheeling,60,2.0,2
1/24/2026,West Liberty,60,0.0,Wheeling,31,2.0,2
1/24/2026,West Liberty,60,3.0,Wheeling,41,0.0,2
1/24/2026,West Liberty,30,0.0,Wheeling,61,0.0,2
1/24/2026,West Liberty,60,2.0,Wheeling,11,0.0,2
1/24/2026,West Liberty,60,2.0,Wheeling,41/61,2.0,2
1/24/2026,West Liberty,70,2.0,Wheeling,41,0.0,2
1/24/2026,West Liberty,41,3.0,Wheeling,0,0.0,2
1/24/2026,West Liberty,0,0.0,Wheeling,0,0.0,2
1/24/2026,West Liberty,60,2.0,Wheeling,41,2.0,2
1/24/2026,West Liberty,31/70,1.0,Wheeling,70,0.0,2
1/24/2026,West Liberty,70,2.0,Wheeling,61,2.0,2
1/24/2026,West Liberty,0,0.0,Wheeling,31/41,2.0,2
1/24/2026,West Liberty,41,3.0,Wheeling,70,0.0,2
1/24/2026,West Liberty,70,2.0,Wheeling,0,0.0,2
1/24/2026,West Liberty,41,3.0,Wheeling,61,2.0,2
1/24/2026,West Liberty,70,2.0,Wheeling,110,2.0,2
1/24/2026,West Liberty,70,2.0,Wheeling,60,2.0,2
1/24/2026,West Liberty,41,3.0,Wheeling,11/31,2.0,2
1/24/2026,West Liberty,110,1.0,Wheeling,31,0.0,2
1/24/2026,West Liberty,70,2.0,Wheeling,41,0.0,2
1/24/2026,West Liberty,0,0.0,Wheeling,0,0.0,2
1/24/2026,West Liberty,31/70,1.0,Wheeling,70,2.0,2
1/24/2026,West Liberty,0,0.0,Wheeling,11,2.0,2
1/24/2026,West Liberty,60,2.0,Wheeling,31,0.0,2
1/24/2026,West Liberty,11/60,0.0,Wheeling,70,0.0,2
1/24/2026,West Liberty,,,Wheeling,/70,2.0,2
1/24/2026,West Liberty,70,1.0,Wheeling,,,2
1/24/2026,West Liberty,/70,2.0,Wheeling,0,0.0,2
1/24/2026,West Liberty,61,2.0,Wheeling,41,0.0,2
1/24/2026,West Liberty,70,0.0,Wheeling,70,2.0,2
1/24/2026,West Liberty,70,1.0,Wheeling,31/61,2.0,2
1/24/2026,West Liberty,70,2.0,Wheeling,70,1.0,2
