Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
3/6/2026,Wheeling,31,0.0,Concord,41,0.0,1
3/6/2026,Wheeling,31,0.0,Concord,70,2.0,1
3/6/2026,Wheeling,0,0.0,Concord,41/61,2.0,1
3/6/2026,Wheeling,31,2.0,Concord,41,0.0,1
3/6/2026,Wheeling,0,0.0,Concord,70,2.0,1
3/6/2026,Wheeling,40,0.0,Concord,41,3.0,1
3/6/2026,Wheeling,11/70,2.0,Concord,40,3.0,1
3/6/2026,Wheeling,41,0.0,Concord,31,0.0,1
3/6/2026,Wheeling,41,3.0,Concord,0,0.0,1
3/6/2026,Wheeling,61,2.0,Concord,11/31,2.0,1
3/6/2026,Wheeling,31,0.0,Concord,31,0.0,1
3/6/2026,Wheeling,31,0.0,Concord,31/61,2.0,1
3/6/2026,Wheeling,31,0.0,Concord,0,0.0,1
3/6/2026,Wheeling,31,2.0,Concord,61,2.0,1
3/6/2026,Wheeling,31,0.0,Concord,40,3.0,1
3/6/2026,Wheeling,31,2.0,Concord,31,2.0,1
3/6/2026,Wheeling,31,0.0,Concord,40,0.0,1
3/6/2026,Wheeling,61,2.0,Concord,31,2.0,1
3/6/2026,Wheeling,61,2.0,Concord,41,3.0,1
3/6/2026,Wheeling,41,0.0,Concord,60,0.0,1
3/6/2026,Wheeling,41,3.0,Concord,41/60,2.0,1
3/6/2026,Wheeling,11,0.0,Concord,11,2.0,1
3/6/2026,Wheeling,41/61/70,1.0,Concord,31/11,0.0,1
3/6/2026,Wheeling,31,3.0,Concord,31,3.0,1
3/6/2026,Wheeling,70,2.0,Concord,60,3.0,1
3/6/2026,Wheeling,61/0,0.0,Concord,31/31/60,2.0,1
3/6/2026,Wheeling,0,0.0,Concord,11/61,2.0,1
3/6/2026,Wheeling,31,0.0,Concord,41,3.0,1
3/6/2026,Wheeling,31/0,0.0,Concord,41,2.0,1
3/6/2026,Wheeling,41,2.0,Concord,61/60,2.0,1
3/6/2026,Wheeling,31,3.0,Concord,31,0.0,1
3/6/2026,Wheeling,70,3.0,Concord,61,2.0,1
3/6/2026,Wheeling,11,0.0,Concord,,,1
3/6/2026,Wheeling,,,Concord,70,2.0,2
3/6/2026,Wheeling,61,2.0,Concord,61,2.0,2
3/6/2026,Wheeling,0,0.0,Concord,41,2.0,2
3/6/2026,Wheeling,41,0.0,Concord,60,2.0,2
3/6/2026,Wheeling,0,0.0,Concord,0,0.0,2
3/6/2026,Wheeling,40,0.0,Concord,61,0.0,2
3/6/2026,Wheeling,0,0.0,Concord,11,0.0,2
3/6/2026,Wheeling,30,2.0,Concord,11,0.0,2
3/6/2026,Wheeling,0,0.0,Concord,60,0.0,2
3/6/2026,Wheeling,31/41,0.0,Concord,60,0.0,2
3/6/2026,Wheeling,30,0.0,Concord,0,0.0,2
3/6/2026,Wheeling,41,3.0,Concord,31/31,2.0,2
3/6/2026,Wheeling,30,0.0,Concord,60,2.0,2
3/6/2026,Wheeling,41,0.0,Concord,0,0.0,2
3/6/2026,Wheeling,70,1.0,Concord,60,3.0,2
3/6/2026,Wheeling,31,0.0,Concord,31,3.0,2
3/6/2026,Wheeling,11,0.0,Concord,31,0.0,2
3/6/2026,Wheeling,41,3.0,Concord,41,3.0,2
3/6/2026,Wheeling,11,0.0,Concord,60,2.0,2
3/6/2026,Wheeling,60,0.0,Concord,60,2.0,2
3/6/2026,Wheeling,31,0.0,Concord,31,0.0,2
3/6/2026,Wheeling,41,0.0,Concord,60/61,2.0,2
3/6/2026,Wheeling,31,2.0,Concord,70,2.0,2
3/6/2026,Wheeling,70,1.0,Concord,60,2.0,2
3/6/2026,Wheeling,60,2.0,Concord,0,0.0,2
3/6/2026,Wheeling,70,2.0,Concord,,,2
3/6/2026,Wheeling,/0,0.0,Concord,60,2.0,2
3/6/2026,Wheeling,41/60,2.0,Concord,70,2.0,2
3/6/2026,Wheeling,60,2.0,Concord,60,2.0,2
3/6/2026,Wheeling,41,3.0,Concord,60,2.0,2
3/6/2026,Wheeling,31/11,0.0,Concord,60,2.0,2
3/6/2026,Wheeling,41,0.0,Concord,61,2.0,2
3/6/2026,Wheeling,31,0.0,Concord,60/60,2.0,2
3/6/2026,Wheeling,31/41,3.0,Concord,40/0,0.0,2
3/6/2026,Wheeling,41,3.0,Concord,0,0.0,2
3/6/2026,Wheeling,31,0.0,Concord,30,0.0,2
3/6/2026,Wheeling,70,1.0,Concord,,,2
3/6/2026,Wheeling,/41,0.0,Concord,11/60,0.0,2
3/6/2026,Wheeling,40,3.0,Concord,0,0.0,2
3/6/2026,Wheeling,41,0.0,Concord,31,0.0,2
3/6/2026,Wheeling,60,2.0,Concord,,,2
