Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
12/17/2025,Wheeling,41/61,2.0,D&E,60,2.0,1
12/17/2025,Wheeling,60,2.0,D&E,30/70,2.0,1
12/17/2025,Wheeling,70,1.0,D&E,70,2.0,1
12/17/2025,Wheeling,30,0.0,D&E,0,0.0,1
12/17/2025,Wheeling,40,0.0,D&E,41/40,0.0,1
12/17/2025,Wheeling,41,3.0,D&E,31,0.0,1
12/17/2025,Wheeling,61,2.0,D&E,31,2.0,1
12/17/2025,Wheeling,31,3.0,D&E,61,2.0,1
12/17/2025,Wheeling,31,2.0,D&E,31,0.0,1
12/17/2025,Wheeling,41,0.0,D&E,61,2.0,1
12/17/2025,Wheeling,41,0.0,D&E,41/60,2.0,1
12/17/2025,Wheeling,60,2.0,D&E,70,0.0,1
12/17/2025,Wheeling,41,3.0,D&E,31,0.0,1
12/17/2025,Wheeling,61,2.0,D&E,70,1.0,1
12/17/2025,Wheeling,0,0.0,D&E,60,2.0,1
12/17/2025,Wheeling,31,2.0,D&E,41,0.0,1
12/17/2025,Wheeling,61,2.0,D&E,61,3.0,1
12/17/2025,Wheeling,0,0.0,D&E,60,2.0,1
12/17/2025,Wheeling,60/61,2.0,D&E,30,0.0,1
12/17/2025,Wheeling,41/11,0.0,D&E,61,2.0,1
12/17/2025,Wheeling,61,3.0,D&E,70,1.0,1
12/17/2025,Wheeling,60,2.0,D&E,61,3.0,1
12/17/2025,Wheeling,61,2.0,D&E,31,0.0,1
12/17/2025,Wheeling,31,0.0,D&E,60,3.0,1
12/17/2025,Wheeling,41,0.0,D&E,31,3.0,1
12/17/2025,Wheeling,0,0.0,D&E,60,2.0,1
12/17/2025,Wheeling,31,3.0,D&E,31,0.0,1
12/17/2025,Wheeling,60,2.0,D&E,60,2.0,1
12/17/2025,Wheeling,0,0.0,D&E,41,0.0,1
12/17/2025,Wheeling,60,3.0,D&E,31,2.0,1
12/17/2025,Wheeling,31,0.0,D&E,61/61/11,0.0,1
12/17/2025,Wheeling,61,2.0,D&E,0,0.0,1
12/17/2025,Wheeling,40/31,0.0,D&E,11,0.0,1
12/17/2025,Wheeling,11/41,0.0,D&E,70,3.0,1
12/17/2025,Wheeling,41,3.0,D&E,31,2.0,1
12/17/2025,Wheeling,0,0.0,D&E,31,3.0,1
12/17/2025,Wheeling,41,0.0,D&E,,,1
12/17/2025,Wheeling,60,2.0,D&E,61,2.0,2
12/17/2025,Wheeling,60,2.0,D&E,70,2.0,2
12/17/2025,Wheeling,41,0.0,D&E,11/0,0.0,2
12/17/2025,Wheeling,41,0.0,D&E,70,2.0,2
12/17/2025,Wheeling,61,2.0,D&E,31,0.0,2
12/17/2025,Wheeling,31,0.0,D&E,0,0.0,2
12/17/2025,Wheeling,60,2.0,D&E,11,0.0,2
12/17/2025,Wheeling,60,3.0,D&E,0,0.0,2
12/17/2025,Wheeling,41/41,3.0,D&E,70,3.0,2
12/17/2025,Wheeling,31,0.0,D&E,60,2.0,2
12/17/2025,Wheeling,70,1.0,D&E,60,0.0,2
12/17/2025,Wheeling,31,0.0,D&E,61,3.0,2
12/17/2025,Wheeling,0,0.0,D&E,31,0.0,2
12/17/2025,Wheeling,31,0.0,D&E,31,2.0,2
12/17/2025,Wheeling,40,3.0,D&E,0,0.0,2
12/17/2025,Wheeling,61,2.0,D&E,70,2.0,2
12/17/2025,Wheeling,0,0.0,D&E,60,0.0,2
12/17/2025,Wheeling,11,0.0,D&E,0,0.0,2
12/17/2025,Wheeling,0,0.0,D&E,61,0.0,2
12/17/2025,Wheeling,0,0.0,D&E,60,2.0,2
12/17/2025,Wheeling,70,1.0,D&E,0,0.0,2
12/17/2025,Wheeling,31,0.0,D&E,11,0.0,2
12/17/2025,Wheeling,70,2.0,D&E,70,0.0,2
12/17/2025,Wheeling,40,0.0,D&E,70,2.0,2
12/17/2025,Wheeling,70,2.0,D&E,31/40,2.0,2
12/17/2025,Wheeling,11,0.0,D&E,31,3.0,2
12/17/2025,Wheeling,60,2.0,D&E,31,3.0,2
12/17/2025,Wheeling,60,2.0,D&E,60/0,0.0,2
12/17/2025,Wheeling,70,3.0,D&E,0,0.0,2
12/17/2025,Wheeling,31/31,0.0,D&E,0,0.0,2
12/17/2025,Wheeling,70,2.0,D&E,60,3.0,2
12/17/2025,Wheeling,31,0.0,D&E,11,0.0,2
12/17/2025,Wheeling,70,2.0,D&E,60,0.0,2
12/17/2025,Wheeling,41/70,1.0,D&E,31,0.0,2
12/17/2025,Wheeling,31,3.0,D&E,31,0.0,2
12/17/2025,Wheeling,70,2.0,D&E,31,3.0,2
12/17/2025,Wheeling,70,2.0,D&E,31,0.0,2
