Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
1/7/2026,Wheeling,,,Fairmont,11/40,0.0,1
1/7/2026,Wheeling,31,0.0,Fairmont,41/41/70,2.0,1
1/7/2026,Wheeling,31/31,0.0,Fairmont,31/60,0.0,1
1/7/2026,Wheeling,0,0.0,Fairmont,60,2.0,1
1/7/2026,Wheeling,0,0.0,Fairmont,60,0.0,1
1/7/2026,Wheeling,31,3.0,Fairmont,70,0.0,1
1/7/2026,Wheeling,11,0.0,Fairmont,11,0.0,1
1/7/2026,Wheeling,11/70,3.0,Fairmont,30,0.0,1
1/7/2026,Wheeling,0,0.0,Fairmont,0,0.0,1
1/7/2026,Wheeling,11,2.0,Fairmont,41/41,0.0,1
1/7/2026,Wheeling,31,0.0,Fairmont,31,0.0,1
1/7/2026,Wheeling,0,0.0,Fairmont,60,0.0,1
1/7/2026,Wheeling,31,3.0,Fairmont,31,0.0,1
1/7/2026,Wheeling,31,0.0,Fairmont,41,3.0,1
1/7/2026,Wheeling,40,0.0,Fairmont,70,2.0,1
1/7/2026,Wheeling,0,0.0,Fairmont,31/60/61,2.0,1
1/7/2026,Wheeling,31,2.0,Fairmont,41,0.0,1
1/7/2026,Wheeling,0,0.0,Fairmont,61/60,2.0,1
1/7/2026,Wheeling,0,0.0,Fairmont,0,0.0,1
1/7/2026,Wheeling,61,2.0,Fairmont,31,0.0,1
1/7/2026,Wheeling,31,0.0,Fairmont,0,0.0,1
1/7/2026,Wheeling,31,3.0,Fairmont,41,2.0,1
1/7/2026,Wheeling,0,0.0,Fairmont,60,2.0,1
1/7/2026,Wheeling,0,0.0,Fairmont,41,0.0,1
1/7/2026,Wheeling,11,0.0,Fairmont,41,2.0,1
1/7/2026,Wheeling,31/70,0.0,Fairmont,31,0.0,1
1/7/2026,Wheeling,31,0.0,Fairmont,70,0.0,1
1/7/2026,Wheeling,60,2.0,Fairmont,31,0.0,1
1/7/2026,Wheeling,41,0.0,Fairmont,61,3.0,1
1/7/2026,Wheeling,0,0.0,Fairmont,61,2.0,1
1/7/2026,Wheeling,31,0.0,Fairmont,61,2.0,1
1/7/2026,Wheeling,30,0.0,Fairmont,0,0.0,1
1/7/2026,Wheeling,31/61,2.0,Fairmont,11,2.0,1
1/7/2026,Wheeling,11,0.0,Fairmont,40,0.0,1
1/7/2026,Wheeling,0,0.0,Fairmont,40,3.0,1
1/7/2026,Wheeling,0,0.0,Fairmont,0,0.0,1
1/7/2026,Wheeling,0,0.0,Fairmont,60,2.0,1
1/7/2026,Wheeling,70,1.0,Fairmont,11,0.0,1
1/7/2026,Wheeling,31/31/70,3.0,Fairmont,10,0.0,1
1/7/2026,Wheeling,,,Fairmont,0,0.0,2
1/7/2026,Wheeling,60,2.0,Fairmont,0,0.0,2
1/7/2026,Wheeling,0,0.0,Fairmont,40,0.0,2
1/7/2026,Wheeling,31,0.0,Fairmont,0,0.0,2
1/7/2026,Wheeling,60/31/31,2.0,Fairmont,0,0.0,2
1/7/2026,Wheeling,61/61,2.0,Fairmont,0,0.0,2
1/7/2026,Wheeling,60,2.0,Fairmont,0,0.0,2
1/7/2026,Wheeling,0,0.0,Fairmont,41/70,2.0,2
1/7/2026,Wheeling,41,3.0,Fairmont,0,0.0,2
1/7/2026,Wheeling,30/11,0.0,Fairmont,61/61,2.0,2
1/7/2026,Wheeling,61/70,0.0,Fairmont,0,0.0,2
1/7/2026,Wheeling,0,0.0,Fairmont,11,0.0,2
1/7/2026,Wheeling,31,0.0,Fairmont,31/41,3.0,2
1/7/2026,Wheeling,60,2.0,Fairmont,40,3.0,2
1/7/2026,Wheeling,61/60,0.0,Fairmont,0,0.0,2
1/7/2026,Wheeling,61,0.0,Fairmont,61,2.0,2
