Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
2/14/2026,Wheeling,31,0.0,Frostburg,41,0.0,1
2/14/2026,Wheeling,40,0.0,Frostburg,60,0.0,1
2/14/2026,Wheeling,41/31,0.0,Frostburg,11,0.0,1
2/14/2026,Wheeling,0,0.0,Frostburg,41/61,0.0,1
2/14/2026,Wheeling,41,0.0,Frostburg,0,0.0,1
2/14/2026,Wheeling,11,0.0,Frostburg,0,0.0,1
2/14/2026,Wheeling,70,1.0,Frostburg,61,2.0,1
2/14/2026,Wheeling,61,0.0,Frostburg,31,0.0,1
2/14/2026,Wheeling,61,2.0,Frostburg,70,1.0,1
2/14/2026,Wheeling,31,3.0,Frostburg,60,2.0,1
2/14/2026,Wheeling,41,0.0,Frostburg,61,2.0,1
2/14/2026,Wheeling,31/40,0.0,Frostburg,41,3.0,1
2/14/2026,Wheeling,31/110,4.0,Frostburg,61,2.0,1
2/14/2026,Wheeling,31,2.0,Frostburg,60,3.0,1
2/14/2026,Wheeling,31/31,0.0,Frostburg,41,0.0,1
2/14/2026,Wheeling,61,2.0,Frostburg,61,2.0,1
2/14/2026,Wheeling,61,2.0,Frostburg,31,0.0,1
2/14/2026,Wheeling,31,2.0,Frostburg,31,0.0,1
2/14/2026,Wheeling,11/0,0.0,Frostburg,41,3.0,1
2/14/2026,Wheeling,0,0.0,Frostburg,0,0.0,1
2/14/2026,Wheeling,11,0.0,Frostburg,11,0.0,1
2/14/2026,Wheeling,31/31,3.0,Frostburg,60,2.0,1
2/14/2026,Wheeling,31,0.0,Frostburg,61,0.0,1
2/14/2026,Wheeling,31,0.0,Frostburg,0,0.0,1
2/14/2026,Wheeling,61,2.0,Frostburg,11,0.0,1
2/14/2026,Wheeling,41,0.0,Frostburg,60,0.0,1
2/14/2026,Wheeling,61,0.0,Frostburg,41,0.0,1
2/14/2026,Wheeling,70,3.0,Frostburg,31,0.0,1
2/14/2026,Wheeling,11,0.0,Frostburg,60,2.0,1
2/14/2026,Wheeling,11,0.0,Frostburg,60,2.0,1
2/14/2026,Wheeling,41,3.0,Frostburg,11,0.0,1
2/14/2026,Wheeling,61,2.0,Frostburg,61,2.0,1
2/14/2026,Wheeling,61,2.0,Frostburg,41,0.0,1
2/14/2026,Wheeling,41,0.0,Frostburg,11,0.0,1
2/14/2026,Wheeling,0,0.0,Frostburg,41,0.0,1
2/14/2026,Wheeling,11,0.0,Frostburg,61,2.0,1
2/14/2026,Wheeling,41,3.0,Frostburg,11,0.0,1
2/14/2026,Wheeling,11,0.0,Frostburg,60,2.0,2
2/14/2026,Wheeling,41,0.0,Frostburg,11/61,2.0,2
2/14/2026,Wheeling,41/41,3.0,Frostburg,70,2.0,2
2/14/2026,Wheeling,61,2.0,Frostburg,41,0.0,2
2/14/2026,Wheeling,61,2.0,Frostburg,70,2.0,2
2/14/2026,Wheeling,40,0.0,Frostburg,40,0.0,2
2/14/2026,Wheeling,70,2.0,Frostburg,70,2.0,2
2/14/2026,Wheeling,60,2.0,Frostburg,61/70,0.0,2
2/14/2026,Wheeling,11/30,0.0,Frostburg,0,0.0,2
2/14/2026,Wheeling,41,0.0,Frostburg,31,0.0,2
2/14/2026,Wheeling,61,2.0,Frostburg,60,2.0,2
2/14/2026,Wheeling,70,1.0,Frostburg,70,3.0,2
2/14/2026,Wheeling,60,2.0,Frostburg,70,1.0,2
2/14/2026,Wheeling,31,0.0,Frostburg,0,0.0,2
2/14/2026,Wheeling,41,3.0,Frostburg,11,2.0,2
2/14/2026,Wheeling,11,0.0,Frostburg,70,0.0,2
2/14/2026,Wheeling,31,0.0,Frostburg,61,2.0,2
2/14/2026,Wheeling,11,2.0,Frostburg,70,1.0,2
2/14/2026,Wheeling,,,Frostburg,0,0.0,2
2/14/2026,Wheeling,60,2.0,Frostburg,41,3.0,2
2/14/2026,Wheeling,0,0.0,Frostburg,40,3.0,2
2/14/2026,Wheeling,41,3.0,Frostburg,0,0.0,2
2/14/2026,Wheeling,11,0.0,Frostburg,70,2.0,2
2/14/2026,Wheeling,11,0.0,Frostburg,0,0.0,2
2/14/2026,Wheeling,31/70,3.0,Frostburg,41,0.0,2
2/14/2026,Wheeling,70,1.0,Frostburg,61,0.0,2
2/14/2026,Wheeling,61,2.0,Frostburg,40/60,2.0,2
2/14/2026,Wheeling,70,2.0,Frostburg,0,0.0,2
2/14/2026,Wheeling,70,0.0,Frostburg,61,2.0,2
2/14/2026,Wheeling,0,0.0,Frostburg,70,1.0,2
2/14/2026,Wheeling,70,1.0,Frostburg,31,0.0,2
2/14/2026,Wheeling,11,0.0,Frostburg,70,2.0,2
2/14/2026,Wheeling,,,Frostburg,70,1.0,2
2/14/2026,Wheeling,0,0.0,Frostburg,0,0.0,2
2/14/2026,Wheeling,60,2.0,Frostburg,31,3.0,2
2/14/2026,Wheeling,60,3.0,Frostburg,60,2.0,2
2/14/2026,Wheeling,61,2.0,Frostburg,61,2.0,2
2/14/2026,Wheeling,61,2.0,Frostburg,31,0.0,2
2/14/2026,Wheeling,11/31,0.0,Frostburg,60,2.0,2
2/14/2026,Wheeling,60,2.0,Frostburg,70,0.0,2
2/14/2026,Wheeling,0,0.0,Frostburg,61,2.0,2
2/14/2026,Wheeling,31,3.0,Frostburg,60,2.0,2
2/14/2026,Wheeling,70,1.0,Frostburg,11/31,2.0,2
2/14/2026,Wheeling,70,2.0,Frostburg,41/30,2.0,2
