Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
2/21/2026,Wheeling,41,2.0,Glenville,31,0.0,1
2/21/2026,Wheeling,31,0.0,Glenville,31,0.0,1
2/21/2026,Wheeling,31,3.0,Glenville,31/31,0.0,1
2/21/2026,Wheeling,61,0.0,Glenville,60,0.0,1
2/21/2026,Wheeling,40,3.0,Glenville,61,2.0,1
2/21/2026,Wheeling,70,3.0,Glenville,11,0.0,1
2/21/2026,Wheeling,31/31,0.0,Glenville,31,0.0,1
2/21/2026,Wheeling,61,3.0,Glenville,70,3.0,1
2/21/2026,Wheeling,41,0.0,Glenville,60,2.0,1
2/21/2026,Wheeling,60,2.0,Glenville,60,3.0,1
2/21/2026,Wheeling,11,0.0,Glenville,31,3.0,1
2/21/2026,Wheeling,41,3.0,Glenville,30,2.0,1
2/21/2026,Wheeling,30/70,1.0,Glenville,70,1.0,1
2/21/2026,Wheeling,31,2.0,Glenville,31,2.0,1
2/21/2026,Wheeling,70,1.0,Glenville,0,0.0,1
2/21/2026,Wheeling,60,0.0,Glenville,70,1.0,1
2/21/2026,Wheeling,60,2.0,Glenville,11/60,2.0,1
2/21/2026,Wheeling,31,3.0,Glenville,41,3.0,1
2/21/2026,Wheeling,70,3.0,Glenville,31,2.0,1
2/21/2026,Wheeling,110,2.0,Glenville,31,0.0,1
2/21/2026,Wheeling,40,2.0,Glenville,11,0.0,1
2/21/2026,Wheeling,60,0.0,Glenville,61,2.0,1
2/21/2026,Wheeling,31,0.0,Glenville,70,2.0,1
2/21/2026,Wheeling,31,0.0,Glenville,31/61,0.0,1
2/21/2026,Wheeling,11,0.0,Glenville,61,2.0,1
2/21/2026,Wheeling,40/0,0.0,Glenville,41,0.0,1
2/21/2026,Wheeling,31,2.0,Glenville,60/70,2.0,1
2/21/2026,Wheeling,0,0.0,Glenville,11,0.0,1
2/21/2026,Wheeling,41/60,2.0,Glenville,41,0.0,1
2/21/2026,Wheeling,41,0.0,Glenville,70,2.0,1
2/21/2026,Wheeling,40,3.0,Glenville,41,0.0,1
2/21/2026,Wheeling,0,0.0,Glenville,31,2.0,1
2/21/2026,Wheeling,31,0.0,Glenville,70,1.0,1
2/21/2026,Wheeling,31,3.0,Glenville,31,0.0,1
2/21/2026,Wheeling,31/61/70,3.0,Glenville,0,0.0,1
2/21/2026,Wheeling,60,2.0,Glenville,11,0.0,1
2/21/2026,Wheeling,31,0.0,Glenville,70,3.0,1
2/21/2026,Wheeling,31,0.0,Glenville,61,2.0,1
2/21/2026,Wheeling,11,0.0,Glenville,,,1
2/21/2026,Wheeling,,,Glenville,41/41,3.0,2
2/21/2026,Wheeling,61,2.0,Glenville,31,3.0,2
2/21/2026,Wheeling,41,0.0,Glenville,31,0.0,2
2/21/2026,Wheeling,11,0.0,Glenville,0,0.0,2
2/21/2026,Wheeling,11,0.0,Glenville,70,2.0,2
2/21/2026,Wheeling,11,2.0,Glenville,41,0.0,2
2/21/2026,Wheeling,40/40/0,0.0,Glenville,31/41,3.0,2
2/21/2026,Wheeling,41,0.0,Glenville,41,0.0,2
2/21/2026,Wheeling,31,3.0,Glenville,31,3.0,2
2/21/2026,Wheeling,41,3.0,Glenville,41,0.0,2
2/21/2026,Wheeling,41/41,3.0,Glenville,61,2.0,2
2/21/2026,Wheeling,70,2.0,Glenville,31,0.0,2
2/21/2026,Wheeling,41,0.0,Glenville,60,2.0,2
2/21/2026,Wheeling,31/60/60,3.0,Glenville,0,0.0,2
2/21/2026,Wheeling,70,2.0,Glenville,0,0.0,2
2/21/2026,Wheeling,41/0,0.0,Glenville,60/41/70,3.0,2
2/21/2026,Wheeling,41,3.0,Glenville,61/61,0.0,2
2/21/2026,Wheeling,31,0.0,Glenville,41,2.0,2
2/21/2026,Wheeling,70,2.0,Glenville,41,3.0,2
2/21/2026,Wheeling,11/60,0.0,Glenville,31,2.0,2
2/21/2026,Wheeling,31,0.0,Glenville,70,2.0,2
2/21/2026,Wheeling,61,0.0,Glenville,31/60,2.0,2
2/21/2026,Wheeling,70,3.0,Glenville,0,0.0,2
2/21/2026,Wheeling,0,0.0,Glenville,60,2.0,2
2/21/2026,Wheeling,41,3.0,Glenville,11,0.0,2
2/21/2026,Wheeling,0,0.0,Glenville,41,0.0,2
2/21/2026,Wheeling,11,0.0,Glenville,41,0.0,2
2/21/2026,Wheeling,61,0.0,Glenville,11,0.0,2
2/21/2026,Wheeling,0,0.0,Glenville,41,3.0,2
2/21/2026,Wheeling,11,0.0,Glenville,31,0.0,2
2/21/2026,Wheeling,31,3.0,Glenville,70,3.0,2
2/21/2026,Wheeling,70,2.0,Glenville,31,0.0,2
2/21/2026,Wheeling,60,2.0,Glenville,40,0.0,2
2/21/2026,Wheeling,31,0.0,Glenville,40,3.0,2
2/21/2026,Wheeling,11,0.0,Glenville,31,0.0,2
2/21/2026,Wheeling,70,2.0,Glenville,41/41,0.0,2
