Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
12/3/2025,Wheeling,30,2.0,Point Park,0,0.0,1
12/3/2025,Wheeling,31,2.0,Point Park,31,0.0,1
12/3/2025,Wheeling,0,0.0,Point Park,41,3.0,1
12/3/2025,Wheeling,41,3.0,Point Park,11,0.0,1
12/3/2025,Wheeling,61,2.0,Point Park,61/41,0.0,1
12/3/2025,Wheeling,31,0.0,Point Park,11,0.0,1
12/3/2025,Wheeling,60,0.0,Point Park,40,0.0,1
12/3/2025,Wheeling,41,3.0,Point Park,60,0.0,1
12/3/2025,Wheeling,61,3.0,Point Park,60,2.0,1
12/3/2025,Wheeling,11/70,2.0,Point Park,41/60,2.0,1
12/3/2025,Wheeling,41,0.0,Point Park,41,0.0,1
12/3/2025,Wheeling,31,0.0,Point Park,61,0.0,1
12/3/2025,Wheeling,61,2.0,Point Park,41,3.0,1
12/3/2025,Wheeling,41,3.0,Point Park,31,2.0,1
12/3/2025,Wheeling,31,2.0,Point Park,11,0.0,1
12/3/2025,Wheeling,11,0.0,Point Park,60,0.0,1
12/3/2025,Wheeling,31/110,2.0,Point Park,,,1
12/3/2025,Wheeling,/31,2.0,Point Park,31,2.0,1
12/3/2025,Wheeling,31,0.0,Point Park,11,0.0,1
12/3/2025,Wheeling,31,2.0,Point Park,41,0.0,1
12/3/2025,Wheeling,41,3.0,Point Park,41,0.0,1
12/3/2025,Wheeling,41,0.0,Point Park,11/31,0.0,1
12/3/2025,Wheeling,41,0.0,Point Park,40,2.0,1
12/3/2025,Wheeling,41,3.0,Point Park,41,3.0,1
12/3/2025,Wheeling,70,0.0,Point Park,41,2.0,1
12/3/2025,Wheeling,41,3.0,Point Park,31,2.0,1
12/3/2025,Wheeling,11,2.0,Point Park,31/61,2.0,1
12/3/2025,Wheeling,110,2.0,Point Park,11,0.0,1
12/3/2025,Wheeling,41/60,2.0,Point Park,31,0.0,1
12/3/2025,Wheeling,31/31,2.0,Point Park,70,2.0,1
12/3/2025,Wheeling,31,2.0,Point Park,0,0.0,1
12/3/2025,Wheeling,0,0.0,Point Park,70,1.0,1
12/3/2025,Wheeling,0,0.0,Point Park,41,0.0,1
12/3/2025,Wheeling,0,0.0,Point Park,70,2.0,1
12/3/2025,Wheeling,,,Point Park,31/41,0.0,2
12/3/2025,Wheeling,0,0.0,Point Park,61/31,0.0,2
12/3/2025,Wheeling,11,0.0,Point Park,31,0.0,2
12/3/2025,Wheeling,0,0.0,Point Park,0,0.0,2
12/3/2025,Wheeling,61,3.0,Point Park,70,1.0,2
12/3/2025,Wheeling,61,0.0,Point Park,41,3.0,2
12/3/2025,Wheeling,41,0.0,Point Park,60,2.0,2
12/3/2025,Wheeling,41,3.0,Point Park,31,0.0,2
12/3/2025,Wheeling,70,1.0,Point Park,61,2.0,2
12/3/2025,Wheeling,70,2.0,Point Park,41,0.0,2
12/3/2025,Wheeling,31,2.0,Point Park,41,3.0,2
12/3/2025,Wheeling,31,0.0,Point Park,0,0.0,2
12/3/2025,Wheeling,60,2.0,Point Park,70,1.0,2
12/3/2025,Wheeling,61,0.0,Point Park,31,3.0,2
12/3/2025,Wheeling,31,0.0,Point Park,41,0.0,2
12/3/2025,Wheeling,11,0.0,Point Park,11,0.0,2
12/3/2025,Wheeling,31/61,2.0,Point Park,41,3.0,2
12/3/2025,Wheeling,0,0.0,Point Park,60,2.0,2
12/3/2025,Wheeling,41,3.0,Point Park,31,0.0,2
12/3/2025,Wheeling,70,3.0,Point Park,31,0.0,2
12/3/2025,Wheeling,41,3.0,Point Park,0,0.0,2
12/3/2025,Wheeling,31/60,2.0,Point Park,31,2.0,2
12/3/2025,Wheeling,61,3.0,Point Park,11/61/61,2.0,2
12/3/2025,Wheeling,40,0.0,Point Park,31,2.0,2
12/3/2025,Wheeling,31,2.0,Point Park,61,0.0,2
12/3/2025,Wheeling,31,2.0,Point Park,31,3.0,2
12/3/2025,Wheeling,41,0.0,Point Park,70,2.0,2
12/3/2025,Wheeling,0,0.0,Point Park,31,2.0,2
12/3/2025,Wheeling,40,0.0,Point Park,70,2.0,2
12/3/2025,Wheeling,31,2.0,Point Park,60,3.0,2
12/3/2025,Wheeling,70,2.0,Point Park,0,0.0,2
12/3/2025,Wheeling,41,0.0,Point Park,31,2.0,2
12/3/2025,Wheeling,60,2.0,Point Park,70,2.0,2
12/3/2025,Wheeling,60,3.0,Point Park,41,0.0,2
12/3/2025,Wheeling,0,0.0,Point Park,61,2.0,2
12/3/2025,Wheeling,41,3.0,Point Park,31,0.0,2
12/3/2025,Wheeling,40/41/41/31,3.0,Point Park,70,1.0,2
