Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
1/21/2026,Wheeling,41/31,2.0,Salem,61,0.0,1
1/21/2026,Wheeling,60,2.0,Salem,11/31,0.0,1
1/21/2026,Wheeling,30,2.0,Salem,11/30,0.0,1
1/21/2026,Wheeling,31/41/41/61,2.0,Salem,41,0.0,1
1/21/2026,Wheeling,40,0.0,Salem,70,1.0,1
1/21/2026,Wheeling,0,0.0,Salem,11,0.0,1
1/21/2026,Wheeling,0,0.0,Salem,61,0.0,1
1/21/2026,Wheeling,11,2.0,Salem,70,2.0,1
1/21/2026,Wheeling,31/40,3.0,Salem,11/11,0.0,1
1/21/2026,Wheeling,61/61,2.0,Salem,31,0.0,1
1/21/2026,Wheeling,70,1.0,Salem,0,0.0,1
1/21/2026,Wheeling,0,0.0,Salem,60,2.0,1
1/21/2026,Wheeling,31,0.0,Salem,70,1.0,1
1/21/2026,Wheeling,11/61,3.0,Salem,31,2.0,1
1/21/2026,Wheeling,31,0.0,Salem,60,0.0,1
1/21/2026,Wheeling,31,0.0,Salem,31,0.0,1
1/21/2026,Wheeling,31,2.0,Salem,0,0.0,1
1/21/2026,Wheeling,31,0.0,Salem,61,2.0,1
1/21/2026,Wheeling,31,2.0,Salem,40,0.0,1
1/21/2026,Wheeling,0,0.0,Salem,0,0.0,1
1/21/2026,Wheeling,0,0.0,Salem,60,0.0,1
1/21/2026,Wheeling,61,2.0,Salem,31,0.0,1
1/21/2026,Wheeling,61,0.0,Salem,70,3.0,1
1/21/2026,Wheeling,61,2.0,Salem,31/0,0.0,1
1/21/2026,Wheeling,60,2.0,Salem,70,0.0,1
1/21/2026,Wheeling,,,Salem,/60,2.0,1
1/21/2026,Wheeling,11,0.0,Salem,60/60,2.0,1
1/21/2026,Wheeling,31,0.0,Salem,60/11,0.0,1
1/21/2026,Wheeling,41/41,0.0,Salem,70,2.0,1
1/21/2026,Wheeling,40,0.0,Salem,60,2.0,1
1/21/2026,Wheeling,60,2.0,Salem,70,2.0,1
1/21/2026,Wheeling,70,2.0,Salem,0,0.0,1
1/21/2026,Wheeling,60,2.0,Salem,41,3.0,1
1/21/2026,Wheeling,0,0.0,Salem,0,0.0,1
1/21/2026,Wheeling,60,2.0,Salem,0,0.0,1
1/21/2026,Wheeling,0,0.0,Salem,61,2.0,1
1/21/2026,Wheeling,40,3.0,Salem,60/61/70,2.0,1
1/21/2026,Wheeling,11,0.0,Salem,,,1
1/21/2026,Wheeling,,,Salem,61,2.0,2
1/21/2026,Wheeling,0,0.0,Salem,31,0.0,2
1/21/2026,Wheeling,41,3.0,Salem,30,2.0,2
1/21/2026,Wheeling,61/61,3.0,Salem,0,0.0,2
1/21/2026,Wheeling,31,0.0,Salem,40/30,0.0,2
1/21/2026,Wheeling,31,0.0,Salem,70,1.0,2
1/21/2026,Wheeling,41,0.0,Salem,11,0.0,2
1/21/2026,Wheeling,61,2.0,Salem,60,2.0,2
1/21/2026,Wheeling,31,3.0,Salem,60,2.0,2
1/21/2026,Wheeling,0,0.0,Salem,0,0.0,2
1/21/2026,Wheeling,40,3.0,Salem,0,0.0,2
1/21/2026,Wheeling,60,2.0,Salem,0,0.0,2
1/21/2026,Wheeling,61/41,0.0,Salem,0,0.0,2
1/21/2026,Wheeling,60,3.0,Salem,0,0.0,2
1/21/2026,Wheeling,70,1.0,Salem,,,2
1/21/2026,Wheeling,61,2.0,Salem,31,0.0,2
1/21/2026,Wheeling,31,0.0,Salem,70,2.0,2
1/21/2026,Wheeling,60,2.0,Salem,70,3.0,2
1/21/2026,Wheeling,31,3.0,Salem,11/60,2.0,2
1/21/2026,Wheeling,0,0.0,Salem,70,2.0,2
1/21/2026,Wheeling,31,0.0,Salem,11/60,2.0,2
1/21/2026,Wheeling,41,3.0,Salem,70,2.0,2
1/21/2026,Wheeling,31/31/41,0.0,Salem,0,0.0,2
1/21/2026,Wheeling,31,0.0,Salem,0,0.0,2
1/21/2026,Wheeling,70,2.0,Salem,61,2.0,2
1/21/2026,Wheeling,31,3.0,Salem,31,0.0,2
1/21/2026,Wheeling,61,0.0,Salem,0,0.0,2
1/21/2026,Wheeling,41,0.0,Salem,61,2.0,2
1/21/2026,Wheeling,11,0.0,Salem,70,2.0,2
1/21/2026,Wheeling,0,0.0,Salem,0,0.0,2
1/21/2026,Wheeling,61,2.0,Salem,11,2.0,2
1/21/2026,Wheeling,31/41,0.0,Salem,41/60,2.0,2
1/21/2026,Wheeling,70,1.0,Salem,60/61/61,2.0,2
1/21/2026,Wheeling,0,0.0,Salem,11,0.0,2
1/21/2026,Wheeling,40/31/70,2.0,Salem,60,2.0,2
1/21/2026,Wheeling,61,0.0,Salem,31,0.0,2
1/21/2026,Wheeling,61,2.0,Salem,31,3.0,2
1/21/2026,Wheeling,31/31,3.0,Salem,70,0.0,2
