Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
1/31/2026,Wheeling,,,WVSU,31,0.0,1
1/31/2026,Wheeling,31,0.0,WVSU,61,2.0,1
1/31/2026,Wheeling,60,2.0,WVSU,0,0.0,1
1/31/2026,Wheeling,60,2.0,WVSU,31,0.0,1
1/31/2026,Wheeling,41/61,0.0,WVSU,0,0.0,1
1/31/2026,Wheeling,0,0.0,WVSU,70,2.0,1
1/31/2026,Wheeling,31,2.0,WVSU,31,0.0,1
1/31/2026,Wheeling,40,0.0,WVSU,31,0.0,1
1/31/2026,Wheeling,61,2.0,WVSU,31,0.0,1
1/31/2026,Wheeling,31/40,0.0,WVSU,61,2.0,1
1/31/2026,Wheeling,31,3.0,WVSU,31,3.0,1
1/31/2026,Wheeling,61,3.0,WVSU,31,0.0,1
1/31/2026,Wheeling,41,3.0,WVSU,0,0.0,1
1/31/2026,Wheeling,0,0.0,WVSU,0,0.0,1
1/31/2026,Wheeling,31,0.0,WVSU,0,0.0,1
1/31/2026,Wheeling,31/61,2.0,WVSU,70,2.0,1
1/31/2026,Wheeling,31,0.0,WVSU,0,0.0,1
1/31/2026,Wheeling,41,3.0,WVSU,31,0.0,1
1/31/2026,Wheeling,61,0.0,WVSU,31,0.0,1
1/31/2026,Wheeling,0,0.0,WVSU,70,1.0,1
1/31/2026,Wheeling,,,WVSU,11,0.0,1
1/31/2026,Wheeling,41,3.0,WVSU,31,2.0,1
1/31/2026,Wheeling,11,0.0,WVSU,31,0.0,1
1/31/2026,Wheeling,0,0.0,WVSU,60,2.0,1
1/31/2026,Wheeling,31,2.0,WVSU,31,0.0,1
1/31/2026,Wheeling,41,0.0,WVSU,70,2.0,1
1/31/2026,Wheeling,60,2.0,WVSU,0,0.0,1
1/31/2026,Wheeling,31,3.0,WVSU,41,3.0,1
1/31/2026,Wheeling,60,2.0,WVSU,70,0.0,1
1/31/2026,Wheeling,40,3.0,WVSU,61,2.0,1
1/31/2026,Wheeling,40,3.0,WVSU,0,0.0,1
1/31/2026,Wheeling,60,2.0,WVSU,31,0.0,1
1/31/2026,Wheeling,41,0.0,WVSU,70,1.0,1
1/31/2026,Wheeling,61,2.0,WVSU,31,0.0,1
1/31/2026,Wheeling,31,2.0,WVSU,61,2.0,1
1/31/2026,Wheeling,40,3.0,WVSU,11,0.0,1
1/31/2026,Wheeling,31,0.0,WVSU,0,0.0,1
1/31/2026,Wheeling,60,2.0,WVSU,31/70,2.0,1
1/31/2026,Wheeling,40,3.0,WVSU,61/70,2.0,1
1/31/2026,Wheeling,0,0.0,WVSU,31,0.0,1
1/31/2026,Wheeling,31,0.0,WVSU,60,2.0,1
1/31/2026,Wheeling,0,0.0,WVSU,31,3.0,1
1/31/2026,Wheeling,60,0.0,WVSU,,,1
1/31/2026,Wheeling,0,0.0,WVSU,41,2.0,2
1/31/2026,Wheeling,31/31/30,0.0,WVSU,0,0.0,2
1/31/2026,Wheeling,60,2.0,WVSU,40,0.0,2
1/31/2026,Wheeling,61,2.0,WVSU,30,2.0,2
1/31/2026,Wheeling,31,2.0,WVSU,41,0.0,2
1/31/2026,Wheeling,60,2.0,WVSU,70,3.0,2
1/31/2026,Wheeling,31,0.0,WVSU,41,2.0,2
1/31/2026,Wheeling,31,2.0,WVSU,0,0.0,2
1/31/2026,Wheeling,60/60,2.0,WVSU,70,2.0,2
1/31/2026,Wheeling,31,3.0,WVSU,70,1.0,2
1/31/2026,Wheeling,,,WVSU,41,3.0,2
1/31/2026,Wheeling,11,0.0,WVSU,41/61,2.0,2
1/31/2026,Wheeling,30,2.0,WVSU,61,2.0,2
1/31/2026,Wheeling,60,2.0,WVSU,40/41,3.0,2
1/31/2026,Wheeling,31,2.0,WVSU,70,2.0,2
1/31/2026,Wheeling,0,0.0,WVSU,31,0.0,2
1/31/2026,Wheeling,40,3.0,WVSU,60,2.0,2
1/31/2026,Wheeling,31/60,2.0,WVSU,31,2.0,2
1/31/2026,Wheeling,31,3.0,WVSU,41,3.0,2
1/31/2026,Wheeling,41,0.0,WVSU,31,3.0,2
1/31/2026,Wheeling,41,0.0,WVSU,40,3.0,2
1/31/2026,Wheeling,110,3.0,WVSU,41/41/41,0.0,2
1/31/2026,Wheeling,30,0.0,WVSU,0,0.0,2
1/31/2026,Wheeling,70,1.0,WVSU,60,2.0,2
1/31/2026,Wheeling,41,0.0,WVSU,61,2.0,2
1/31/2026,Wheeling,31,2.0,WVSU,41,2.0,2
1/31/2026,Wheeling,41,3.0,WVSU,31/31,0.0,2
1/31/2026,Wheeling,61,2.0,WVSU,0,0.0,2
1/31/2026,Wheeling,61,3.0,WVSU,60,2.0,2
1/31/2026,Wheeling,31,0.0,WVSU,70,2.0,2
1/31/2026,Wheeling,31,0.0,WVSU,30,0.0,2
1/31/2026,Wheeling,61,0.0,WVSU,41,0.0,2
1/31/2026,Wheeling,41,2.0,WVSU,41,3.0,2
1/31/2026,Wheeling,31,0.0,WVSU,40,0.0,2
1/31/2026,Wheeling,61,0.0,WVSU,31,0.0,2
1/31/2026,Wheeling,70,2.0,WVSU,,,2
1/31/2026,Wheeling,/61,0.0,WVSU,70,3.0,2
1/31/2026,Wheeling,31,2.0,WVSU,61,2.0,2
1/31/2026,Wheeling,30,3.0,WVSU,31,2.0,2
