Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
2/4/2026,Wheeling,,,Wesleyan,31/41,0.0,1
2/4/2026,Wheeling,61,2.0,Wesleyan,31,0.0,1
2/4/2026,Wheeling,61,2.0,Wesleyan,31,2.0,1
2/4/2026,Wheeling,41,0.0,Wesleyan,0,0.0,1
2/4/2026,Wheeling,31,2.0,Wesleyan,31,0.0,1
2/4/2026,Wheeling,61,2.0,Wesleyan,11,0.0,1
2/4/2026,Wheeling,41,0.0,Wesleyan,30,0.0,1
2/4/2026,Wheeling,60,2.0,Wesleyan,40,0.0,1
2/4/2026,Wheeling,41/60,2.0,Wesleyan,41,2.0,1
2/4/2026,Wheeling,40,0.0,Wesleyan,30,2.0,1
2/4/2026,Wheeling,61,3.0,Wesleyan,0,0.0,1
2/4/2026,Wheeling,0,0.0,Wesleyan,11/60,2.0,1
2/4/2026,Wheeling,0,0.0,Wesleyan,60,0.0,1
2/4/2026,Wheeling,40,0.0,Wesleyan,60,2.0,1
2/4/2026,Wheeling,41,3.0,Wesleyan,41,3.0,1
2/4/2026,Wheeling,30,0.0,Wesleyan,0,0.0,1
2/4/2026,Wheeling,41,0.0,Wesleyan,61,2.0,1
2/4/2026,Wheeling,41/11/41,2.0,Wesleyan,41,3.0,1
2/4/2026,Wheeling,41,0.0,Wesleyan,40,0.0,1
2/4/2026,Wheeling,31,0.0,Wesleyan,41,0.0,1
2/4/2026,Wheeling,41,0.0,Wesleyan,11,2.0,1
2/4/2026,Wheeling,41,3.0,Wesleyan,61/41/41,2.0,1
2/4/2026,Wheeling,60,2.0,Wesleyan,0,0.0,1
2/4/2026,Wheeling,31/31/60,2.0,Wesleyan,11/31,3.0,1
2/4/2026,Wheeling,11/41,3.0,Wesleyan,11/11,0.0,1
2/4/2026,Wheeling,0,0.0,Wesleyan,40,3.0,1
2/4/2026,Wheeling,70,2.0,Wesleyan,41,0.0,1
2/4/2026,Wheeling,70,1.0,Wesleyan,0,0.0,1
2/4/2026,Wheeling,0,0.0,Wesleyan,11,0.0,1
2/4/2026,Wheeling,60,0.0,Wesleyan,40,0.0,1
2/4/2026,Wheeling,31,0.0,Wesleyan,11/31,0.0,1
2/4/2026,Wheeling,60,2.0,Wesleyan,40,3.0,1
2/4/2026,Wheeling,60,2.0,Wesleyan,0,0.0,1
2/4/2026,Wheeling,61/60/110,4.0,Wesleyan,0,0.0,1
2/4/2026,Wheeling,0,0.0,Wesleyan,41,0.0,1
2/4/2026,Wheeling,40/60/40,3.0,Wesleyan,0,0.0,1
2/4/2026,Wheeling,61/70,1.0,Wesleyan,41,3.0,1
2/4/2026,Wheeling,41,0.0,Wesleyan,,,1
2/4/2026,Wheeling,11,0.0,Wesleyan,31,0.0,2
2/4/2026,Wheeling,60,2.0,Wesleyan,31,0.0,2
2/4/2026,Wheeling,31,2.0,Wesleyan,31,0.0,2
2/4/2026,Wheeling,41,3.0,Wesleyan,31,0.0,2
2/4/2026,Wheeling,41,3.0,Wesleyan,40,0.0,2
2/4/2026,Wheeling,41,2.0,Wesleyan,61,0.0,2
2/4/2026,Wheeling,0,0.0,Wesleyan,30,3.0,2
2/4/2026,Wheeling,31,3.0,Wesleyan,41,0.0,2
2/4/2026,Wheeling,0,0.0,Wesleyan,41,3.0,2
2/4/2026,Wheeling,60,0.0,Wesleyan,40/60,0.0,2
2/4/2026,Wheeling,41,0.0,Wesleyan,0,0.0,2
2/4/2026,Wheeling,40,0.0,Wesleyan,0,0.0,2
2/4/2026,Wheeling,60,2.0,Wesleyan,0,0.0,2
2/4/2026,Wheeling,41/61,2.0,Wesleyan,41,0.0,2
2/4/2026,Wheeling,60,2.0,Wesleyan,41,0.0,2
2/4/2026,Wheeling,41,0.0,Wesleyan,60,2.0,2
2/4/2026,Wheeling,61,2.0,Wesleyan,60,3.0,2
2/4/2026,Wheeling,60,3.0,Wesleyan,41,0.0,2
2/4/2026,Wheeling,70,1.0,Wesleyan,,,2
2/4/2026,Wheeling,/61,2.0,Wesleyan,31,3.0,2
2/4/2026,Wheeling,60,2.0,Wesleyan,60,2.0,2
2/4/2026,Wheeling,60,0.0,Wesleyan,0,0.0,2
