Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
2/28/2026,Wheeling,,,West Liberty,60,3.0,1
2/28/2026,Wheeling,40/60,2.0,West Liberty,41,0.0,1
2/28/2026,Wheeling,41,0.0,West Liberty,11,0.0,1
2/28/2026,Wheeling,0,0.0,West Liberty,0,0.0,1
2/28/2026,Wheeling,31/60,2.0,West Liberty,31,3.0,1
2/28/2026,Wheeling,31,0.0,West Liberty,60,2.0,1
2/28/2026,Wheeling,31,2.0,West Liberty,0,0.0,1
2/28/2026,Wheeling,41,0.0,West Liberty,60,2.0,1
2/28/2026,Wheeling,40,0.0,West Liberty,40,3.0,1
2/28/2026,Wheeling,70,2.0,West Liberty,31,3.0,1
2/28/2026,Wheeling,31,2.0,West Liberty,31,2.0,1
2/28/2026,Wheeling,60,2.0,West Liberty,31,0.0,1
2/28/2026,Wheeling,31,0.0,West Liberty,60/11/31,0.0,1
2/28/2026,Wheeling,31,0.0,West Liberty,60,2.0,1
2/28/2026,Wheeling,0,0.0,West Liberty,60,2.0,1
2/28/2026,Wheeling,41,3.0,West Liberty,0,0.0,1
2/28/2026,Wheeling,31,2.0,West Liberty,70,1.0,1
2/28/2026,Wheeling,0,0.0,West Liberty,31,0.0,1
2/28/2026,Wheeling,41,3.0,West Liberty,31,0.0,1
2/28/2026,Wheeling,40/60,2.0,West Liberty,0,0.0,1
2/28/2026,Wheeling,31,3.0,West Liberty,41,3.0,1
2/28/2026,Wheeling,0,0.0,West Liberty,60,2.0,1
2/28/2026,Wheeling,11/60,0.0,West Liberty,11,0.0,1
2/28/2026,Wheeling,40,0.0,West Liberty,40,3.0,1
2/28/2026,Wheeling,31,0.0,West Liberty,0,0.0,1
2/28/2026,Wheeling,0,0.0,West Liberty,61,2.0,1
2/28/2026,Wheeling,70,1.0,West Liberty,0,0.0,1
2/28/2026,Wheeling,61/31,3.0,West Liberty,31,0.0,1
2/28/2026,Wheeling,11,0.0,West Liberty,61,2.0,1
2/28/2026,Wheeling,0,0.0,West Liberty,41,0.0,1
2/28/2026,Wheeling,40,0.0,West Liberty,61,2.0,1
2/28/2026,Wheeling,61,2.0,West Liberty,31/0,0.0,1
2/28/2026,Wheeling,31,2.0,West Liberty,41,3.0,1
2/28/2026,Wheeling,61,2.0,West Liberty,0,0.0,1
2/28/2026,Wheeling,41,0.0,West Liberty,70,1.0,1
2/28/2026,Wheeling,31,3.0,West Liberty,61,2.0,1
2/28/2026,Wheeling,,,West Liberty,31,0.0,2
2/28/2026,Wheeling,31,0.0,West Liberty,110,3.0,2
2/28/2026,Wheeling,31,2.0,West Liberty,31,2.0,2
2/28/2026,Wheeling,30/61,2.0,West Liberty,41,3.0,2
2/28/2026,Wheeling,61,2.0,West Liberty,41,3.0,2
2/28/2026,Wheeling,0,0.0,West Liberty,41,3.0,2
2/28/2026,Wheeling,41,3.0,West Liberty,61,0.0,2
2/28/2026,Wheeling,61,2.0,West Liberty,40,0.0,2
2/28/2026,Wheeling,0,0.0,West Liberty,70,1.0,2
2/28/2026,Wheeling,31,2.0,West Liberty,70,2.0,2
2/28/2026,Wheeling,11,0.0,West Liberty,11,2.0,2
2/28/2026,Wheeling,70,2.0,West Liberty,61,2.0,2
2/28/2026,Wheeling,61,2.0,West Liberty,31,0.0,2
2/28/2026,Wheeling,70,3.0,West Liberty,60,2.0,2
2/28/2026,Wheeling,0,0.0,West Liberty,11/11,0.0,2
2/28/2026,Wheeling,70,2.0,West Liberty,61,2.0,2
2/28/2026,Wheeling,31/41/11,0.0,West Liberty,11,0.0,2
2/28/2026,Wheeling,60,3.0,West Liberty,70,2.0,2
2/28/2026,Wheeling,61,2.0,West Liberty,31/0,0.0,2
2/28/2026,Wheeling,60/60,2.0,West Liberty,41,3.0,2
2/28/2026,Wheeling,31/11/60,2.0,West Liberty,61,2.0,2
2/28/2026,Wheeling,0,0.0,West Liberty,31,0.0,2
2/28/2026,Wheeling,0,0.0,West Liberty,61,2.0,2
2/28/2026,Wheeling,70,2.0,West Liberty,60,2.0,2
2/28/2026,Wheeling,40,0.0,West Liberty,0,0.0,2
2/28/2026,Wheeling,61,2.0,West Liberty,61,0.0,2
2/28/2026,Wheeling,60,2.0,West Liberty,40,3.0,2
2/28/2026,Wheeling,31,2.0,West Liberty,11,0.0,2
2/28/2026,Wheeling,41,0.0,West Liberty,60,0.0,2
2/28/2026,Wheeling,30,0.0,West Liberty,0,0.0,2
2/28/2026,Wheeling,41,3.0,West Liberty,60,2.0,2
2/28/2026,Wheeling,61,2.0,West Liberty,40,0.0,2
2/28/2026,Wheeling,40,0.0,West Liberty,11/40/60,3.0,2
2/28/2026,Wheeling,60,3.0,West Liberty,30,2.0,2
2/28/2026,Wheeling,70,2.0,West Liberty,70,0.0,2
2/28/2026,Wheeling,31,3.0,West Liberty,61,2.0,2
2/28/2026,Wheeling,70,2.0,West Liberty,70,0.0,2
2/28/2026,Wheeling,70,1.0,West Liberty,10,0.0,2
